duty,trip_count,battery_kwh,charge_kw,reserve_kwh,source_valid,production_valid,both_valid,minimum_source_soc_kwh,source_terminal_soc_kwh,source_violations,production_first_rejection,input_sha256
13324t,18,240,240,0,False,False,False,40.63046755880002,40.63046755880002,"[""row 1415: recharge exceeds power/window"", ""row 1422: recharge exceeds power/window""]",charge 52.4 kWh exceeds 240 kW in 12 min at 7880C_0,11642134724894e31033e65d5d01f6dfacc6beece731a409fbf9534a41faf67f
13324t,18,240,350,0,True,True,True,40.63046755880002,40.63046755880002,[],,11642134724894e31033e65d5d01f6dfacc6beece731a409fbf9534a41faf67f
13325,42,240,240,0,False,False,False,39.10176217489998,145.99644016579992,"[""row 1452: recharge exceeds power/window"", ""row 1459: recharge exceeds power/window"", ""row 1463: recharge exceeds power/window"", ""row 1476: recharge exceeds power/window"", ""row 1480: recharge exceeds power/window"", ""row 1488: recharge exceeds power/window"", ""row 1492: recharge exceeds power/window"", ""row 1499: recharge exceeds power/window"", ""row 1507: recharge exceeds power/window"", ""row 1518: recharge exceeds power/window""]",charge 43.1 kWh exceeds 240 kW in 10 min at JON_A_0,7de90f5e6dad6d7cb75d0165531cebbf972e6a7c6b868216eadbbac4287ba6b6
13325,42,240,350,0,True,True,True,39.10176217489998,145.99644016579992,[],,7de90f5e6dad6d7cb75d0165531cebbf972e6a7c6b868216eadbbac4287ba6b6
13326,21,240,240,0,False,False,False,68.57265728029992,68.57265728029992,"[""row 1538: recharge exceeds power/window"", ""row 1549: recharge exceeds power/window"", ""row 1556: recharge exceeds power/window""]",charge 102.4 kWh exceeds 240 kW in 23 min at 3127L_0,1ea2df42ebb8138f4527f9def032fcf27f3ad8eae351820b5670e72cee953bd1
13326,21,240,350,0,True,True,True,68.57265728029992,68.57265728029992,[],,1ea2df42ebb8138f4527f9def032fcf27f3ad8eae351820b5670e72cee953bd1
13401,12,240,240,0,False,False,False,50.221965564000016,50.221965564000016,"[""row 1568: recharge exceeds power/window"", ""row 1573: recharge exceeds power/window"", ""row 1578: recharge exceeds power/window"", ""row 1581: recharge exceeds power/window"", ""row 1584: recharge exceeds power/window"", ""row 1587: recharge exceeds power/window"", ""row 1591: recharge exceeds power/window"", ""row 1594: recharge exceeds power/window"", ""row 1597: recharge exceeds power/window"", ""row 1600: recharge exceeds power/window""]",charge 25.0 kWh exceeds 240 kW in 6 min at 4808_0,91eac2c5a10727931c72c10f28dd6e1415a2f852e94d2e7c6f2a2edfcae1c663
13401,12,240,350,0,True,True,True,50.221965564000016,50.221965564000016,[],,91eac2c5a10727931c72c10f28dd6e1415a2f852e94d2e7c6f2a2edfcae1c663
13402,17,240,240,0,False,False,False,89.48441708000001,105.82180516200012,"[""row 1611: recharge exceeds power/window"", ""row 1616: recharge exceeds power/window"", ""row 1619: recharge exceeds power/window"", ""row 1622: recharge exceeds power/window"", ""row 1625: recharge exceeds power/window"", ""row 1628: recharge exceeds power/window"", ""row 1631: recharge exceeds power/window"", ""row 1634: recharge exceeds power/window"", ""row 1637: recharge exceeds power/window"", ""row 1640: recharge exceeds power/window"", ""row 1643: recharge exceeds power/window"", ""row 1646: recharge exceeds power/window"", ""row 1649: recharge exceeds power/window"", ""row 1652: recharge exceeds power/window""]",charge 32.0 kWh exceeds 240 kW in 7 min at 4808_0,456b71a08bd6aa6665ad073329597b2d8ac9b05762a77059ac06cc86a92a138e
13402,17,240,350,0,True,True,True,89.48441708000001,105.82180516200012,[],,456b71a08bd6aa6665ad073329597b2d8ac9b05762a77059ac06cc86a92a138e
13403,14,240,240,0,False,False,False,51.64900186400004,51.64900186400004,"[""row 1663: recharge exceeds power/window"", ""row 1666: recharge exceeds power/window"", ""row 1670: recharge exceeds power/window"", ""row 1673: recharge exceeds power/window"", ""row 1676: recharge exceeds power/window"", ""row 1679: recharge exceeds power/window"", ""row 1682: recharge exceeds power/window"", ""row 1685: recharge exceeds power/window"", ""row 1688: recharge exceeds power/window"", ""row 1691: recharge exceeds power/window"", ""row 1696: recharge exceeds power/window""]",charge 39.8 kWh exceeds 240 kW in 9 min at 2190L_0,0dd15775f1636e52228d8d73826e0221643aa218e24287328c6be8951db94a26
13403,14,240,350,0,True,True,True,51.64900186400004,51.64900186400004,[],,0dd15775f1636e52228d8d73826e0221643aa218e24287328c6be8951db94a26
13404,17,240,240,0,False,False,False,70.70544446200012,70.70544446200012,"[""row 1713: recharge exceeds power/window"", ""row 1716: recharge exceeds power/window"", ""row 1719: recharge exceeds power/window"", ""row 1722: recharge exceeds power/window"", ""row 1725: recharge exceeds power/window"", ""row 1728: recharge exceeds power/window"", ""row 1731: recharge exceeds power/window"", ""row 1734: recharge exceeds power/window"", ""row 1737: recharge exceeds power/window"", ""row 1742: recharge exceeds power/window"", ""row 1745: recharge exceeds power/window"", ""row 1748: recharge exceeds power/window""]",charge 31.0 kWh exceeds 240 kW in 7 min at 4808_0,5f5265059215460fb91114481c78c0059452e6b304cb08b88f927ecd214113dd
13404,17,240,350,0,True,True,True,70.70544446200012,70.70544446200012,[],,5f5265059215460fb91114481c78c0059452e6b304cb08b88f927ecd214113dd
