chain,k,unchanged_giro_schedule_valid_count,unchanged_recorded_activity_valid_count,unchanged_production_schedule_valid_count,fixed_trip_optimized_charging_reported_valid_count,fixed_trip_certificate_reverified_this_audit,duties,unchanged_schedule_rejected_duties,fixed_trip_optimized_charging_reverified_valid_count
2,18,0,1,0,18,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309,18
2,19,0,1,0,19,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323,19
2,20,0,1,0,20,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412,20
2,21,0,1,0,21,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413,21
2,22,0,1,0,22,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402,22
2,23,0,1,0,23,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304,23
2,24,0,1,0,24,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401,24
2,25,0,1,0,25,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403,25
2,26,0,1,0,26,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326,26
2,27,0,1,0,27,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318,27
