treatment,case,source_partitions,target_buses,integer_buses,pool_fleet_bound,fleet_proved_in_pool,physical_replay,source_path,source_sha256
decomposition_pool_union_20260914,m_p04_p06,p04 p06,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p04_p06/mip_result.json,4b2d15601c8f7f9db3f67e77673fe9882afc444a319fe39417941dbf85f503fe
decomposition_pool_union_20260914,m_p04_p07,p04 p07,32,34,34.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p04_p07/mip_result.json,d4e758a015f0227cedea3ec2fda6c6780b814846011dbaea53447896ab83b910
decomposition_pool_union_20260914,m_p04_p08,p04 p08,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p04_p08/mip_result.json,a46a741ef2e6913f7446c5bef5ada54e68df0afd21c79b461118038ccfcc53ef
decomposition_pool_union_20260914,m_p04_p09,p04 p09,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p04_p09/mip_result.json,0e0fc29386d01dcb71eb70bdf17e44dbda43a8a4be42118b86b4c7bbb692625d
decomposition_pool_union_20260914,m_p05,p05,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p05/mip_result.json,c745a4c99a9664eb58fd51125cee89ce9a8e7f783da3bb8c066cf336c9f02369
decomposition_pool_union_20260914,m_p05_p06,p05 p06,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p05_p06/mip_result.json,9b14ccc4776d0da960229824baa926692a061d7960456c6c808dcfea87bd9a07
decomposition_pool_union_20260914,m_p05_p07,p05 p07,32,34,34.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p05_p07/mip_result.json,76302b743c45d4d40df5104cc1ef86e46dd22dccc0c48adc022d6b97d39bcd39
decomposition_pool_union_20260914,m_p05_p08,p05 p08,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p05_p08/mip_result.json,56adb1dd159045d96f1e64bcc023a9b68b3c93095f18ed11d61e0ce9479edecb
decomposition_pool_union_20260914,m_p05_p09,p05 p09,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p05_p09/mip_result.json,a4838a90c85ff64f3f68b7943f2c0fa9a5a13511c89b016b50a42f464639ff13
decomposition_pool_union_20260914,m_p06,p06,32,36,36.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p06/mip_result.json,eb6cf15fa0b746ebade7a3be38cce0118f46730dae172350f1d938d300c0560c
decomposition_pool_union_20260914,m_p06_p07,p06 p07,32,34,34.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p06_p07/mip_result.json,d5cbefc41ee198cef24b0a2098640f8f5c48ff0581c6cde779164aaf831b4470
decomposition_pool_union_20260914,m_p06_p08,p06 p08,32,36,36.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p06_p08/mip_result.json,35b4eea27abfc3e729ca66e2e91aae8558099a8fe1f2237e908853f6ff1abd35
decomposition_pool_union_20260914,m_p06_p09,p06 p09,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p06_p09/mip_result.json,00b1b1e439c422fcebc38b1e1692ef55994cdc22ac1a6fc8e1c683a133c546c6
decomposition_pool_union_20260914,m_p07,p07,32,34,34.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p07/mip_result.json,c8eb5032098c5c2ab8f0040709513be73c8d08d073a57faff785ed45eeeff762
decomposition_pool_union_20260914,m_p07_p08,p07 p08,32,34,34.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p07_p08/mip_result.json,18ae0c1b1cee2c7687694fadc51a841633e9c8a984e6b6a7aeb4a346a1b7c772
decomposition_pool_union_20260914,m_p07_p09,p07 p09,32,34,34.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p07_p09/mip_result.json,306f390b5fa7ffe3953fad65ab96ce948984fadb88b3f65f5618f0db7fd74d97
decomposition_pool_union_20260914,m_p08,p08,32,37,37.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p08/mip_result.json,9864ae2f42408e7bdbe7bb2b7ecfec7f050a5878e1e7dc90727580b5e08775e6
decomposition_pool_union_20260914,m_p08_p09,p08 p09,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p08_p09/mip_result.json,f01a9395e9b3832ede8968c4be534d44377f76ab428591c048eed431401ddf7c
decomposition_pool_union_20260914,m_p09,p09,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p09/mip_result.json,c15178caddff69c10ac64b7f7ffc7d3bb8739b5265abec691f004962142ada43
decomposition_lp_support_union_20260914,m_p01,p01,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_lp_support_union_20260914/cases/m_p01/mip_result.json,a88c1d56e6eefe7f75c0614fd3fb3d4b909e749efadc42c7e64fae2018d4272a
decomposition_lp_support_union_20260914,m_p04,p04,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_lp_support_union_20260914/cases/m_p04/mip_result.json,55a04630afd98064524daefb6d5640e21475ab880649bb14ee1447ef09562392
decomposition_lp_support_union_20260914,m_p07,p07,32,34,34.0,True,True,/home/nc437/ladder-lite/decomposition_lp_support_union_20260914/cases/m_p07/mip_result.json,23c7e95f7afd749fe7357553f1eb3cdfe4729c8ca1357df95d23ed95a7aaecdf
