duty_id,base_duty_id,included_variant,excluded_variant_id,trip_count,local_trip_ids_json,source_ordered_trip_ids_json,route_incidence_sha256,recorded_charge_count,recorded_charge_kwh
13401,13401,True,,12,"[0,17,88,157,251,299,351,400,491,558,636,700]","[0,6,22,35,56,69,82,95,116,129,144,157]",5b4b8631916e377a0cc07bbf814de3e4d7cf81eb87c6af77c17b49708c82ee7b,10,374.0019626
13402,13402,True,,17,"[1,18,65,175,231,283,331,381,434,499,568,649,708,753,790,829,866]","[1,7,17,38,51,64,77,90,103,118,131,146,159,168,177,184,191]",8f9a0a92b35ce357288b1725e509546871249cbaaa0185b0b112b4fba603e8f2,15,621.1618014000001
13403,13403,True,,14,"[4,35,131,201,273,322,375,425,482,547,625,691,761,799]","[2,10,30,43,62,75,88,101,114,127,142,155,170,179]",8bc9bbd8824d853970a980af7ec95a7d32f6adfb7b775e695e773881340b8e80,12,459.6589984
13404,13404,True,,17,"[6,45,101,186,240,289,338,397,450,510,582,659,715,779,817,850,890]","[3,12,25,40,53,66,79,94,107,120,133,148,161,174,183,188,195]",99f108b9807e36640957ea56f3fa18ea53dec303212f2964987b1dec7400c06d,15,586.0454407
13405,13405,True,,13,"[9,49,108,181,237,285,335,384,440,496,562,635,696]","[4,13,26,39,52,65,78,91,104,117,130,143,156]",2ff1783848bbce3a398762548d6219caa2266f98e5367a089514a6ee061b52e1,12,406.7374115
13406,13406,True,,14,"[11,52,112,196,248,313,361,415,470,584,656,713,758,875]","[5,14,27,42,55,72,85,98,111,134,147,160,169,192]",70218d977aeabf219cc12837f3b64544e7bcd169efd1bee90194b28a6f0a9bf5,12,509.6222
13407,13407,True,,17,"[32,81,154,216,267,315,390,442,529,603,679,727,771,808,863,900,927]","[9,21,34,47,60,73,92,105,124,137,152,163,172,181,190,197,200]",4004e038659c58f42d0aafe67a5cb9d8c92827efa64941a65bb996b938ecfd40,16,604.6590565
13408,13408,True,,11,"[27,79,146,221,269,319,368,457,516,592,663]","[8,20,33,48,61,74,87,108,121,135,149]",97f161351accbf44c5acc474b87b435578db31dfb4ab6419098837f0fc52e7ae,9,313.3764382
13409,13409,True,,17,"[39,99,169,227,276,329,377,431,487,551,624,724,763,807,842,898,929]","[11,24,37,50,63,76,89,102,115,128,141,162,171,180,187,196,201]",3b140f21017d476f693aba1fd24a8906fd2e33c143ed5f8bfc101caba01bb635,14,583.5791185
13410,13410,True,,15,"[61,121,204,253,305,354,407,461,520,593,670,832,884,916,939]","[16,29,44,57,70,83,96,109,122,136,150,185,194,199,202]",ef832d4b0c5a1090236998ce8bc16dcf4a26b40b9f8f9144af6d2fff1c816402,13,553.5842461
13411,13411,True,,14,"[57,119,190,243,292,343,392,447,504,573,645,704,748,789]","[15,28,41,54,67,80,93,106,119,132,145,158,167,176]",995eb28f092bf784f3461f995a6b1202a1fbd41008a6e8be81be0b8384695235,13,448.46798140000004
13412,13412,True,,15,"[70,134,213,262,359,409,465,526,604,674,743,781,841,876,914]","[18,31,46,59,84,97,110,123,138,151,166,175,186,193,198]",8a4df04a6d4d947c504c61e99068d38aeac27b293be9a60a069592b260fe27bd,12,527.4072284
13413,13413,True,,15,"[74,141,209,259,308,365,417,474,535,615,683,734,772,816,856]","[19,32,45,58,71,86,99,112,125,140,153,164,173,182,189]",6ba755937efce0c8507474b245390c4e81066c1433186feb26ff09b7437bb4e6,14,566.3076953
13414,13414,True,,12,"[90,167,226,297,345,423,477,541,613,687,736,797]","[23,36,49,68,81,100,113,126,139,154,165,178]",8d97b7d7e55c11fe36faea105e8c5b331225421cb3515c3c1ef90fbdf9a386cd,9,337.3384991
