Start Place,End Place,Base Duration,Energy used
13514,6125,34.0,69.0
13514,6225,26.0,41.0
13514,6480,13.0,21.8
13514,7300,23.0,26.2
13514,7488,29.0,66.8
13514,7492,32.0,49.2
13514,7498,29.0,47.8
13514,7880,12.0,16.8
13514,GRIX,24.0,32.2
13514,HED_P,21.0,26.8
13514,JON_P,7.0,10.2
13514,PAGX,8.0,8.4
13514,PARX,8.0,8.4
13722,PARX,5.0,4.2
14001,14002,5.0,5.8
14001,14150,4.0,2.8
14001,14152,4.0,2.8
14001,14715,9.0,8.0
14001,14948,8.0,7.6
14001,17320,43.0,67.0
14001,18110,39.0,67.6
14001,18711,39.0,67.6
14001,19205,50.0,97.0
14001,19235,50.0,99.0
14001,3127,28.0,48.0
14001,3180,25.0,42.6
14001,3215,43.0,72.8
14001,3860,16.0,26.8
14001,4490,31.0,45.0
14001,4760,35.0,62.6
14001,4945,36.0,44.8
14001,5147,31.0,47.0
14001,5180,30.0,47.0
14001,6125,43.0,91.0
14001,6480,22.0,44.2
14001,7300,31.0,55.6
14001,7488,33.0,52.0
14001,7492,33.0,54.4
14001,7498,33.0,58.6
14001,GRIX,29.0,40.0
14001,KRC_P,1.0,0.2
14001,KRC_U,1.0,0.2
14001,PAGX,28.0,52.6
14002,14150,4.0,3.4
14002,14152,4.0,3.4
14002,14948,3.0,6.4
14002,3180,23.0,38.2
14002,3860,14.0,21.4
14002,7488,24.0,46.6
14002,7492,33.0,54.4
14002,GRIX,30.0,44.0
14002,KRC_P,5.0,5.6
1410,1760,13.0,20.4
1410,2350,7.0,6.8
1410,2350C,7.0,6.8
1410,2530,5.0,4.8
1410,2530C,5.0,4.8
1410,3180,15.0,24.4
1410,3245,8.0,9.8
1410,3640,12.0,14.2
1410,3645,11.0,15.8
1410,3680,18.0,29.0
1410,3680C,18.0,29.0
1410,4100,4.0,6.4
1410,4485,16.0,23.0
1410,4490,12.0,19.8
1410,4760,8.0,13.8
1410,4760C,7.0,13.2
1410,5125,9.0,12.0
1410,5175,6.0,7.6
1410,5180,14.0,18.4
1410,5630,9.0,8.8
1410,5767,3.0,3.6
1410,7485,13.0,21.6
1410,7630,7.0,8.6
1410,8566,16.0,27.2
1410,8570,10.0,8.0
1410,9620,9.0,8.8
1410,BGM,10.0,8.0
1410,KEX,16.0,27.2
1410,KEXC,16.0,27.2
14150,14715,8.0,8.6
14150,14948,5.0,5.4
14150,3180,22.0,41.6
14150,GRIX,27.0,40.8
14152,14715,8.0,8.6
14152,14948,5.0,5.4
14152,3180,22.0,41.6
14152,GRIX,27.0,40.8
1420,18112,24.0,23.2
14715,14948,7.0,9.8
14715,18110,41.0,71.8
14715,18711,42.0,75.2
14715,19205,57.0,118.4
14715,3127,35.0,50.2
14715,3180,26.0,47.0
14715,3215,47.0,89.6
14715,3860,17.0,27.8
14715,4485,48.0,87.2
14715,4490,35.0,50.2
14715,4760,36.0,68.8
14715,5147,33.0,54.8
14715,5180,33.0,52.8
14715,5865,43.0,86.8
14715,6480,29.0,46.4
14715,7300,34.0,51.8
14715,7488,35.0,54.0
14715,7492,37.0,64.0
14715,7498,35.0,60.6
14715,GRIX,29.0,46.0
14715,HED_P,35.0,50.2
14715,KRC_P,9.0,8.0
14948,17320,43.0,99.0
14948,18711,43.0,74.6
14948,19205,53.0,115.6
14948,19235,48.0,100.0
14948,3127,32.0,49.2
14948,3180,25.0,44.6
14948,3215,37.0,73.6
14948,3860,14.0,27.8
14948,4490,33.0,47.6
14948,4760,40.0,68.0
14948,5147,30.0,53.8
14948,5180,28.0,47.2
14948,6225,35.0,58.0
14948,6480,28.0,54.8
