source_commit,source_artifact,physics_label,cell_id,target_fleet,representation_id,time_model,soc_step_kwh,block_min,L_model,L_model_certified,I_model_exact,I_model_lower,I_model_upper,I_model_proven,I_model_method,I_pool_exact,I_pool_lower,I_pool_upper,I_pool_proven,I_timed,timed_fleet_proven,proof_state,target_role,physical_witness_valid,source_cg_wall_s,source_cg_iterations,pool_columns,optimality_scope,model_evidence
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k05_s1,5,uniform_2_5,uniform,2,5,5.142857037857128,true,,6,7,false,censored_after_sandwich_and_arcflow,7,7,7,true,7,false,pool_proven_model_open,industrial_comparator_only,true,1352.8928281667759,750,18558,none,
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k05_s1,5,uniform_2_2,uniform,2,2,4.999999895,true,5,5,5,true,finite_pool_witness_sandwich,5,5,5,true,5,true,model_and_pool_proven,validated_same-model_upper_bound,true,14291.947553593433,1829,37036,fleet_only,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/mip_native/uniform/k05_s1/uniform_2_2/mip.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k05_s1,5,uniform_2_1,uniform,2,1,4.9999998949999425,true,5,5,5,true,industrial_uniform_partition_sandwich,5,5,5,true,5,true,model_and_pool_proven,validated_same-model_upper_bound,true,35066.19192906594,2486,29521,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/uniform/k05_s1/uniform_2_1/witness-v2.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k05_s2,5,event_2p5_event5,event,2.5,5,4.999999899000092,true,5,5,5,true,industrial_event_partition_sandwich,,6,12,false,12,false,model_proven_pool_open,validated_same-model_upper_bound,true,1014.6206268206006,639,16221,none,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/event/k05_s2/witness.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k05_s2,5,uniform_10_10,uniform,10,10,4.999999899000116,true,,5,6,false,censored_after_sandwich_and_arcflow,6,6,6,true,6,true,pool_proven_model_open,industrial_comparator_only,true,384.1867328712251,894,17368,full_pool_lexicographic,
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k05_s2,5,uniform_4_5,uniform,4,5,4.999999898999752,true,,5,12,false,censored_after_sandwich_and_arcflow,,6,12,false,12,false,model_and_pool_open,industrial_comparator_only,true,451.1915750611224,721,11475,none,
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k05_s2,5,uniform_2_5,uniform,2,5,4.999999898999975,true,,5,11,false,censored_after_sandwich_and_arcflow,,6,11,false,18,false,model_and_pool_open,industrial_comparator_only,true,736.9738683022442,634,13021,none,
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k05_s2,5,uniform_2_2,uniform,2,2,4.999999898999987,true,5,5,5,true,industrial_uniform_partition_sandwich,,6,7,false,7,false,model_proven_pool_open,validated_same-model_upper_bound,true,3246.441153390595,748,11521,none,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/uniform/k05_s2/uniform_2_2/witness-v2.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k05_s2,5,uniform_2_1,uniform,2,1,4.999999898999992,true,5,5,5,true,industrial_uniform_partition_sandwich,,6,11,false,11,false,model_proven_pool_open,validated_same-model_upper_bound,true,9114.046788920241,912,11197,none,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/uniform/k05_s2/uniform_2_1/witness-v2.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k05_s3,5,event_2p5_event5,event,2.5,5,4.999999874999959,true,5,5,5,true,industrial_event_partition_sandwich,,5,15,false,15,false,model_proven_pool_open,validated_same-model_upper_bound,true,6274.866780188371,1634,43650,none,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/event/k05_s3/witness.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k05_s3,5,uniform_10_10,uniform,10,10,5.145945820945944,true,,6,12,false,censored_after_sandwich_and_arcflow,,6,12,false,12,false,model_and_pool_open,industrial_comparator_only,true,5120.213724736008,1721,46401,none,
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k05_s3,5,uniform_4_5,uniform,4,5,4.999999875000094,true,,5,22,false,censored_after_sandwich_and_arcflow,,6,22,false,22,false,model_and_pool_open,industrial_comparator_only,true,6885.568752708903,1614,44349,none,
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k05_s3,5,uniform_2_5,uniform,2,5,4.999999874999739,true,,5,25,false,censored_after_sandwich_and_arcflow,,6,25,false,25,false,model_and_pool_open,industrial_comparator_only,true,8880.121213165607,1522,41712,none,
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k05_s3,5,uniform_2_2,uniform,2,2,4.999999874999546,true,5,5,5,true,industrial_uniform_partition_sandwich,,6,9,false,9,false,model_proven_pool_open,validated_same-model_upper_bound,true,15423.859545903222,1445,36412,none,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/uniform/k05_s3/uniform_2_2/witness-v2.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k05_s3,5,uniform_2_1,uniform,2,1,4.99999987501149,true,5,5,5,true,industrial_uniform_partition_sandwich,,6,22,false,22,false,model_proven_pool_open,validated_same-model_upper_bound,true,30207.91665050492,1621,34475,none,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/uniform/k05_s3/uniform_2_1/witness-v2.json
