case_id,trip_count,station_count,route_count,soc_step,delayed_charging,tariff_shape,station_reachability_density,lp_agrees,integer_agrees,pricing_agrees,agreement,pricing_samples,pricing_max_absolute_error,cg_pool_columns,bnp_nodes,arc_variables,wall_s
random_0068,10,2,317,0.5,True,time_varying,0.35,True,True,True,True,32,1.1641532182693481e-10,77,4,1666,0.17212521599867614
random_0069,11,1,411,2.0,False,time_varying,0.4090909090909091,True,True,True,True,32,1.1641532182693481e-10,72,4,405,0.07989088899921626
random_0070,13,2,3375,2.0,True,time_varying,0.6153846153846154,True,False,True,False,32,1.1641532182693481e-10,222,5,4943,1.4729736449953634
random_0071,14,1,244,2.0,False,flat,0.17857142857142858,True,True,True,True,32,1.1641532182693481e-10,76,2,340,0.07088945699797478
random_0072,14,2,1833,2.0,True,time_varying,0.375,True,False,True,False,32,1.1641532182693481e-10,147,4,3500,0.7498102149984334
random_0073,13,1,874,0.5,True,flat,0.6538461538461539,True,True,True,True,32,5.820766091346741e-11,73,1,1402,0.19731214999774238
random_0074,12,1,317,0.5,True,flat,0.5833333333333334,True,True,True,True,32,4.3655745685100555e-11,81,1,993,0.11298789799911901
random_0075,12,1,2247,2.0,True,flat,0.7083333333333334,True,False,True,False,32,1.1641532182693481e-10,148,6,2721,0.6178780480040587
random_0076,9,2,135,2.0,True,time_varying,0.5555555555555556,True,True,True,True,32,5.820766091346741e-11,32,3,1071,0.10866964500019094
random_0077,13,2,1714,2.0,True,time_varying,0.6346153846153846,True,True,True,True,32,5.820766091346741e-11,36,1,3560,0.6547218749983585
random_0078,14,2,688,2.0,True,flat,0.5178571428571429,True,True,True,True,32,5.820766091346741e-11,87,3,2145,0.3658143740030937
random_0079,14,2,347,1.0,False,flat,0.39285714285714285,True,True,True,True,32,5.820766091346741e-11,98,3,651,0.10731723700155271
random_0080,9,1,104,0.5,True,flat,0.5,True,True,True,True,32,5.820766091346741e-11,43,3,847,0.08906391399796121
random_0081,10,1,121,0.5,True,flat,0.65,True,True,True,True,32,5.820766091346741e-11,48,1,611,0.06625079199875472
random_0082,11,1,150,1.0,False,flat,0.5,True,True,True,True,32,2.546585164964199e-11,56,1,380,0.0614115110001876
random_0083,8,1,131,0.5,False,time_varying,0.75,True,True,True,True,32,2.9103830456733704e-11,37,1,320,0.03304665900213877
random_0084,9,1,106,1.0,False,flat,0.6111111111111112,True,True,True,True,32,1.7462298274040222e-10,48,3,271,0.05098179599735886
random_0085,8,2,25,0.5,False,time_varying,0.4375,True,True,True,True,32,5.820766091346741e-11,19,1,136,0.02534998299961444
random_0086,8,2,157,0.5,True,flat,0.625,True,True,True,True,32,4.001776687800884e-11,51,4,1229,0.150640226995165
random_0087,14,1,360,0.5,True,time_varying,0.39285714285714285,True,True,True,True,32,5.820766091346741e-11,66,1,1828,0.27569631899677915
random_0088,10,1,135,2.0,False,flat,0.55,True,True,True,True,32,5.820766091346741e-11,31,1,278,0.03491447799751768
random_0089,10,1,295,0.5,False,time_varying,0.6,True,True,True,True,32,5.820766091346741e-11,68,2,412,0.06401867500244407
random_0090,9,2,179,2.0,True,flat,0.4444444444444444,True,True,True,True,32,1.1641532182693481e-10,70,4,1603,0.15470443700178294
random_0091,9,1,182,2.0,False,flat,0.5555555555555556,True,True,True,True,32,5.820766091346741e-11,63,6,335,0.09202265299973078
random_0092,12,2,47,1.0,True,flat,0.2916666666666667,True,True,True,True,32,2.9103830456733704e-11,35,1,924,0.05784353999479208
random_0093,12,1,624,0.5,False,flat,0.4583333333333333,True,True,True,True,32,5.820766091346741e-11,94,1,431,0.11965117399813607
random_0094,10,2,780,2.0,False,flat,0.725,True,True,True,True,32,8.003553375601768e-11,129,7,1106,0.23490094499720726
random_0095,10,1,94,0.5,False,flat,0.45,True,True,True,True,32,6.184563972055912e-11,48,1,339,0.05256847599957837
random_0096,12,1,286,2.0,True,time_varying,0.4583333333333333,True,True,True,True,32,5.820766091346741e-11,80,2,1053,0.112943432002794
random_0097,12,1,728,1.0,True,time_varying,0.4583333333333333,True,True,True,True,32,2.9103830456733704e-11,111,6,1354,0.2903268299996853
random_0098,8,2,101,1.0,True,time_varying,0.40625,True,True,True,True,32,5.820766091346741e-11,38,1,933,0.08986108499811962
random_0099,12,1,595,1.0,True,time_varying,0.6666666666666666,True,True,True,True,32,1.7462298274040222e-10,62,2,1566,0.2595399060010095
random_0100,11,1,645,0.5,True,time_varying,0.6818181818181818,True,True,True,True,32,5.820766091346741e-11,100,3,1422,0.35807566400035284
random_0101,9,2,511,1.0,False,flat,0.8888888888888888,True,True,True,True,32,2.9103830456733704e-11,20,1,933,0.07371534100093413
