date_utc,run_id,execution_mode,commit,group,cell_id,phase,arm,scale,sel_rep,cg_rep,soc_step,block_min,budget_s,status,label,route_weight,route_weight_meaning,min_reduced_cost,certified,artificial_mass,n_columns,iters,master_s,pricing_s,wall_s,stop_reason,censor_reason,max_rss_mb,mip_incumbent_fleet,mip_bound,mip_gap,first_incumbent_s,mip_nodes,target_fleet,artifact_path,artifact_sha256,notes,source_cg_certified,source_cg_stop_reason,source_cg_iterations,pool_fleet_proven,pool_mip_bound,model_fleet_proven,model_optimality_method,optimality_scope,physical_witness_valid
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG,k30_s3_c1,CG,,30,3,1,15.0,10,,censored,curator_backfill_from_committed_aggregates,83.841234,combined-cost-master route weight,-1.36976e+06,False,0.000000,48194,1620,,,29711,mid_flight,mid_flight,,,,,,,30,analysis/scale_ladder/ll_20260820c/ladder_summary.csv,4bfd2bb61eb7ff1eedec398ddfa3496c66ff19988bb42fc6f11a5fcfbafc1e2f,charging_cost_usd=2293.68; wall_s from elapsed_h (3-decimal hours); primary 15kWh/10min grid; see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG,k40_s2_c1,CG,,40,2,1,15.0,10,,censored,curator_backfill_from_committed_aggregates,301.978951,combined-cost-master route weight,-3.1703e+06,False,0.000000,30759,999,,,29434,mid_flight,mid_flight,,,,,,,40,analysis/scale_ladder/ll_20260820c/ladder_summary.csv,4bfd2bb61eb7ff1eedec398ddfa3496c66ff19988bb42fc6f11a5fcfbafc1e2f,charging_cost_usd=2013.65; wall_s from elapsed_h (3-decimal hours); primary 15kWh/10min grid; see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG,k40_s2_c2,CG,,40,2,2,15.0,10,,censored,curator_backfill_from_committed_aggregates,301.631484,combined-cost-master route weight,-3.27257e+06,False,0.000000,30849,1002,,,29678,mid_flight,mid_flight,,,,,,,40,analysis/scale_ladder/ll_20260820c/ladder_summary.csv,4bfd2bb61eb7ff1eedec398ddfa3496c66ff19988bb42fc6f11a5fcfbafc1e2f,charging_cost_usd=2015.03; wall_s from elapsed_h (3-decimal hours); primary 15kWh/10min grid; see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG_SENSITIVITY,k02_s1_soc5_blk10,CG_SENSITIVITY,,2,1,,5.0,10,,completed,curator_backfill_from_committed_aggregates,2.0000,combined-cost-master route weight,0,True,,5392,265,,,108,,,,,,,,,2,analysis/scale_ladder/ll_20260820c/resolution_matrix.csv,392cdba0002c907bf8b2ce2c0beb0e3f8de9a5bc0faee4ebfa397dc4daf984a7,reaches_target=True; cg replicate id not recorded in committed aggregate; wall_s from elapsed_h (2-decimal hours); see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG_SENSITIVITY,k02_s1_soc2.5_blk10,CG_SENSITIVITY,,2,1,,2.5,10,,completed,curator_backfill_from_committed_aggregates,2.0000,combined-cost-master route weight,0,True,,5966,262,,,144,,,,,,,,,2,analysis/scale_ladder/ll_20260820c/resolution_matrix.csv,392cdba0002c907bf8b2ce2c0beb0e3f8de9a5bc0faee4ebfa397dc4daf984a7,reaches_target=True; cg replicate id not recorded in committed aggregate; wall_s from elapsed_h (2-decimal hours); see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG_SENSITIVITY,k02_s1_soc1_blk10,CG_SENSITIVITY,,2,1,,1.0,10,,completed,curator_backfill_from_committed_aggregates,2.0000,combined-cost-master route weight,0,True,,4890,195,,,288,,,,,,,,,2,analysis/scale_ladder/ll_20260820c/resolution_matrix.csv,392cdba0002c907bf8b2ce2c0beb0e3f8de9a5bc0faee4ebfa397dc4daf984a7,reaches_target=True; cg replicate id not recorded in committed aggregate; wall_s from elapsed_h (2-decimal hours); see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG_SENSITIVITY,k02_s1_soc1_blk5,CG_SENSITIVITY,,2,1,,1.0,5,,completed,curator_backfill_from_committed_aggregates,2.0000,combined-cost-master route weight,0,True,,5239,250,,,720,,,,,,,,,2,analysis/scale_ladder/ll_20260820c/resolution_matrix.csv,392cdba0002c907bf8b2ce2c0beb0e3f8de9a5bc0faee4ebfa397dc4daf984a7,reaches_target=True; cg replicate id not recorded in committed aggregate; wall_s from elapsed_h (2-decimal hours); see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG_SENSITIVITY,k02_s2_soc5_blk10,CG_SENSITIVITY,,2,2,,5.0,10,,completed,curator_backfill_from_committed_aggregates,2.1667,combined-cost-master route weight,0,True,,557,69,,,0,,,,,,,,,2,analysis/scale_ladder/ll_20260820c/resolution_matrix.csv,392cdba0002c907bf8b2ce2c0beb0e3f8de9a5bc0faee4ebfa397dc4daf984a7,reaches_target=False; cg replicate id not recorded in committed aggregate; wall_s from elapsed_h (2-decimal hours); see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG_SENSITIVITY,k02_s2_soc2.5_blk10,CG_SENSITIVITY,,2,2,,2.5,10,,completed,curator_backfill_from_committed_aggregates,2.1538,combined-cost-master route weight,0,True,,573,43,,,0,,,,,,,,,2,analysis/scale_ladder/ll_20260820c/resolution_matrix.csv,392cdba0002c907bf8b2ce2c0beb0e3f8de9a5bc0faee4ebfa397dc4daf984a7,reaches_target=False; cg replicate id not recorded in committed aggregate; wall_s from elapsed_h (2-decimal hours); see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG_SENSITIVITY,k02_s2_soc1_blk10,CG_SENSITIVITY,,2,2,,1.0,10,,completed,curator_backfill_from_committed_aggregates,2.1538,combined-cost-master route weight,0,True,,452,30,,,36,,,,,,,,,2,analysis/scale_ladder/ll_20260820c/resolution_matrix.csv,392cdba0002c907bf8b2ce2c0beb0e3f8de9a5bc0faee4ebfa397dc4daf984a7,reaches_target=False; cg replicate id not recorded in committed aggregate; wall_s from elapsed_h (2-decimal hours); see records/runs/ll_20260820c/README.md,,,,,,,,,
