case_id,pair_id,target_buses,method,selected_parent_sequences,completed_replays,accepted_sequences,rejected_sequences,added_columns,import_seconds,cg_minutes,cg_certified,cg_stop,cg_weighted_objective,fractional_route_count,mip_buses,pool_fleet_bound,fleet_proved_in_pool,charging_proved_in_pool,mip_minutes,cg_path,cg_sha256,mip_path,mip_sha256,input_sha256,seed_status_sha256,seed_journal_sha256
c5_k08_integer,c5_k08,8,previous_k_integer,7,7,7,0,7,0.49435161310248077,26.417207068623973,True,certified,800431.7722696131,7.9999999999999885,8,8.0,True,True,3.0387681325276694,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c5_k08_integer/cg.json,bd03fea5bda702442a884f98630c6ac5b97805640b37bad36f225fd463e68cfb,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c5_k08_integer_mip/mip_result.json,f3c7240a3293a0d030bd2c91dac79b4a7a649c47cad23f098528dd4b39e4fd69,85aa4a37119b2604a41aa83f46c8b8987bb95c8165c4adfb0a58ce65dbeee05b,2ec433d8ea80a93ea19a7b5d87a95191869786dd86d22659a8921c53a9675b5a,475e6cff2938ce33596f04f85d2fe4be36900189cb82853c00da645dd498d6d2
c5_k08_lpweight,c5_k08,8,previous_k_lpweight,7,7,7,0,7,0.49835735419765115,26.343441560623855,True,certified,800431.7722696139,7.999999999999997,9,9.0,True,True,41.96709807713827,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c5_k08_lpweight/cg.json,3252b1265ed124438ccfb5c3f7509c1e853c9a6b72cb898d17cc22fc27d11411,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c5_k08_lpweight_mip/mip_result.json,3098c292375ff8af63c2336410a08c1afafdeb7b02ddaf974e0bdfe2b823de1e,85aa4a37119b2604a41aa83f46c8b8987bb95c8165c4adfb0a58ce65dbeee05b,41a463afbd1ff84e61e6a87a4730086860bf9b6d0b14d55f9301afe14c239461,0a6fd00198064e29b3f360056fa0e5b86d2079d191907ba40bad729986b9f513
c5_k10_integer,c5_k10,10,previous_k_integer,9,9,9,0,9,0.630687149008736,29.42058321758717,True,certified,1000456.3339241378,9.999999999999998,10,10.0,True,True,9.847017061710357,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c5_k10_integer/cg.json,68987837107954118281a06f7bced78c14ce4e3fb83c56d925e47f125e036822,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c5_k10_integer_mip/mip_result.json,c841e1fb2987adf1e6a7e55e2d916f011a7859f07f9ffccc481a5f9c71ff39bd,b2fa6d6ca7c5deda4877c8f22d726dc49e6bddb72a921fee1da34ec1c3ef86f8,6f7a8bdf7573d94f02e1668166187bb5cd6e6109ebe6204fc1332ed86f3e71ba,00b643008f8686cab2c6f86d45af35adebc5a0cb202cd6ef3466b53833fe5652
c5_k10_lpweight,c5_k10,10,previous_k_lpweight,9,9,9,0,9,0.6584374669473618,39.99803933938965,True,certified,1000456.3339241385,10.000000000000005,11,11.0,True,False,210.01285721858343,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c5_k10_lpweight/cg.json,126ab3ca8064d519452a2f4f7e6fdcd626f070b0abc511ee0b35e005b7727457,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c5_k10_lpweight_mip/mip_result.json,013b13454c7c4a0e1567714075561e38e4a4dcea10c6ed931f1142c462d9147f,b2fa6d6ca7c5deda4877c8f22d726dc49e6bddb72a921fee1da34ec1c3ef86f8,5c256e8ad58a1f99612ece1b11321149a227cbe6d16cc1fb7e890e4cb581388e,8744b640b5ba59e3046178a8f45ea8706cd45c88c7c72dc124b3a48a893ccd29
c5_k15_integer,c5_k15,15,previous_k_integer,14,14,14,0,14,0.799748616758734,142.3715342880925,True,certified,1500669.1594586987,14.999999999999954,15,15.0,True,False,210.0315201361974,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c5_k15_integer/cg.json,0a4194436e9029cedab4f3938a473b9ef5b010cda726c25f3a7fd84417c286bb,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c5_k15_integer_mip/mip_result.json,29c09a51084e616763e10fce2dc04de9f00703ff4500c2436192f8a15845984a,985760e3065f3ba1d7d62960ae77ff6d61e7d331eb3ebb6582cc774c4835e240,db2354e2d8be37e8840dd6747ff48ba2527bd04e657ff112504745e3b7492210,5ab4bd5c8908cce7f96e9a9370fc6a96472992f7f91265bf8b785a5f7104ce1a
c5_k15_lpweight,c5_k15,15,previous_k_lpweight,14,14,14,0,14,0.642672274261713,181.7986095784232,True,certified,1500669.1594587006,14.999999999999972,16,15.000000000000272,False,False,210.03521517117818,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c5_k15_lpweight/cg.json,1066ed4cbb76cbfee6adfe5bc551a515994b95d79aac4047056813b3bf026c49,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c5_k15_lpweight_mip/mip_result.json,2a3e20a82990021d983ade6f8d42d9fbcac8b23404e1d54e2bbd16ff9e7cc4d6,985760e3065f3ba1d7d62960ae77ff6d61e7d331eb3ebb6582cc774c4835e240,aff37019994fc27ceec9ff771e3366010918d9853dfd4809f94e110c8074b7b3,59ea911028069c66cf6bbf6070abfccded6b00f3150ac46e004d91fd6013f9b3
c6_k08_integer,c6_k08,8,previous_k_integer,7,7,7,0,7,0.6370820901356637,9.053226181026549,True,certified,800293.6644705874,7.999999999999992,8,8.0,True,True,0.8264581600824992,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c6_k08_integer/cg.json,0af70d3d04b73895f44f99db9edc5d39dc49ec5a0035f286da0b93de3e776877,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c6_k08_integer_mip/mip_result.json,65b863d1c29f6f4c4c049a33ebad6d202a47be171a9d90afde37eb7794137a10,749b356e355c6b7f08f45aa04764f193281215214e084460027fbe63176e400b,11e594094e2067e277a4599598cf3b77c51c697740337832f4a2636fa9c7370d,74e832ac6f363bccae1a003bdb1432ae5c7da672c938f9534478c178c54f2e92
c6_k08_lpweight,c6_k08,8,previous_k_lpweight,7,7,7,0,7,0.4773350483737886,10.200850222236477,True,certified,800293.6644705884,8.000000000000002,8,8.0,True,True,2.622539953390757,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c6_k08_lpweight/cg.json,172aa175419602a00c25b6abfe165a4ba8b17a5ccfd62da3e8e1991454ddf521,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c6_k08_lpweight_mip/mip_result.json,6acf71dc848d59909d52b3e79c9072ca208061ad3bc9a699d8d3c4ee16cb1be9,749b356e355c6b7f08f45aa04764f193281215214e084460027fbe63176e400b,9c902e4b95eb964dab55575871cc6cc98f8cbca4b141b3cee1d72a2125a646de,b6e2c9ec59ab86961416e7e446c98b8c371db49eee921dd675a7574547ef1a1b
c6_k10_integer,c6_k10,10,previous_k_integer,9,9,9,0,9,0.7076817229390144,20.33876248958986,True,certified,1000377.8715555484,9.999999999999929,10,10.0,True,True,11.06699709892273,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c6_k10_integer/cg.json,3c160d412d5c5140fd9d0b5a4c64c34fddec0c8ef1434368ca7b309fe3807ae9,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c6_k10_integer_mip/mip_result.json,d0b8b5d6dfe175649d88faedeb7172a154be95f101c2be652e4def375979223e,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0,12539d47179e1f05ebaa6d01bbf75fbd09c62b9b95054f6f5e8bb09c9d723fba,73bf4c4f0f954aa0f2bdf4cf42bc5964aedde3021cd5f164595b8e1a7cae47de
c6_k10_lpweight,c6_k10,10,previous_k_lpweight,9,9,9,0,9,0.738155588041991,22.00160046443343,True,certified,1000377.8715555517,9.999999999999961,11,11.0,True,False,210.02328540086745,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c6_k10_lpweight/cg.json,15e14e4fc10003dc54daef94403cf8eaef62b928bacec3f9b51ea76ec6fc5e8d,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c6_k10_lpweight_mip/mip_result.json,e122f2f19d594ca1ae98946269d3330f5ae91a7a2b05412f91bc7b155633a025,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0,8758046189738a1497b3298b73d8ae542160acf3d429edbb543fc1c57bb93591,a19ca03c3cdd28650453a4d1e247b80160e1b6d6885e71e07f709a8d590a3a11
c6_k15_integer,c6_k15,15,previous_k_integer,14,14,14,0,14,1.0026591010391712,209.5026100257101,True,certified,1500606.3379640912,15.000000000000151,,,,,,/home/nc437/ladder-lite/overnight_parallel_20260914/cases/c6_k15_integer/cg.json,a26ff65c4411e4c9444cdf2cfc9dcab9508157584465a24a643f9f14c3e0e5ec,,,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95,152f00db509715bfb59c612f93b3fd8323473a5925b13ef59444aecf67f7962a,8427e4349008ea7925d14b90b8c2e1b00ac8736b16b3a3a7da01a14954b7fefc
