arm,kind,from_code,to_code,start_min,end_min,travel_min,energy_kwh,distance_km,source,source_pointer,basis,static_model_comparison
original_giro_13414,Deadhead,2190L,2190,1071,1071,0,0.0,0.0,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,CSV line2195,original scheduled directional movement; may reflect departure-time DHD interval,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""10;9"", ""model_lookup"": ""2190L->2190;2190->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
original_giro_13414,Deadhead,2190,ET_R,1189,1190,1,0.200000003,0.1,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,CSV line2199,original scheduled directional movement; may reflect departure-time DHD interval,
original_giro_13414,Deadhead,ET_R,2190L,1226,1227,1,0.200000003,0.1,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,CSV line2200,original scheduled directional movement; may reflect departure-time DHD interval,
original_giro_13414,Deadhead,2190L,2190,1235,1235,0,0.0,0.0,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,CSV line2202,original scheduled directional movement; may reflect departure-time DHD interval,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""10;9"", ""model_lookup"": ""2190L->2190;2190->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
original_giro_13414,Pull-in,4808,PARX,1290,1297,7,7.80000019,3.9,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,CSV line2204,original scheduled directional movement; may reflect departure-time DHD interval,"{""travel_min"": 7.0, ""energy_kwh"": 7.8, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/par_ref_dhd.csv"", ""model_source_lines"": ""16"", ""model_lookup"": ""symmetric unordered reference pair 4808<->13801"", ""model_basis"": ""static symmetric reference DHD; minimum-duration row""}"
saved_joint_fee0,pull_out,PARX,4808,318.0,325,7.0,7.8,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/0,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 7.0, ""energy_kwh"": 7.8, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/par_ref_dhd.csv"", ""model_source_lines"": ""16"", ""model_lookup"": ""symmetric unordered reference pair 13801<->4808"", ""model_basis"": ""static symmetric reference DHD; minimum-duration row""}"
saved_joint_fee0,station_inbound,2190,2190L,376,376.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/1,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""9;10"", ""model_lookup"": ""2190->2190;2190L->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_outbound,2190L,2190,408.0,408.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/1,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""10;9"", ""model_lookup"": ""2190L->2190;2190->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_inbound,4808,4808,465,465.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/2,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_outbound,4808,4808,472.0,472.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/2,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_inbound,2190,2190L,532,532.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/3,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""9;10"", ""model_lookup"": ""2190->2190;2190L->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_outbound,2190L,2190,539.0,539.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/3,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""10;9"", ""model_lookup"": ""2190L->2190;2190->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_inbound,4808,4808,597,597.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/4,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_outbound,4808,4808,604.0,604.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/4,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_inbound,2190,2190L,659,659.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/5,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""9;10"", ""model_lookup"": ""2190->2190;2190L->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_outbound,2190L,2190,669.0,669.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/5,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""10;9"", ""model_lookup"": ""2190L->2190;2190->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_inbound,4808,4808,727,727.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/6,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_outbound,4808,4808,734.0,734.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/6,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_inbound,2190,2190L,789,789.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/7,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""9;10"", ""model_lookup"": ""2190->2190;2190L->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_outbound,2190L,2190,800.0,800.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/7,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""10;9"", ""model_lookup"": ""2190L->2190;2190->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_inbound,4808,4808,859,859.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/8,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_outbound,4808,4808,866.0,866.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/8,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_inbound,2190,2190L,922,922.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/9,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""9;10"", ""model_lookup"": ""2190->2190;2190L->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_outbound,2190L,2190,929.0,929.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/9,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""10;9"", ""model_lookup"": ""2190L->2190;2190->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_inbound,4808,4808,992,992.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/10,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_outbound,4808,4808,998.0,998.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/10,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_inbound,2190,2190L,1057,1057.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/11,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""9;10"", ""model_lookup"": ""2190->2190;2190L->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_outbound,2190L,2190,1071.0,1071.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/11,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""10;9"", ""model_lookup"": ""2190L->2190;2190->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_inbound,4808,4808,1128,1128.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/12,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,station_outbound,4808,4808,1136.0,1136.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/12,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee0,pull_in,2190,PARX,1189,1208.0,19.0,28.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee0/routes/1/actions/13,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 19.0, ""energy_kwh"": 28.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/par_ref_dhd.csv"", ""model_source_lines"": ""4"", ""model_lookup"": ""symmetric unordered reference pair 2190<->13801"", ""model_basis"": ""static symmetric reference DHD; minimum-duration row""}"
saved_joint_fee5,pull_out,PARX,4808,404.0,411,7.0,7.8,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/0,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 7.0, ""energy_kwh"": 7.8, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/par_ref_dhd.csv"", ""model_source_lines"": ""16"", ""model_lookup"": ""symmetric unordered reference pair 13801<->4808"", ""model_basis"": ""static symmetric reference DHD; minimum-duration row""}"
saved_joint_fee5,station_inbound,2190,2190L,469,469.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/1,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""9;10"", ""model_lookup"": ""2190->2190;2190L->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_outbound,2190L,2190,480.0,480.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/1,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""10;9"", ""model_lookup"": ""2190L->2190;2190->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_inbound,4808,4808,539,539.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/2,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_outbound,4808,4808,546.0,546.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/2,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_inbound,2190,2190L,602,602.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/3,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""9;10"", ""model_lookup"": ""2190->2190;2190L->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_outbound,2190L,2190,640.0,640.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/3,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""10;9"", ""model_lookup"": ""2190L->2190;2190->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
