elapsed_s,iteration,lp_obj,route_weight,artificials,min_rc,pool_columns
514.61,31,1086894.503496,10.866221427,0.000000,-1596937.230941,1001
515.04,32,1054715.175081,10.544459319,0.000000,-1445211.763103,1031
516.07,33,1049608.577700,10.493391449,0.000000,-1442866.849679,1061
516.98,34,1042427.188966,10.421572397,0.000000,-1516446.561951,1091
517.86,35,1041650.587571,10.413805436,0.000000,-1441894.538784,1121
518.75,36,1036249.740532,10.359785106,0.000000,-1192624.879034,1151
519.60,37,1033659.816133,10.333889485,0.000000,-1366627.151241,1181
520.50,38,1032352.936888,10.320824017,0.000000,-1416537.224189,1211
521.45,39,1029776.792286,10.295057135,0.000000,-1170492.987880,1241
522.15,40,1016602.845045,10.163306362,0.000000,-1285249.139991,1271
523.09,41,1011867.127873,10.115941836,0.000000,-1205210.506764,1301
523.85,42,1009940.140541,10.096676281,0.000000,-937420.604690,1331
524.75,43,1008300.561601,10.080281565,0.000000,-1237849.321850,1361
525.63,44,999981.820165,9.997074145,0.000000,-1114690.008528,1391
526.54,45,988052.343457,9.877750706,0.000000,-1493376.949068,1421
527.42,46,952538.904152,9.522585995,0.000000,-1480506.707291,1451
528.12,47,935273.178685,9.349924568,0.000000,-1239374.788256,1481
529.08,48,925287.716281,9.250076469,0.000000,-955777.465947,1511
530.23,49,917557.538957,9.172782890,0.000000,-1049129.533231,1541
530.80,50,902687.293403,9.024062052,0.000000,-979540.813554,1571
531.34,51,894306.674593,8.940235749,0.000000,-903657.329233,1601
531.96,52,883863.660905,8.835812988,0.000000,-1212835.456193,1631
532.97,53,866572.245586,8.662866309,0.000000,-719122.811173,1661
533.64,54,842515.829103,8.422289883,0.000000,-1272294.055091,1691
534.48,55,823042.134302,8.227554728,0.000000,-1231025.904694,1721
535.19,56,792010.859304,7.917187286,0.000000,-980086.759202,1751
536.18,57,765262.858717,7.649648264,0.000000,-1109682.969505,1781
537.08,58,747587.515521,7.472854239,0.000000,-1050683.478252,1811
538.15,59,734337.969826,7.340328047,0.000000,-964298.015238,1841
539.14,60,726148.636931,7.258447248,0.000000,-879905.321091,1871
540.10,61,712452.489056,7.121486550,0.000000,-764177.694711,1901
540.98,62,711084.454082,7.107807595,0.000000,-752058.070666,1931
541.51,63,695891.640925,6.955875287,0.000000,-815361.040863,1961
542.63,64,683824.793183,6.835197861,0.000000,-662475.740948,1991
543.21,65,676822.025842,6.765175795,0.000000,-620772.918370,2021
543.70,66,669333.167167,6.690274086,0.000000,-570728.523203,2051
544.23,67,660200.356446,6.598943563,0.000000,-509603.039710,2081
544.74,68,657221.475836,6.569143206,0.000000,-654155.151764,2111
545.16,69,653344.568567,6.530376796,0.000000,-622806.653001,2141
545.70,70,649474.019306,6.491661876,0.000000,-579101.368383,2171
546.40,71,645411.503525,6.451024052,0.000000,-514655.718576,2201
547.37,72,639267.371266,6.389585366,0.000000,-714285.475512,2231
547.83,73,618151.567892,6.178400336,0.000000,-538801.395194,2261
548.44,74,611520.340718,6.112090946,0.000000,-465146.764263,2291
549.40,75,607380.102684,6.070671506,0.000000,-397987.224995,2321
549.95,76,604813.124426,6.045005467,0.000000,-350847.313543,2351
550.62,77,596762.269865,5.964477245,0.000000,-491481.158413,2381
551.13,78,583672.345912,5.833579349,0.000000,-287382.858744,2411
551.69,79,576806.399295,5.764928976,0.000000,-218216.910647,2441
552.16,80,571536.387350,5.712216085,0.000000,-185269.124355,2471
552.63,81,567309.429098,5.669910940,0.000000,-153287.585116,2501
553.18,82,565447.450276,5.651284315,0.000000,-130306.944259,2531
553.65,83,562721.025444,5.624024062,0.000000,-131761.472291,2561
554.11,84,561496.014533,5.611792527,0.000000,-121998.669849,2591
554.73,85,560289.257687,5.599726907,0.000000,-109816.848165,2621
555.63,86,558747.557539,5.584286132,0.000000,-142155.603765,2651
556.12,87,556829.806618,5.565125406,0.000000,-174958.944858,2681
556.62,88,556829.806618,5.565125406,0.000000,-98114.392345,2711
557.16,89,556829.806618,5.565125406,0.000000,-164903.945164,2741
558.00,90,555707.047823,5.553874243,0.000000,-93348.183914,2771
558.90,91,554045.845127,5.537275450,0.000000,-95155.141791,2801
559.72,92,553654.539498,5.533355323,0.000000,-120756.083413,2831
560.21,93,553330.842023,5.530124090,0.000000,-97348.465284,2861
