case,route_index_zero_based,trip_count,shared,target_denominator,coverage,jaccard,union_denominator,source_trip_ids,shared_trip_ids,charge_starts,fleet_size,fleet_overcovered_trips,input_hash
w3_k05_fee0,3,29,5,22,0.22727272727272727,0.10869565217391304,46,"[""239"", ""250"", ""901"", ""792"", ""793"", ""796"", ""606"", ""609"", ""613"", ""617"", ""815"", ""922"", ""275"", ""432"", ""303"", ""443"", ""315"", ""327"", ""659"", ""663"", ""966"", ""967"", ""339"", ""344"", ""672"", ""675"", ""676"", ""679"", ""680""]","[""792"", ""793"", ""796"", ""901"", ""922""]",8,5,3,161036b627aa969a9495ca5ff04d57c526d4f2aa6afd023d55524d5a9a809fb4
w3_k05_fee5,3,29,5,22,0.22727272727272727,0.10869565217391304,46,"[""239"", ""250"", ""901"", ""792"", ""793"", ""796"", ""606"", ""609"", ""613"", ""617"", ""815"", ""922"", ""275"", ""432"", ""303"", ""443"", ""315"", ""327"", ""659"", ""663"", ""966"", ""967"", ""339"", ""344"", ""672"", ""675"", ""676"", ""679"", ""680""]","[""792"", ""793"", ""796"", ""901"", ""922""]",2,5,3,161036b627aa969a9495ca5ff04d57c526d4f2aa6afd023d55524d5a9a809fb4
w6_k10_fee5,5,23,4,22,0.18181818181818182,0.0975609756097561,41,"[""570"", ""771"", ""772"", ""229"", ""234"", ""586"", ""589"", ""593"", ""597"", ""506"", ""518"", ""408"", ""271"", ""923"", ""926"", ""287"", ""429"", ""299"", ""309"", ""949"", ""842"", ""843"", ""846""]","[""229"", ""234"", ""586"", ""589""]",1,10,12,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0
w3_k15_fee5,9,12,3,22,0.13636363636363635,0.0967741935483871,31,"[""226"", ""229"", ""234"", ""242"", ""281"", ""287"", ""208"", ""306"", ""212"", ""155"", ""170"", ""179""]","[""226"", ""229"", ""234""]",2,15,18,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k05_fee0,1,25,3,22,0.13636363636363635,0.06818181818181818,44,"[""769"", ""360"", ""363"", ""579"", ""583"", ""586"", ""589"", ""593"", ""597"", ""393"", ""412"", ""924"", ""720"", ""721"", ""930"", ""933"", ""937"", ""294"", ""437"", ""947"", ""951"", ""320"", ""325"", ""739"", ""741""]","[""393"", ""586"", ""589""]",6,5,3,161036b627aa969a9495ca5ff04d57c526d4f2aa6afd023d55524d5a9a809fb4
w3_k05_fee5,1,25,3,22,0.13636363636363635,0.06818181818181818,44,"[""769"", ""360"", ""363"", ""579"", ""583"", ""586"", ""589"", ""593"", ""597"", ""393"", ""412"", ""924"", ""720"", ""721"", ""930"", ""933"", ""937"", ""294"", ""437"", ""947"", ""951"", ""320"", ""325"", ""739"", ""741""]","[""393"", ""586"", ""589""]",1,5,3,161036b627aa969a9495ca5ff04d57c526d4f2aa6afd023d55524d5a9a809fb4
w3_k15_fee0,1,17,2,22,0.09090909090909091,0.05405405405405406,37,"[""584"", ""587"", ""590"", ""594"", ""393"", ""396"", ""611"", ""615"", ""619"", ""623"", ""275"", ""208"", ""306"", ""445"", ""450"", ""739"", ""741""]","[""393"", ""396""]",3,15,17,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w6_k10_fee5,4,17,2,22,0.09090909090909091,0.05405405405405406,37,"[""685"", ""771"", ""772"", ""365"", ""368"", ""372"", ""243"", ""251"", ""264"", ""267"", ""412"", ""630"", ""633"", ""638"", ""641"", ""212"", ""223""]","[""638"", ""641""]",1,10,12,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0
w3_k10_fee0,2,21,2,22,0.09090909090909091,0.04878048780487805,41,"[""886"", ""584"", ""587"", ""590"", ""594"", ""393"", ""396"", ""611"", ""615"", ""619"", ""623"", ""930"", ""287"", ""429"", ""299"", ""443"", ""315"", ""327"", ""958"", ""961"", ""661""]","[""393"", ""396""]",4,10,1,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d
w3_k10_fee5,2,21,2,22,0.09090909090909091,0.04878048780487805,41,"[""886"", ""584"", ""587"", ""590"", ""594"", ""393"", ""396"", ""611"", ""615"", ""619"", ""623"", ""930"", ""287"", ""429"", ""299"", ""443"", ""315"", ""327"", ""958"", ""961"", ""661""]","[""393"", ""396""]",1,10,1,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d
w3_k15_fee5,0,23,2,22,0.09090909090909091,0.046511627906976744,43,"[""491"", ""494"", ""779"", ""205"", ""590"", ""594"", ""393"", ""396"", ""514"", ""815"", ""924"", ""720"", ""721"", ""823"", ""826"", ""425"", ""432"", ""303"", ""441"", ""445"", ""450"", ""958"", ""961""]","[""393"", ""396""]",1,15,18,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
