341180|RUNNING|jingjie-cpu-10|13:21|13:00:00|8|32G|jingjie-cpu-10
341181|RUNNING|jingjie-cpu-10|13:21|9:00:00|8|32G|jingjie-cpu-10
341182|RUNNING|jingjie-cpu-15|13:21|13:00:00|8|32G|jingjie-cpu-15
341183|RUNNING|jingjie-cpu-15|13:21|9:00:00|8|32G|jingjie-cpu-15
341184|RUNNING|jingjie-cpu-15|13:21|13:00:00|8|32G|jingjie-cpu-15
341185|RUNNING|jingjie-cpu-18|13:21|9:00:00|8|32G|jingjie-cpu-18
341186|RUNNING|jingjie-cpu-18|13:21|13:00:00|8|32G|jingjie-cpu-18
341187|RUNNING|jingjie-cpu-18|13:21|9:00:00|8|32G|jingjie-cpu-18
341188|RUNNING|jingjie-cpu-18|13:21|13:00:00|8|32G|jingjie-cpu-18
341189|RUNNING|jingjie-cpu-16|13:21|9:00:00|8|32G|jingjie-cpu-16
340949|RUNNING|unicorn-cpu-76|25:11|4:30:00|8|24G|unicorn-cpu-76
340950|RUNNING|garg-cpu-02|25:11|4:30:00|8|24G|garg-cpu-02
340952|RUNNING|garg-cpu-02|25:11|4:30:00|8|24G|garg-cpu-02
340953|RUNNING|garg-cpu-02|25:11|4:30:00|8|24G|garg-cpu-02
340954|RUNNING|sablab-cpu-02|25:11|4:30:00|8|24G|sablab-cpu-02
340955|RUNNING|jingjie-cpu-04|25:11|4:30:00|8|24G|jingjie-cpu-04
340956|RUNNING|jingjie-cpu-04|25:11|4:30:00|8|24G|jingjie-cpu-04
340957|RUNNING|jingjie-cpu-01|25:11|4:30:00|8|24G|jingjie-cpu-01
340958|RUNNING|jingjie-cpu-01|25:11|4:30:00|8|24G|jingjie-cpu-01
340959|RUNNING|jingjie-cpu-01|25:11|4:30:00|8|24G|jingjie-cpu-01
340960|RUNNING|jingjie-cpu-01|25:11|4:30:00|8|24G|jingjie-cpu-01
340961|RUNNING|jingjie-cpu-01|25:11|4:30:00|8|24G|jingjie-cpu-01
340962|RUNNING|jingjie-cpu-02|25:11|4:30:00|8|24G|jingjie-cpu-02
340963|RUNNING|jingjie-cpu-02|25:11|4:30:00|8|24G|jingjie-cpu-02
340964|RUNNING|jingjie-cpu-02|25:11|4:30:00|8|24G|jingjie-cpu-02
340965|RUNNING|jingjie-cpu-02|25:11|4:30:00|8|24G|jingjie-cpu-02
340966|RUNNING|jingjie-cpu-02|25:11|4:30:00|8|24G|jingjie-cpu-02
340967|RUNNING|jingjie-cpu-08|25:11|4:30:00|8|24G|jingjie-cpu-08
340968|RUNNING|jingjie-cpu-08|25:11|13:30:00|8|24G|jingjie-cpu-08
340969|RUNNING|jingjie-cpu-08|25:11|4:30:00|8|24G|jingjie-cpu-08
340970|RUNNING|jingjie-cpu-06|25:11|4:30:00|8|24G|jingjie-cpu-06
340971|RUNNING|jingjie-cpu-06|25:11|4:30:00|8|24G|jingjie-cpu-06
340972|RUNNING|jingjie-cpu-06|25:11|4:30:00|8|24G|jingjie-cpu-06
340973|RUNNING|jingjie-cpu-06|25:11|4:30:00|8|24G|jingjie-cpu-06
340974|RUNNING|jingjie-cpu-07|25:11|4:30:00|8|24G|jingjie-cpu-07
340975|RUNNING|jingjie-cpu-07|25:11|4:30:00|8|24G|jingjie-cpu-07
340976|RUNNING|jingjie-cpu-07|25:11|4:30:00|8|24G|jingjie-cpu-07
