schema,cell_id,scale,selection_replicate,duty_id,trip_count,instance_file_sha256,duty_ordered_trip_sequence_sha256,known_partition_continuously_feasible,known_partition_in_primary_expanded_space,fixed_sequence_pricing_certified,first_feasible_soc_step,first_feasible_block_min,nonrepresentability_reason,grid_outcome_count,v1_parity_verified,trip_identity_schema
evsp-dr-scale-ladder-duty-membership-summary-v2,k05_s1,5,1,13408,11,fc10ac0707becb960364e76b8c1e1c414d5d5639cbc3b7dadaf67a77e03f5322,088748acfa33d194fa44e6809e6bf829b4230475cb2988ba9e708ce0bf18a874,True,False,True,1.0,5,no fixed-duty transition 32->39,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k05_s1,5,1,13410,15,fc10ac0707becb960364e76b8c1e1c414d5d5639cbc3b7dadaf67a77e03f5322,69df504180bcbcb9d928f42e91f3b2c752b6a6fe7469f149961b907b6a6514ce,True,False,True,1.0,5,no fixed-duty transition 49->55,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k05_s1,5,1,13411,14,fc10ac0707becb960364e76b8c1e1c414d5d5639cbc3b7dadaf67a77e03f5322,2fbf856bd5955eb8ce2bbad32f135400ec9dbc46d755cc471555eccd46aab39b,True,False,False,,,no fixed-duty transition 46->53;blocked_through_1kwh_5min,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k05_s1,5,1,13412,15,fc10ac0707becb960364e76b8c1e1c414d5d5639cbc3b7dadaf67a77e03f5322,5108808dce1a46f649b30388164c5110618d6ffa14ba372b9fbb88e0fc475898,True,True,True,15.0,10,,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k05_s2,5,2,13307,15,6ffea0b8cd3a9d15846946f6828705dd3431b7bafc69bd572ca30ed4530d5cb8,88cc8916a79c7e530872d2076ca8636351b6cde70cf104896590df82c959c451,True,True,True,15.0,10,,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k05_s2,5,2,13315,31,6ffea0b8cd3a9d15846946f6828705dd3431b7bafc69bd572ca30ed4530d5cb8,ea62524e437aa09f55fdb5145d553719c277ffd365c2a6c0f6a239cc255dd85a,True,False,True,1.0,5,no fixed-duty transition 36->39,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k05_s2,5,2,13326,21,6ffea0b8cd3a9d15846946f6828705dd3431b7bafc69bd572ca30ed4530d5cb8,0a5ad539fafae8419632af9f0cc2a8c7a0e6909051b34d592303d25f97622ab3,True,False,True,1.0,5,no fixed-duty transition 57->61,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k05_s2,5,2,13402,17,6ffea0b8cd3a9d15846946f6828705dd3431b7bafc69bd572ca30ed4530d5cb8,a2ef21ed819ac58e0609917c779c0994caf18bae110226c8b91f196cd928d912,True,False,True,1.0,5,no fixed-duty transition 67->76,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k05_s2,5,2,13407,17,6ffea0b8cd3a9d15846946f6828705dd3431b7bafc69bd572ca30ed4530d5cb8,bb2c6104f753e4d92fa6e025a521e375f9d6f275e66a3a72de47e505d57616bf,True,False,True,2.5,10,no fixed-duty transition 93->95,3,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k05_s3,5,3,13304,37,4a783b4f96ec47e28a693b921d51a4453ecfb1107d8c181a7739f42c41fd8500,eb3931d1e3fa96f1ca4a74b832443b86ea33e4523a946f4715a8778bf6c6217c,True,False,True,1.0,5,no fixed-duty transition 103->104,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k05_s3,5,3,13305,30,4a783b4f96ec47e28a693b921d51a4453ecfb1107d8c181a7739f42c41fd8500,74dff6b15bcaf2d172bb850a62f131480ca1bf559c1607eb76e12ac18d82899b,True,False,True,1.0,5,no fixed-duty transition 36->37,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k05_s3,5,3,13308,31,4a783b4f96ec47e28a693b921d51a4453ecfb1107d8c181a7739f42c41fd8500,55031c14f155caac397b180cb979a90d51d47f4d5cab4068d875b7b3a0815fbc,True,False,True,2.5,10,no fixed-duty transition 87->90,3,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k05_s3,5,3,13413,15,4a783b4f96ec47e28a693b921d51a4453ecfb1107d8c181a7739f42c41fd8500,475dc16737406cb49efbc199851c630d344fdf797b99e84b6d7c777a0c0e72d5,True,False,True,1.0,5,no fixed-duty transition 47->53,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k05_s3,5,3,13414,12,4a783b4f96ec47e28a693b921d51a4453ecfb1107d8c181a7739f42c41fd8500,b591009977b72b269bc6f903f4e58b8a376efb8646da5212e6c9845829ec2862,True,True,True,15.0,10,,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s1,8,1,13301,36,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,7987d941cd051a7d32a09d65a210b82201e16d3e98ee40c6b9123449ed4fab1d,True,False,False,,,no fixed-duty transition 125->132;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s1,8,1,13305,30,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,74dff6b15bcaf2d172bb850a62f131480ca1bf559c1607eb76e12ac18d82899b,True,False,False,,,no fixed-duty transition 49->54;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s1,8,1,13316m,23,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,c23ae04b38aa5cfeee1ecbe9ce9a8cfb669889c2390de772481d08b98a6c26fc,True,False,False,,,no fixed-duty transition 128->134;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s1,8,1,13318,33,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,504a5e997600b0a554fbe023a89ac8f3978a8b9c5afce521c8fcec8029b08640,True,False,False,,,no fixed-duty transition 139->146;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s1,8,1,13325,42,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,727e0559412efe018e12916f4f306f5d8cb96485f2570c39ef520e5ef28adbf0,True,False,False,,,no fixed-duty transition 72->78;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s1,8,1,13403,14,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,4a1b851c743ecb23dfac34686192ea00bce82f719341df599765f48c79296488,True,False,False,,,no fixed-duty transition 115->133;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s1,8,1,13405,13,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,238ede6c93534f42780498e601110ef27dc124ead38464dc96483a89e2050638,True,False,False,,,no fixed-duty transition 51->62;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s1,8,1,13414,12,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,b591009977b72b269bc6f903f4e58b8a376efb8646da5212e6c9845829ec2862,True,True,True,15.0,10,,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s2,8,2,13304,37,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,eb3931d1e3fa96f1ca4a74b832443b86ea33e4523a946f4715a8778bf6c6217c,True,False,False,,,no fixed-duty transition 165->167;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s2,8,2,13305,30,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,74dff6b15bcaf2d172bb850a62f131480ca1bf559c1607eb76e12ac18d82899b,True,False,False,,,no fixed-duty transition 55->61;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s2,8,2,13309,22,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,d1d03c5f788c10f4a8d78a5647fd277f90a3594006fbe250eca27867565655a4,True,True,True,15.0,10,,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s2,8,2,13314,16,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,48581e901c871d42412b2f3a3cc1189b831a3f0997a72b01203c9ba6560678b0,True,False,False,,,no fixed-duty transition 128->138;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s2,8,2,13316uwt,21,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,4dcd4a0648f081669dcbfb4fe995edb34da35e9d0d3f5fb57b1501dd8cf81b21,True,False,False,,,no fixed-duty transition 124->133;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s2,8,2,13322,26,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,e4a831817da57ac646d13e696f3928d5934a2fb4d445c13d71177e34c8740675,True,False,False,,,no fixed-duty transition 71->74;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s2,8,2,13403,14,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,4a1b851c743ecb23dfac34686192ea00bce82f719341df599765f48c79296488,True,False,False,,,no fixed-duty transition 115->131;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s2,8,2,13407,17,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,bb2c6104f753e4d92fa6e025a521e375f9d6f275e66a3a72de47e505d57616bf,True,False,False,,,no fixed-duty transition 160->166;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s3,8,3,13305,30,0576894030c0dadd6218f14cc2791f8f727d4bc880c0e26ec295db5a7fcdf9a9,74dff6b15bcaf2d172bb850a62f131480ca1bf559c1607eb76e12ac18d82899b,True,False,False,,,no fixed-duty transition 54->59;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s3,8,3,13308,31,0576894030c0dadd6218f14cc2791f8f727d4bc880c0e26ec295db5a7fcdf9a9,55031c14f155caac397b180cb979a90d51d47f4d5cab4068d875b7b3a0815fbc,True,False,False,,,no fixed-duty transition 139->143;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s3,8,3,13310,24,0576894030c0dadd6218f14cc2791f8f727d4bc880c0e26ec295db5a7fcdf9a9,dcfe4d18847b249928320cf3a081c134eed6730aed99fa38fc738ff43225c583,True,False,False,,,no fixed-duty transition 68->70;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s3,8,3,13316m,23,0576894030c0dadd6218f14cc2791f8f727d4bc880c0e26ec295db5a7fcdf9a9,c23ae04b38aa5cfeee1ecbe9ce9a8cfb669889c2390de772481d08b98a6c26fc,True,False,False,,,no fixed-duty transition 119->123;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s3,8,3,13323,8,0576894030c0dadd6218f14cc2791f8f727d4bc880c0e26ec295db5a7fcdf9a9,6417017ba38dc24b35cbe87c27d8128c938ede3921293c23a72f2ad948e4e09d,True,True,True,15.0,10,,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s3,8,3,13401,12,0576894030c0dadd6218f14cc2791f8f727d4bc880c0e26ec295db5a7fcdf9a9,fb081e5b4f9e108d78f71ff74ea2b759d21de2e49e45cfb5132bab4555eb615e,True,True,True,15.0,10,,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s3,8,3,13403,14,0576894030c0dadd6218f14cc2791f8f727d4bc880c0e26ec295db5a7fcdf9a9,4a1b851c743ecb23dfac34686192ea00bce82f719341df599765f48c79296488,True,False,False,,,no fixed-duty transition 106->122;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k08_s3,8,3,13404,17,0576894030c0dadd6218f14cc2791f8f727d4bc880c0e26ec295db5a7fcdf9a9,d0a70aff5e47cb3e0cfa93a1f8cee017de70d0aa434e45d5a482b1fbdd95716a,True,False,False,,,no fixed-duty transition 77->87;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s1,13,1,13308,31,ecbfec1ae18e45fb8246d66dffdc45173bea9dfccc64024224236cc529895127,55031c14f155caac397b180cb979a90d51d47f4d5cab4068d875b7b3a0815fbc,True,False,False,,,no fixed-duty transition 225->234;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s1,13,1,13309,22,ecbfec1ae18e45fb8246d66dffdc45173bea9dfccc64024224236cc529895127,d1d03c5f788c10f4a8d78a5647fd277f90a3594006fbe250eca27867565655a4,True,True,True,15.0,10,,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s1,13,1,13312,46,ecbfec1ae18e45fb8246d66dffdc45173bea9dfccc64024224236cc529895127,10dc1848d202a33e101f933d2b8079537f5c7b9e1c5d21ec59e78c0d2c743263,True,False,False,,,no fixed-duty transition 99->106;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s1,13,1,13316m,23,ecbfec1ae18e45fb8246d66dffdc45173bea9dfccc64024224236cc529895127,c23ae04b38aa5cfeee1ecbe9ce9a8cfb669889c2390de772481d08b98a6c26fc,True,False,False,,,no fixed-duty transition 194->202;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s1,13,1,13318,33,ecbfec1ae18e45fb8246d66dffdc45173bea9dfccc64024224236cc529895127,504a5e997600b0a554fbe023a89ac8f3978a8b9c5afce521c8fcec8029b08640,True,False,False,,,no fixed-duty transition 208->217;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s1,13,1,13322,26,ecbfec1ae18e45fb8246d66dffdc45173bea9dfccc64024224236cc529895127,e4a831817da57ac646d13e696f3928d5934a2fb4d445c13d71177e34c8740675,True,False,False,,,no fixed-duty transition 105->109;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s1,13,1,13326,21,ecbfec1ae18e45fb8246d66dffdc45173bea9dfccc64024224236cc529895127,0a5ad539fafae8419632af9f0cc2a8c7a0e6909051b34d592303d25f97622ab3,True,False,False,,,no fixed-duty transition 131->141;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s1,13,1,13401,12,ecbfec1ae18e45fb8246d66dffdc45173bea9dfccc64024224236cc529895127,fb081e5b4f9e108d78f71ff74ea2b759d21de2e49e45cfb5132bab4555eb615e,True,True,True,15.0,10,,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s1,13,1,13403,14,ecbfec1ae18e45fb8246d66dffdc45173bea9dfccc64024224236cc529895127,4a1b851c743ecb23dfac34686192ea00bce82f719341df599765f48c79296488,True,False,False,,,no fixed-duty transition 179->200;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s1,13,1,13404,17,ecbfec1ae18e45fb8246d66dffdc45173bea9dfccc64024224236cc529895127,d0a70aff5e47cb3e0cfa93a1f8cee017de70d0aa434e45d5a482b1fbdd95716a,True,False,False,,,no fixed-duty transition 120->143;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s1,13,1,13407,17,ecbfec1ae18e45fb8246d66dffdc45173bea9dfccc64024224236cc529895127,bb2c6104f753e4d92fa6e025a521e375f9d6f275e66a3a72de47e505d57616bf,True,False,False,,,no fixed-duty transition 242->254;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s1,13,1,13413,15,ecbfec1ae18e45fb8246d66dffdc45173bea9dfccc64024224236cc529895127,475dc16737406cb49efbc199851c630d344fdf797b99e84b6d7c777a0c0e72d5,True,False,False,,,no fixed-duty transition 130->152;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s1,13,1,13414,12,ecbfec1ae18e45fb8246d66dffdc45173bea9dfccc64024224236cc529895127,b591009977b72b269bc6f903f4e58b8a376efb8646da5212e6c9845829ec2862,True,True,True,15.0,10,,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s2,13,2,13306,30,8a70d12b28a0474e0a488194a79f47ce322394c6f109513bb7525788342bcc48,5d3fbd1bf00c639d98bc0194e24f6166a31ad823fb44602e8ba407669ab2d2d2,True,False,False,,,no fixed-duty transition 73->78;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s2,13,2,13308,31,8a70d12b28a0474e0a488194a79f47ce322394c6f109513bb7525788342bcc48,55031c14f155caac397b180cb979a90d51d47f4d5cab4068d875b7b3a0815fbc,True,False,False,,,no fixed-duty transition 215->224;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s2,13,2,13310,24,8a70d12b28a0474e0a488194a79f47ce322394c6f109513bb7525788342bcc48,dcfe4d18847b249928320cf3a081c134eed6730aed99fa38fc738ff43225c583,True,False,False,,,no fixed-duty transition 104->108;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s2,13,2,13314,16,8a70d12b28a0474e0a488194a79f47ce322394c6f109513bb7525788342bcc48,48581e901c871d42412b2f3a3cc1189b831a3f0997a72b01203c9ba6560678b0,True,False,False,,,no fixed-duty transition 192->201;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s2,13,2,13316uwt,21,8a70d12b28a0474e0a488194a79f47ce322394c6f109513bb7525788342bcc48,4dcd4a0648f081669dcbfb4fe995edb34da35e9d0d3f5fb57b1501dd8cf81b21,True,False,False,,,no fixed-duty transition 184->193;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s2,13,2,13317,37,8a70d12b28a0474e0a488194a79f47ce322394c6f109513bb7525788342bcc48,9227b81028d9e24dade2a5fcc5ec44283e47673ad7ec148dfd961f55d067afbc,True,False,False,,,no fixed-duty transition 101->105;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s2,13,2,13322,26,8a70d12b28a0474e0a488194a79f47ce322394c6f109513bb7525788342bcc48,e4a831817da57ac646d13e696f3928d5934a2fb4d445c13d71177e34c8740675,True,False,False,,,no fixed-duty transition 106->114;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s2,13,2,13323,8,8a70d12b28a0474e0a488194a79f47ce322394c6f109513bb7525788342bcc48,6417017ba38dc24b35cbe87c27d8128c938ede3921293c23a72f2ad948e4e09d,True,True,True,15.0,10,,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s2,13,2,13407,17,8a70d12b28a0474e0a488194a79f47ce322394c6f109513bb7525788342bcc48,bb2c6104f753e4d92fa6e025a521e375f9d6f275e66a3a72de47e505d57616bf,True,False,False,,,no fixed-duty transition 231->239;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k13_s2,13,2,13408,11,8a70d12b28a0474e0a488194a79f47ce322394c6f109513bb7525788342bcc48,088748acfa33d194fa44e6809e6bf829b4230475cb2988ba9e708ce0bf18a874,True,False,False,,,no fixed-duty transition 96->111;adaptive_sensitivity_not_run_scale_gt5,1,True,evsp-dr-trip-identity-v1
