duty_id,base_duty_id,trip_count,duty_instance_sha256,continuous_physical_feasible_240_240,physical_replay_status,certificate_scope,certificate_sha256,solver,scipy_version,implementation_sha256,problem_identity_sha256,replay_sha256,objective,terminal_soc_kwh,charge_events
13320,13320,16,940960d6f0a74f56f584048110cc165eb45e022d46f481025a0e59f81866e875,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,a42e3f4c3110dd4beb1a2b05d66c9581374b04d5acad427ae1dbf73c82389366,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,5a31ed5cb25b5f323aaf9b968514be7f532ea29c80ccd2790cf704acc0b1aabe,c1e9e37d21ff1544fd15cd0eb76b5289532c82b34664b066e96b04493908803b,100011.161410863,0.0,1
13321,13321,22,38799a8926e79a869f49fe249b6758895bf0ebff20d0bddbb90052583c09fdb7,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,746e0d557dc63800fc2ba80893291b359d1e1e8cf553229dda15c8376fdd093a,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,6c4e07b104b314071738e243b48987975116ed2ef04554e1b4a215918e1d2f34,2f1687e4f4b685ac7e1dde3e4384d06370f60a730162b405a6a1b3b42a938b1c,100036.103113441,0.0,3
13322,13322,26,146e565cd787850271bf61644d6b2e808d1596671016cb0ffdcdafb283463bb6,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,34a9a402bbcc214966c5dcc72e90ed8a09eadadcdd3b9d8e5aa7032dc8eb17b6,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,9ed615ecd0461f4836e7b490cee36e97977d9445327955454d10c3dc2c757e74,1976261f79ab9963e359a30bcf47433dd178ac3c03ce29f9b935974d9926edca,100044.755977382,0.0,5
13323,13323,8,0d935f730a582087cc1a4fdd58258acb817e089c07b860eb9745624e4b4be14f,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,8f73aa9ad73e4616cfe18972baeb6795f5ff2e913a0875c42e05eda97ad197a5,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,d751304670f9ffb66def4597f7084ce6fda06827c01a6ac3aa2f7c35fd7391e3,9f9c64d12127281e9114b367bd7d176aba98b1ea55300c7e9cd29ddb6deb8d8b,100000.0,2.9090006,0
13324muw,13324,17,9d8e00367c5149b5fa7df38c4516cda03a1200c7b3db1e60aacc456a926461c2,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,e2f4435c8bda5bc3d995b30bca557ac2ec3cdf16480acd9e7c6aac5b052dff29,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,d750c75eec1dc87ee8ad0caa9e9111ad2c6f2b41a9c75190fcd7d32505dd7a2b,9199fa003764a00d6b75a5e46fed16df5dc6201286c4608fc03bb2454a9054d1,100015.597932459,0.0,1
13324t,13324,18,2272a0bce5e956ba30d77e55aaeb881a247a397e60ea81a431c136026a460cea,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,de81f26dd629b2bfb9ed438d0b4dc98b0a647df1227cb15ff42cd7a7cf11ce0c,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,ffc2f082b0553bf936348f64602ea72999efd7293db17207d09703692dd54f6f,9a40a817674c52e9a582da5d18cd5513ee48389c5c44c8f1ce23ca45f39967f5,100016.236383636,0.0,1
13325,13325,42,8e5c72a1230c878d87eb279df986fa8d04da46d8d8f966f8fba4dead6f16fbd2,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,fa6a575661e5153387057dba4c9e34a2aa61d58dc177d1c7cd718462003a1a4f,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,a65bc38999f4abd359b0e9fc8bd553a1f63e3be4578e1f9f6e4a79d3156a68aa,406eccd9c5eaf746076033bc62a815285da78c6ae3c812eff42e2cb1c87c18a5,100086.245154555,0.0,8
13326,13326,21,eecd19c587cbb983711e8c9f660a8448a74936cbe99d329b828cb2a67e05c521,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,dd3891c0add073f6f90edad3f8f4d59a3404f3c4a2b15eb8dc86ddc1eede5625,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,1b78dcb59b1fe2912f4ec746f9193415a214b03f405006804c0b28ee504f6bf9,202cd79d6982980db0be8340f19b779bb964655739bee2cad043f10f8c97b8d6,100027.747475064,0.0,2
13401,13401,12,ff34b8341ea0fea81696ec7cbe8ad393cd4735c86d61aa20823ad7fa9c2178ce,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,d96ba7c643187eb28131464adc5626c0076fe85ce5c53d7dd13f164286be0b6a,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,ff2d4616ba8742dc41f1d67c854ecdbc496ed7c500e9a38b5e74a53bebe60536,6dc489de367a529b43bf221d996f836b0fa24cd13c52f890a4525366e5e8fd9d,100041.880895702,0.0,2
13402,13402,17,f4f60b201d030ed910cec22180da53a9a6f1a8e4d999ae50f70fe7182037cb12,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,be836b9f07d892d3e1d0861d79c778d91e8cb6661b169208a2662f16d6381169,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,fd7a62533066333c240f623733e1e5db4ed57350609dd2d4188022abcecfe97d,8f5f0c0100ddce3ac05c33cf0afb8877e18d4e679ff653b942337257ef0dbb78,100095.804287603,0.0,9
