SL,ST,ET,EL,Energy used
PC_9,14:07,14:22,JON_B,12.3870001
PC_9,12:17,12:32,JON_B,12.3870001
PC_9,16:07,16:24,JON_B,12.3870001
PC_9,5:42,5:57,JON_B,12.3870001
PC_9,24:27,24:42,JON_B,12.3870001
PC_9,7:07,7:22,JON_B,12.3870001
PC_9,10:47,11:02,JON_B,12.3870001
PC_9,23:42,23:57,JON_B,12.3870001
PC_9,15:27,15:44,JON_B,12.3870001
GMV_H,12:42,13:07,PC_7,18.3059998
ÖS_H,21:36,21:57,PC_6,16.4099998
ÖS_H,19:05,19:27,PC_6,16.4099998
ÖS_H,22:06,22:27,PC_6,16.4099998
ÖS_H,23:06,23:27,PC_6,16.4099998
13215,17:07,17:24,3127,20.066
13215,16:47,17:04,3127,20.066
PC_10,12:47,13:22,HED_E,22.3409996
PC_10,16:07,16:43,HED_E,22.3409996
PC_10,6:47,7:23,HED_E,22.3409996
HED_D,20:43,21:12,PC_10,21.3279991
PC_10,5:12,5:45,HED_E,22.3409996
PC_10,14:47,15:22,HED_E,22.3409996
PC_10,7:37,8:14,HED_E,22.3409996
PC_10,10:47,11:23,HED_E,22.3409996
PC_10,8:27,9:03,HED_E,22.3409996
PC_5,20:27,20:55,HED_E,20.1809998
PC_5,20:57,21:25,HED_E,20.1809998
PC_5,23:27,23:55,HED_E,20.1809998
PC_5,13:57,14:28,HED_E,20.1809998
PC_6,6:57,7:24,ÖS_J,17.1669998
PC_6,17:27,17:54,ÖS_J,17.1669998
PC_5,9:37,10:08,HED_E,20.1809998
PC_5,16:17,16:49,HED_E,20.1809998
PC_6,18:27,18:53,ÖS_J,17.1669998
PC_6,18:57,19:23,ÖS_J,17.1669998
PC_7,8:17,8:34,JON_B,10.2790003
PC_7,13:37,13:54,JON_B,10.2790003
PC_7,6:57,7:14,JON_B,10.2790003
PC_7,17:17,17:34,JON_B,10.2790003
PC_7,24:27,24:44,JON_B,10.2790003
PC_7,7:17,7:34,JON_B,10.2790003
PC_7,5:27,5:44,JON_B,10.2790003
PC_7,5:57,6:14,JON_B,10.2790003
PC_7,8:37,8:54,JON_B,10.2790003
PC_7,16:17,16:34,JON_B,10.2790003
PC_7,7:37,7:54,JON_B,10.2790003
PC_7,14:57,15:14,JON_B,10.2790003
PC_7,9:17,9:34,JON_B,10.2790003
PC_7,6:17,6:34,JON_B,10.2790003
PC_7,21:27,21:44,JON_B,10.2790003
PC_7,5:15,5:36,GMV_G,18.6380005
PC_7,6:30,6:54,GMV_G,18.6380005
PC_7,6:30,6:54,GMV_G,18.6380005
PC_7,8:50,9:14,GMV_G,18.6380005
