Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,GMV_H,12:02,12:27,PC_7,9.153,18.3059998,26,617
Regular,HED_D,12:37,13:07,PC_10,10.664,21.3279991,27,271
Regular,PC_7,12:37,12:54,JON_B,5.137,10.2790003,28,815
Regular,PC_9,13:07,13:22,JON_B,6.191,12.3870001,29,923
Regular,JON_A,13:14,13:27,PC_9,6.171,12.342,30,924
Regular,PC_3,13:27,13:43,13329,4.783,9.5710001,31,720
Regular,JON_A,13:34,13:47,PC_9,6.171,12.342,32,926
Regular,13329,13:45,13:57,PC_7,4.645,9.28999996,33,721
Regular,PC_7,13:50,14:15,GMV_G,9.319,18.6380005,34,630
Regular,PC_7,13:57,14:14,JON_B,5.137,10.2790003,35,823
Regular,GMV_H,14:22,14:47,PC_7,9.153,18.3059998,36,633
Regular,JON_A,14:25,14:37,PC_7,5.133,10.2659998,37,826
Regular,PC_5,14:37,15:08,HED_E,10.088,20.1809998,38,425
Regular,PC_10,14:47,15:22,HED_E,11.168,22.3409996,39,288
Regular,HED_D,15:19,15:47,PC_5,9.931,19.8619995,40,432
Regular,HED_D,15:29,15:57,PC_5,9.931,19.8619995,41,433
Regular,13215,15:47,16:04,3127,10.033,20.066,42,303
Regular,PC_7,15:57,16:14,JON_B,5.137,10.2790003,43,835
Regular,HED_D,16:18,16:47,PC_5,9.931,19.8619995,44,443
Regular,JON_A,16:25,16:37,PC_7,5.133,10.2659998,45,838
Regular,PC_7,16:37,16:54,JON_B,5.137,10.2790003,46,839
Regular,PC_10,16:47,17:22,HED_E,11.168,22.3409996,47,315
Regular,JON_A,17:05,17:17,PC_7,5.133,10.2659998,48,842
Regular,PC_7,17:17,17:34,JON_B,5.137,10.2790003,49,843
Regular,HED_D,17:35,18:07,PC_10,10.664,21.3279991,50,327
Regular,JON_A,17:45,17:57,PC_7,5.133,10.2659998,51,846
Regular,PC_5,17:57,18:28,HED_E,10.088,20.1809998,52,457
Regular,PC_9,18:07,18:22,JON_B,6.191,12.3870001,53,958
Regular,HED_D,18:32,18:57,PC_5,9.931,19.8619995,54,460
Regular,JON_A,18:34,18:47,PC_9,6.171,12.342,55,961
Regular,PC_7,18:50,19:13,GMV_G,9.319,18.6380005,56,661
Regular,PC_7,18:57,19:14,JON_B,5.137,10.2790003,57,853
Regular,JON_A,19:15,19:27,PC_7,5.133,10.2659998,58,854
Regular,GMV_H,19:17,19:42,PC_7,9.153,18.3059998,59,663
Regular,PC_7,19:27,19:44,JON_B,5.137,10.2790003,60,855
Regular,PC_9,19:42,19:57,JON_B,6.191,12.3870001,61,966
Regular,JON_A,19:45,19:57,PC_7,5.133,10.2659998,62,856
Regular,PC_7,19:57,20:14,JON_B,5.137,10.2790003,63,857
Regular,JON_A,19:59,20:12,PC_9,6.171,12.342,64,967
Regular,PC_10,20:12,20:46,HED_E,11.168,22.3409996,65,339
Regular,JON_A,20:15,20:27,PC_7,5.133,10.2659998,66,858
Regular,PC_3,20:27,20:43,13329,4.783,9.5710001,67,750
Regular,13329,20:46,20:57,PC_3,4.645,9.28999996,68,751
Regular,PC_6,20:57,21:22,ÖS_J,8.581,17.1669998,69,555
Regular,HED_D,21:13,21:42,PC_10,10.664,21.3279991,70,344
Regular,ÖS_H,21:36,21:57,PC_6,8.205,16.4099998,71,558
Regular,PC_7,21:45,22:06,GMV_G,9.319,18.6380005,72,672
Regular,PC_5,21:57,22:25,HED_E,10.088,20.1809998,73,474
Regular,GMV_H,22:18,22:42,PC_7,9.153,18.3059998,74,675
Regular,HED_D,22:34,22:57,PC_5,9.931,19.8619995,75,477
Regular,PC_7,22:45,23:06,GMV_G,9.319,18.6380005,76,676
Regular,PC_6,22:57,23:22,ÖS_J,8.581,17.1669998,77,563
Regular,GMV_H,23:18,23:42,PC_7,9.153,18.3059998,78,679
Regular,ÖS_H,23:36,23:57,PC_6,8.205,16.4099998,79,566
Regular,PC_7,23:45,24:06,GMV_G,9.319,18.6380005,80,680
Regular,PC_5,23:57,24:24,HED_E,10.088,20.1809998,81,482
Regular,HED_D,24:34,24:57,PC_5,9.931,19.8619995,82,485
Regular,PC_7,24:57,25:14,JON_B,5.137,10.2790003,83,877
Regular,JON_A,25:15,25:27,PC_7,5.133,10.2659998,84,878
Regular,PC_5,25:27,25:45,6480,8.132,16.2689991,85,488
