source_path	phase	source_sha256	source_size_bytes	archive_path	archive_sha256	archive_size_bytes	event_utc
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_reduced/M__k20_s6__event_2p5_event5.json.columns.jsonl	prepared	628eca2ec4ab78343793e16dd90d8609ac4597e36ce126f0c6aa00fa65ad29f9	928773933	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_reduced/M__k20_s6__event_2p5_event5.json.columns.jsonl.gz	2d53a9070af4754b30fbb8319157b7e8f8cb8c2c25f8ccba642884745efa5315	105340042	2026-09-12T04:49:31Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_reduced/M__k20_s6__event_2p5_event5.json.columns.jsonl	success	628eca2ec4ab78343793e16dd90d8609ac4597e36ce126f0c6aa00fa65ad29f9	928773933	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_reduced/M__k20_s6__event_2p5_event5.json.columns.jsonl.gz	2d53a9070af4754b30fbb8319157b7e8f8cb8c2c25f8ccba642884745efa5315	105340042	2026-09-12T04:49:39Z
/home/nc437/ladder-lite/phys240kw/k13_s3_c1_g2.5_b5.json.columns.jsonl	prepared	8d1b856ff44df618f4f77197dc12e1228c78305b7f5380f14b99eb96ac00b29c	889726102	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k13_s3_c1_g2.5_b5.json.columns.jsonl.gz	314012b6b4da7ed9691cab50d636219797a1441d9d7f99a95626809e92d33b76	81656713	2026-09-12T04:50:11Z
/home/nc437/ladder-lite/phys240kw/k13_s3_c1_g2.5_b5.json.columns.jsonl	success	8d1b856ff44df618f4f77197dc12e1228c78305b7f5380f14b99eb96ac00b29c	889726102	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k13_s3_c1_g2.5_b5.json.columns.jsonl.gz	314012b6b4da7ed9691cab50d636219797a1441d9d7f99a95626809e92d33b76	81656713	2026-09-12T04:50:19Z
/home/nc437/ladder-lite/phys240kw/k13_s1_c1_g2.5_b10.json.columns.jsonl	prepared	da7f9fe122a5c65251a74c3cb5c1ffb0d71779f51e4abbd5f0cbb6f191acfb9d	867146347	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k13_s1_c1_g2.5_b10.json.columns.jsonl.gz	b2d2d06938d7090aec6963ac77193a9fe40f3ffd2af246d0d25882c53943acbd	80783803	2026-09-12T04:50:52Z
/home/nc437/ladder-lite/phys240kw/k13_s1_c1_g2.5_b10.json.columns.jsonl	success	da7f9fe122a5c65251a74c3cb5c1ffb0d71779f51e4abbd5f0cbb6f191acfb9d	867146347	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k13_s1_c1_g2.5_b10.json.columns.jsonl.gz	b2d2d06938d7090aec6963ac77193a9fe40f3ffd2af246d0d25882c53943acbd	80783803	2026-09-12T04:51:00Z
/home/nc437/ladder-lite/phys240kw/k20_s2_c1_g10.0_b10.json.columns.jsonl	prepared	ee6c2909e8ec16533a34ea5b80540ac6058ce1e78c86b59c15627a9383c7ecab	811505315	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k20_s2_c1_g10.0_b10.json.columns.jsonl.gz	45016327f8b1699f08363888422c8a3e1abc75fb3e4c07acde8b7a26d1313f0c	69949324	2026-09-12T04:51:32Z
/home/nc437/ladder-lite/phys240kw/k20_s2_c1_g10.0_b10.json.columns.jsonl	success	ee6c2909e8ec16533a34ea5b80540ac6058ce1e78c86b59c15627a9383c7ecab	811505315	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k20_s2_c1_g10.0_b10.json.columns.jsonl.gz	45016327f8b1699f08363888422c8a3e1abc75fb3e4c07acde8b7a26d1313f0c	69949324	2026-09-12T04:51:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl	prepared	0c9c8ce8da17d5cf267857a2cab71ca4040bda6cc8f3dd1a2d7c39b8baf755f2	799632648	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl.gz	b242cc922b88c29f635ff8d4de22254dad97dc3cee3a94195a3bdd3321454b26	92013682	2026-09-12T04:52:10Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl	success	0c9c8ce8da17d5cf267857a2cab71ca4040bda6cc8f3dd1a2d7c39b8baf755f2	799632648	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl.gz	b242cc922b88c29f635ff8d4de22254dad97dc3cee3a94195a3bdd3321454b26	92013682	2026-09-12T04:52:17Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k13_s3__event_2p5_event5.json.columns.jsonl	prepared	c06a6ee3e437cb4d7c1254c4063ea241d89c56ea6aaf38171c54363d9a99d99d	745141112	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k13_s3__event_2p5_event5.json.columns.jsonl.gz	d4508e3b86f61631ad9fabea945e952c5aa5a685314e5f132e578e595a13c5d1	81180277	2026-09-12T04:52:48Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k13_s3__event_2p5_event5.json.columns.jsonl	success	c06a6ee3e437cb4d7c1254c4063ea241d89c56ea6aaf38171c54363d9a99d99d	745141112	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k13_s3__event_2p5_event5.json.columns.jsonl.gz	d4508e3b86f61631ad9fabea945e952c5aa5a685314e5f132e578e595a13c5d1	81180277	2026-09-12T04:52:54Z
/home/nc437/ladder-lite/phys240kw/k08_s2_c1_g10.0_b10.json.columns.jsonl	prepared	f2bc09b1e99282095b9cb311f9b7aea522d947dfd7ffb72485bb9aea0a8fec0c	729168304	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k08_s2_c1_g10.0_b10.json.columns.jsonl.gz	808b3c29c93886db0c875c6c2fd4e2eef1a2508431307b39f5cbbc68f830a181	76853043	2026-09-12T04:53:22Z
/home/nc437/ladder-lite/phys240kw/k08_s2_c1_g10.0_b10.json.columns.jsonl	success	f2bc09b1e99282095b9cb311f9b7aea522d947dfd7ffb72485bb9aea0a8fec0c	729168304	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k08_s2_c1_g10.0_b10.json.columns.jsonl.gz	808b3c29c93886db0c875c6c2fd4e2eef1a2508431307b39f5cbbc68f830a181	76853043	2026-09-12T04:53:29Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k20_s6__event_2p5_event5.json.columns.jsonl	prepared	7159b20289149ffe77e46ae2202bd773093cc3887bed4f6208f5f2abcb649e76	713119080	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k20_s6__event_2p5_event5.json.columns.jsonl.gz	6f1770c5919ef7e382a5a88ebd7bf3d65be89930847f1f2455c8ae263e28d8a8	79080364	2026-09-12T04:53:59Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k20_s6__event_2p5_event5.json.columns.jsonl	success	7159b20289149ffe77e46ae2202bd773093cc3887bed4f6208f5f2abcb649e76	713119080	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k20_s6__event_2p5_event5.json.columns.jsonl.gz	6f1770c5919ef7e382a5a88ebd7bf3d65be89930847f1f2455c8ae263e28d8a8	79080364	2026-09-12T04:54:06Z
/home/nc437/ladder-lite/phys240kw/k08_s2_c1_g2.5_b5.json.columns.jsonl	prepared	a6bab9cea208603fe1855c3aa632d2a2f6d1148fb9bf8fef090963b1a1f6bd20	710769868	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k08_s2_c1_g2.5_b5.json.columns.jsonl.gz	7fb3268867d603ae295caffcf217a05ac782f7962585abb9372227a2df537aa9	74538970	2026-09-12T04:54:35Z
