Iteration,Master_Obj,Master_Improvement,Master_Time_s,Pricing_Time_s,Cumulative_Master_Time_s,Cumulative_Pricing_Time_s,Cols_Added,Best_RC,Timed_Out,Pricing_TimeLimit_Used,Stagnant_Counter,Total_Runtime_s
14,1250685.1275750600,25018.09691452400,0.016880273818969700,32.817805767059300,0.10315942764282200,1176.031280040740,150,-200177.67022845000,FALSE,100000.0,0,1178.2545042038000
15,1200631.117474000,50054.01010106160,0.024932861328125,89.0388674736023,0.12809228897094700,1265.0701475143400,150,-200217.19184479300,FALSE,100000.0,0,1267.4621751308400
16,1200631.117474000,0.0,0.030083656311035200,78.596755027771,0.15817594528198200,1343.6669025421100,150,-300058.970454233,FALSE,100000.0,1,1346.243929386140
17,1184004.939992640,16626.17748135890,0.04496598243713380,78.09309506416320,0.2031419277191160,1421.7599976062800,150,-243369.15298624700,FALSE,100000.0,0,1424.5494890213000
18,1181456.1094000500,2548.8305925887500,0.03833770751953130,64.75802946090700,0.24147963523864700,1486.5180270671800,150,-234758.39697908500,FALSE,100000.0,0,1489.5166277885400
19,1162555.8028328200,18900.30656723100,0.04703712463378910,76.15653538703920,0.2885167598724370,1562.6745624542200,150,-222092.97447563100,FALSE,100000.0,0,1565.9007637500800
20,1154017.7235121700,8538.079320651480,0.04493522644042970,74.05043697357180,0.3334519863128660,1636.7249994278000,150,-199015.10691247800,FALSE,100000.0,0,1640.1909091472600
21,1148059.2938468700,5958.429665292610,0.060894012451171900,94.53915643692020,0.3943459987640380,1731.2641558647200,150,-236248.91664918700,FALSE,100000.0,0,1735.001277923580
22,1140665.161131990,7394.13271488715,0.05553293228149410,72.14278936386110,0.4498789310455320,1803.4069452285800,150,-120283.43200214100,FALSE,100000.0,0,1807.4141433239000
23,1140665.1611319900,-2.3283064365387E-10,0.03981518745422360,60.876566886901900,0.48969411849975600,1864.2835121154800,150,-100402.77413842900,FALSE,100000.0,1,1868.5563881397200
24,1140665.161131990,2.3283064365387E-10,0.05382966995239260,61.597126960754400,0.5435237884521480,1925.880639076230,150,-139661.29016104500,FALSE,100000.0,2,1930.452003955840
25,1140665.1611319900,9.31322574615479E-10,0.05582690238952640,59.88878321647640,0.5993506908416750,1985.7694222927100,150,-139987.14040687400,FALSE,100000.0,3,1990.6781492233300
26,1138165.7831295500,2499.378002434970,0.045885562896728500,62.28274631500240,0.6452362537384030,2048.052168607710,150,-161873.1392921450,FALSE,100000.0,0,2053.2631702423100
27,1135426.2756133800,2739.5075161668900,0.06504964828491210,57.99052405357360,0.7102859020233150,2106.0426926612900,150,-149331.57168595200,FALSE,100000.0,0,2111.5766949653600
28,1135426.2756133800,6.98491930961609E-10,0.060981035232543900,100.96191906929000,0.7712669372558590,2207.0046117305800,150,-194097.64307696400,FALSE,100000.0,1,2212.8731167316400
29,1132221.1690733300,3205.1065400519900,0.06101560592651370,103.78058338165300,0.832282543182373,2310.7851951122300,150,-128691.70666459200,FALSE,100000.0,0,2316.9919848442100
30,1127353.3266515700,4867.842421758450,0.09631729125976560,68.00281763076780,0.9285998344421390,2378.788012743000,150,-178460.15213102400,FALSE,100000.0,0,2385.3801198005700
31,1125801.5984468400,1551.7282047369500,0.11310434341430700,70.75948023796080,1.0417041778564500,2449.547492980960,150,-193529.62661036900,FALSE,100000.0,0,2456.54815864563
32,1121569.144107300,4232.454339535210,0.10961508750915500,132.95688271522500,1.1513192653656000,2582.5043756961800,150,-124581.92179290900,FALSE,100000.0,0,2589.9238283634200
33,1121569.1441073000,-2.3283064365387E-10,0.08133220672607420,130.5501618385320,1.2326514720916700,2713.0545375347100,150,-158896.26638362400,FALSE,100000.0,1,2720.877094268800
34,1115193.1281769200,6376.01593038463,0.07541751861572270,101.26756978035000,1.3080689907074000,2814.3221073150600,150,-131966.36410579800,FALSE,100000.0,0,2822.5476870536800
35,1110460.7093332400,4732.418843673310,0.06601452827453610,90.44370341300960,1.3740835189819300,2904.765810728070,150,-133908.7627203990,FALSE,100000.0,0,2913.3959226608300
36,1108458.6670431300,2002.0422901141000,0.08245372772216800,94.4101951122284,1.4565372467041000,2999.1760058403000,150,-120496.86274004900,FALSE,100000.0,0,3008.2342352867100
