cell,stage,job_id,array_job_id,array_task_id,restart,state,returncode,started_utc,finished_utc,receipt_path,receipt_sha256
mix1_flat,fresh_cg,499010,498917,32,1,failed,3,2026-09-26T01:05:38.924154+00:00,2026-09-26T05:45:14.058605+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_flat/fresh_cg/job499010_r1/attempt.json,16ebd5be09223850d185ce324a907b9b49d10a239cbd083a4cdc6192e7321145
mix1_spatial_2190L_x0p50,cleanup,498954,,,0,finished,0,2026-09-26T00:00:37.707255+00:00,2026-09-26T00:08:09.574384+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_2190L_x0p50/cleanup/job498954_r0/attempt.json,9f8ad8b4a1d4889e67bc89d2bb02dde634f3d0e2776b2ac81993cd4ce7871040
mix1_spatial_2190L_x0p50,fixed_duty,499086,498918,35,0,finished,0,2026-09-25T22:17:52.193984+00:00,2026-09-25T22:23:42.994325+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_2190L_x0p50/fixed_duty/job499086_r0/attempt.json,7c3da45dbb033651075932d627e7ac28ba0f82f74394355828feb4d2182db263
mix1_spatial_2190L_x0p50,fresh_cg,499013,498917,35,0,finished,0,2026-09-25T22:17:52.602241+00:00,2026-09-25T23:58:47.337815+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_2190L_x0p50/fresh_cg/job499013_r0/attempt.json,379fb2e3f2ad3efa6ff6973900120d6155b0e9e340cfee736fdad1bf5a389acc
mix1_spatial_3127L_x0p50,cleanup,498957,,,0,finished,0,2026-09-26T00:53:59.410406+00:00,2026-09-26T00:59:57.507565+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_3127L_x0p50/cleanup/job498957_r0/attempt.json,432497b9e03912e5150bee35774e90cbc1ae271c1f604a16fc98bd35256fe609
mix1_spatial_3127L_x0p50,fixed_duty,499089,498918,38,0,finished,0,2026-09-25T22:17:56.733549+00:00,2026-09-25T22:24:28.466461+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_3127L_x0p50/fixed_duty/job499089_r0/attempt.json,3eaba2c4a887a514374a0a1f5ac3b3981d01498072dd5ebd2f91df8fb987ab40
mix1_spatial_3127L_x0p50,fresh_cg,499016,498917,38,0,finished,0,2026-09-25T22:17:52.217655+00:00,2026-09-26T00:53:32.731457+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_3127L_x0p50/fresh_cg/job499016_r0/attempt.json,3d7dc172249ac44eeb690b88f490fa698552e3e2b949f41dd800b0b03d252713
mix1_spatial_4808_x0p50,cleanup,498955,,,0,finished,0,2026-09-26T06:08:42.597300+00:00,2026-09-26T06:18:27.770632+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_4808_x0p50/cleanup/job498955_r0/attempt.json,b22cf6a04a342a86ebc34c47f472f30233763b6a7fb45df14fdd9f976ed08a3e
mix1_spatial_4808_x0p50,fixed_duty,499087,498918,36,0,finished,0,2026-09-25T22:17:51.351945+00:00,2026-09-25T22:26:16.537721+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_4808_x0p50/fixed_duty/job499087_r0/attempt.json,e85a6f0241fa853503d5ba233490865420ebcc07ff3102997490c670e5ae686c
mix1_spatial_4808_x0p50,fresh_cg_fallback,498955,,,0,finished,0,2026-09-26T06:07:08.370152+00:00,2026-09-26T06:08:39.358144+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_4808_x0p50/fresh_cg/job498955_r0/attempt.json,8d888e85653abe7044893dc6a207bb8376aa19125e0dd170d4e7444314daabec
