duty,trip_count,tariff,terminal_policy,event_cap_N,matched_feasible,infeasible_under_cap,uncapped_arrival_feasible,uncapped_arrival_reason,uncapped_arrival_charging_cost,uncapped_arrival_charge_events,uncapped_arrival_charge_starts,uncapped_arrival_peak_kW,uncapped_arrival_charger_concurrency_max,uncapped_arrival_total_kwh,uncapped_arrival_terminal_soc_kwh,uncapped_arrival_replay_ok,uncapped_optimized_feasible,uncapped_optimized_reason,uncapped_optimized_charging_cost,uncapped_optimized_charge_events,uncapped_optimized_charge_starts,uncapped_optimized_peak_kW,uncapped_optimized_charger_concurrency_max,uncapped_optimized_total_kwh,uncapped_optimized_terminal_soc_kwh,uncapped_optimized_replay_ok,capped_arrival_feasible,capped_arrival_reason,capped_arrival_charging_cost,capped_arrival_charge_events,capped_arrival_charge_starts,capped_arrival_peak_kW,capped_arrival_charger_concurrency_max,capped_arrival_total_kwh,capped_arrival_terminal_soc_kwh,capped_arrival_replay_ok,capped_optimized_feasible,capped_optimized_reason,capped_optimized_charging_cost,capped_optimized_charge_events,capped_optimized_charge_starts,capped_optimized_peak_kW,capped_optimized_charger_concurrency_max,capped_optimized_total_kwh,capped_optimized_terminal_soc_kwh,capped_optimized_replay_ok,uncapped_timing_value,uncapped_timing_pct,capped_timing_value,capped_timing_pct,cap_cost,cap_cost_pct_of_uncapped_arrival
13326,21,peak12,>= reserve,3,True,False,True,,34.41819617697779,7,7,240.0,1,188.50599863,0.0,True,True,,33.68488926696046,7,7,240.0,1,188.50599863,0.0,True,True,,35.641710966921906,3,3,240.0,1,178.90599863,2.1316282072803006e-14,True,True,,35.641710966921885,3,3,240.0,1,178.90599862999989,0.0,True,0.7333069100173262,2.1305791455388143,2.1316282072803006e-14,5.980712343631894e-14,1.2235147899441188,3.55484867264056
13401,12,peak12,>= reserve,10,True,False,True,,29.16002583749954,8,8,240.0,1,321.3799969999999,0.0,True,True,,28.738778678313295,8,8,240.0,1,321.379997,1.7763568394002505e-14,True,True,,29.16002583749955,8,8,240.0,1,321.37999699999995,0.0,True,True,,28.738778678313295,8,8,240.0,1,321.379997,1.4210854715202004e-14,True,0.4212471591862439,1.4446048900427368,0.42124715918625455,1.444604890042773,1.0658141036401503e-14,3.655051986509294e-14
13402,17,peak12,>= reserve,15,True,False,True,,43.101147763039314,14,14,240.0,1,512.139996,0.0,True,True,,43.09555374602343,13,13,240.0,1,512.139996,0.0,True,True,,43.10114776303933,13,13,240.0,1,512.139996,1.4210854715202004e-14,True,True,,43.09555374602344,13,13,240.0,1,512.139996,0.0,True,0.005594017015887687,0.012978812180692656,0.005594017015887687,0.012978812180692651,1.4210854715202004e-14,3.297094266104043e-14
13403,14,peak12,>= reserve,12,True,False,True,,36.152861208621545,10,10,240.0,1,405.60999649999997,0.0,True,True,,35.50695814272315,10,10,240.0,1,405.60999649999997,0.0,True,True,,36.152861208621545,10,10,240.0,1,405.60999649999997,7.105427357601002e-15,True,True,,35.50695814272315,10,10,240.0,1,405.60999649999997,7.105427357601002e-15,True,0.6459030658983949,1.7865890673802693,0.6459030658983949,1.7865890673802693,0.0,0.0
13404,17,peak12,>= reserve,15,True,False,True,,41.33126811079622,14,14,240.0,1,512.139996,0.0,True,True,,41.194470558383784,14,14,240.0,1,512.1399959999999,0.0,True,True,,41.33126811079623,14,14,240.0,1,512.139996,0.0,True,True,,41.19447055838379,14,14,240.0,1,512.139996,0.0,True,0.13679755241243896,0.33097835770663375,0.13679755241243896,0.3309783577066337,7.105427357601002e-15,1.7191409028519448e-14
13405,13,peak12,>= reserve,12,True,False,True,,54.741847647341224,13,13,240.0,1,342.9099964999999,0.0,True,True,,54.560444399194324,13,13,240.0,1,342.9099965,1.4210854715202004e-14,True,True,,56.354335776939216,12,12,240.0,1,342.9099965,1.1546319456101628e-14,True,True,,56.35433577693907,12,12,240.0,1,342.90999649999907,0.0,True,0.1814032481468999,0.33137947647572785,1.4921397450962104e-13,2.647781620570195e-13,1.6124881295979918,2.945622405706851
13406,14,peak12,>= reserve,12,True,False,True,,35.71277614854916,10,10,240.0,1,365.2099965,4.440892098500626e-15,True,True,,33.85557944207457,10,10,240.0,1,365.20999650000005,8.260059303211165e-14,True,True,,35.71277614854915,10,10,240.0,1,365.20999649999993,0.0,True,True,,33.855579442074564,10,10,240.0,1,365.20999649999993,0.0,True,1.8571967064745891,5.200370586563985,1.8571967064745891,5.200370586563986,-7.105427357601002e-15,-1.9896037563827594e-14
13407,17,peak12,>= reserve,16,True,False,True,,47.16251471741556,15,15,240.0,1,511.36999549999996,0.0,True,True,,43.851693838250604,15,15,240.0,1,511.36999549999996,0.0,True,True,,47.16251471741556,15,15,240.0,1,511.36999549999996,0.0,True,True,,43.851693838250604,15,15,240.0,1,511.36999549999996,0.0,True,3.3108208791649574,7.0200261775744135,3.3108208791649574,7.0200261775744135,0.0,0.0
13408,11,peak12,>= reserve,9,True,False,True,,26.7588683090306,7,7,240.0,1,259.4499975,0.0,True,True,,25.710511033860293,7,7,240.0,1,259.4499975,0.0,True,True,,26.7588683090306,8,8,240.0,1,259.4499975,0.0,True,True,,25.710511033860293,7,7,240.0,1,259.4499975,0.0,True,1.0483572751703072,3.917793768641953,1.0483572751703072,3.917793768641953,0.0,0.0
13409,17,peak12,>= reserve,14,True,False,True,,48.73714349390347,15,15,240.0,1,512.139996,0.0,True,True,,47.55138453563862,15,15,240.0,1,512.139996,0.0,True,True,,48.74467955384263,14,14,240.0,1,512.139996,0.0,True,True,,47.555080582595565,14,14,240.0,1,512.139996,2.842170943040401e-14,True,1.1857589582648487,2.4329676982672885,1.1895989712470652,2.4404693643191404,0.0075360599391629535,0.015462662353417655
