case,target_buses,integer_buses,saved_pool_fleet_bound,fleet_proved_in_saved_pool,cg_minutes,weighted_lp_objective,fractional_route_weight,cg_pricing_certified,cg_stop_reason,physical_route_replay,duplicate_removal_validated,shared_capacity_validated,cg_source,mip_source,mip_sha256
w2_k10,10,11,10.00000000000008,False,55.67655384997682,1000371.1457444398,10.000000000000023,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w2_k10/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w2_k10/mip/949696_r0/result.json,1613a8a7690865b07dadd4fab68f2b15c5fd1483ccdc23eff46f82dee4e862bf
w2_k11,11,12,11.00000000000002,False,65.66426219412436,1100404.2504343458,11.00000000000031,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w2_k11/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w2_k11/mip/949698_r0/result.json,579a0762d0a356c126e526fd55b13e61ceaee7428e765eac0404960a3a1d85d0
w2_k12,12,13,12.000000000000014,False,85.64770217842111,1200441.3620890588,11.999999999999723,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w2_k12/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w2_k12/mip/949700_r0/result.json,fedbce5170a07b9b727191df44348ae2f6c7c7cd9c2ca3832a2866ee49f4f7cb
w2_k13,13,15,13.00000000000004,False,98.36809836362178,1300493.1953897022,13.000000000000016,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w2_k13/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w2_k13/mip/949702_r0/result.json,00e7b013f91eddd52567d1e2c63b4607684eb42a9932264a23c1d9a10250f853
w3_k11,11,12,11.000000000000066,False,27.66142933285446,1100375.8586881026,11.000000000000002,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w3_k11/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w3_k11/mip/949708_r0/result.json,6dec136ef8cca302e5fb12b6d5885890ca7f117ab0e00e6ba5bc0446c1ed268d
w3_k12,12,14,12.000000000000032,False,32.839099164586514,1200427.901093246,12.00000000000006,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w3_k12/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w3_k12/mip/949710_r0/result.json,2097838b531f579113008eae729097f6fb9b550db76cd9b2f60bc7c9e34c93a5
w3_k13,13,14,13.000000000000046,False,52.61632275571076,1300474.5587871363,12.999999999999908,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w3_k13/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w3_k13/mip/949712_r0/result.json,0390889d9d70bddfb9a34a3ea864e2f0e24d64f861ea5594d4da3ecfd12bc854
w3_k14,14,15,14.000000000000016,False,57.91824629052232,1400485.5970424062,13.999999999999883,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w3_k14/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w3_k14/mip/949714_r0/result.json,060440ecc7c9b207a2bf26a85897f352fc76e6831fbba5c6c387c2d2dd8e6764
w3_k15,15,17,15.000000000000043,False,59.67761739919273,1500507.4203245079,15.00000000000004,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w3_k15/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w3_k15/mip/949716_r0/result.json,fe20a387e29aea32501f354d8eb55ad52994dc2806168edb38b8ecf765ce77d2
w4_k10,10,11,11.0,True,42.03142781167602,1000426.2710758074,10.000000000000052,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w4_k10/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w4_k10/mip/949718_r0/result.json,b24376dcf3deae8463de06e72b9d4e749fd363c643db844a3945016ba262deed
