case,chain,target,route_weight,numerical_integer_fleet_lb,original_buses,original_numerical_bound_matched,best_audited_buses,original_mip_sha256,best_mip_sha256,best_audited_numerical_bound_matched
w2_k30,2,30,29.999999999999268,30,31,False,30,790278575791dae47ab55862ecbcc0ce08c50ac5425715e44b61168f095feecd,fff12d494d546b573de6cad357411b71599dbfc4096c620eda737396cc369c16,True
w3_k30,3,30,30.00000000000034,30,30,True,30,f1131ac7da9ad0b8012af3056f474bd0f28912f7e4ad15cb43adf70fffd9a2a6,f1131ac7da9ad0b8012af3056f474bd0f28912f7e4ad15cb43adf70fffd9a2a6,True
w4_k30,4,30,29.000000000000092,29,39,False,36,8cc264be1fe8fadff9c8bca9d0b7a22e031509c738442290868eb33ebf6110da,d40a1fa31a75bc0208a554c7d1cc926cae8313bcee13d546a9a851642f440673,False
w5_k30,5,30,29.000000000000398,29,37,False,31,7931fa4574661e06f1eb4c7a0d51359f16672051d3c46259499756215a771cc9,e9d659a802ab1d481dbeafa05314dfdd34b40f1a9a31a1e2e55585f8fb1e1a41,False
w6_k30,6,30,30.00000000000074,30,31,False,30,0c26ff0b53bdfa4aabb106e6db96482c020fb4b8c7d9d8a158aa736d25c7d048,f7fafb6be6b077ddf76cfbf55d216d54c4968c5ce86e120f3183e6f121263b5c,True
w1_k31,1,31,31.00000000000048,31,34,False,31,604c21862662a42b1f4da3dd7f4a5a61a4ee2b983cf3be2ebd33c635cdae905d,77f3d978a34226d9e4eaca8f047e4f2d25e6756982234fa65bf2d27bd159e54d,True
w2_k31,2,31,30.999999999999776,31,32,False,31,5c39e6a916de30476fe7fc1ce0217256123c4807e18cb442fd3a5e0a2af75d93,2b32b9ae8c9b0e3ca2ab6da6a21f6d2189d81c11132177a0b90dde2fa12d11a0,True
w3_k31,3,31,31.000000000000068,31,31,True,31,aa7ba2860c642770ebd6a5db1d4eaff23a8c0582d571059b7986606842491e30,aa7ba2860c642770ebd6a5db1d4eaff23a8c0582d571059b7986606842491e30,True
w4_k31,4,31,29.999999999999297,30,40,False,37,f27fabb9a709de7f2cf5a05f29ed2c2ba769cb4a14439ada51c06eef9d27d5e6,88eb665986273abe2f1c0974e36fe5a9d0ddcd44c0bb5109a9bdac9e8452cb5b,False
w5_k31,5,31,29.999999999999254,30,36,False,31,751c6cddceb14a7a343e388a29931544c377b39e5d8e3e39bbe219cfd9e5a441,b7a70e0c53ae38045c57d39b43a27d499399f5a0284236a777d833428203de39,False
w6_k31,6,31,31.000000000000114,31,32,False,31,cb501893516fd19dd4ff2a1dbece5bc3cc02c119c598cc4ae7a5ba02ec57e440,63d3d64aa08500b698201c188ef164973b0bf539bcdc44ed073efdddfd12a99c,True
w1_k32,1,32,32.00000000000076,32,35,False,35,8de760f7141a2a726bc11234bd3d3325c7fd32f5b00f907c3d129b65f56f1de6,8de760f7141a2a726bc11234bd3d3325c7fd32f5b00f907c3d129b65f56f1de6,False
w2_k32,2,32,31.99999999999884,32,34,False,32,152d91f27ed2a9e857a2ce5f1077f14fe295aafbeb45dee597198c92970381b9,03bd27c6ae2cee88c143ed6ded9750356c458f224c31ba980a8727e82639033d,True
w3_k32,3,32,32.0000000000007,32,33,False,33,ea1c32f5f9cdc50136cb0c353a15f48091a61b55db48e631dc7996b37db8f8dd,ea1c32f5f9cdc50136cb0c353a15f48091a61b55db48e631dc7996b37db8f8dd,False
w4_k32,4,32,30.999999999999744,31,34,False,32,4b923daef3e51a1a81bd5e35d56bdd493a872f5edf2c977a595a30fb71bd7798,25e569ac2d8f5d12ca9701258845ba19649978701d715a13ce1bef6381cc6f0a,False
w5_k32,5,32,31.000000000000284,31,37,False,32,ee664ceec972e56376b0fa0eee753947d0dd39b79c13706768539d458e65f8e9,dd6a6d43f0d600bd82cb6dc60641103cd4bf505424f6dcc8f11f55f2d39fce51,False
w6_k32,6,32,32.00000000000029,32,33,False,32,cb1150997e9957cf4b4bb9eca8414eabcfd6a58295b2d81458132ea729aecc37,7be8692a79df30b11e297f964d0db829953b018679e2f8593a4f746c66fcc591,True
