branch	sha	tracking	main_only_commits	branch_only_commits	fully_merged_in_main	unique_vs_other_local_branches	commits_not_on_any_origin_ref	same_name_origin_sha	existing_worktrees	prunable_worktrees
issue16	bae9b6478e94a2d95736daac0be73b98b97c1092		10	10	False	1	1		[]	[]
issue17	86cf39e316ab694dd77d84ed56e013829be1467c	[gone]	10	20	False	0	0		[]	[]
issue18	cb7d7cc43773e5ee7e890e26addece52aace48e7	[behind 4]	10	32	False	0	0	85fd6a85cfef898183ea0bd9075aaed2a81ca7ad	[]	[]
issue19	3d0a7ccde90dcf1122382de54503a5c9b97aae26		10	44	False	2	14		[]	[]
issue2-unicorn-parallel	eeef75d0703cfb03363e410833db9e153a0322ce		31	1	False	1	1		[]	[]
issue20	fd4d818946b2fde50a9288dc577995891f690d2a		10	39	False	0	0	fd4d818946b2fde50a9288dc577995891f690d2a	[]	[]
issue8	6d5f4c9568e54fdd9ee3e27c1252cd8d19e18382		16	0	True	0	0		[]	[]
issue9	3f10daeac7c9c0511ada00917360f68e542e905f		17	0	True	0	0		[]	[]
main	f37c6ce4c6e0a7ccffd3719a633bacd40b9a351c	[ahead 4]	0	0	True	0	0	c4002c58f1beb50d1b793154e12bfdd9412217d2	['/Users/nadan/Documents/projects/demandresponse']	[]
peel-and-price	0a3a720e8470c13f534f9003438a9eac50ac4260		10	93	False	2	0	0a3a720e8470c13f534f9003438a9eac50ac4260	[]	[]
