case,arm,routes,failed_before,fixed_existing_intervals,fixed_retimed_visits,unresolved,whole_solution_energy_valid,net_added_kwh,gross_added_kwh,electricity_cost_change,charging_objective_change,added_outside_original_windows_min
c5_k10,warm,10,5,5,0,0,True,7.139995000000056,9.459993999999995,0.7082875039999976,0.7082875039999976,0.0
c5_k15,base,16,10,10,0,0,True,14.618991799999833,16.93899079999974,1.450203986559977,1.450203986559977,0.0
c5_k15,warm,15,8,8,0,0,True,14.394993679999999,14.394993680000074,1.427983373056005,1.427983373056005,0.0
c6_k05,base,5,3,3,0,0,True,2.6379969999999133,2.6379969999999275,0.2616893023999909,0.2616893023999909,0.0
c6_k05,warm,5,2,2,0,0,True,2.039997999999912,2.039997999999926,0.20236780159999057,0.20236780159999057,0.0
c6_k08,base,8,4,4,0,0,True,8.849996499999861,8.84999649999985,0.8779196527999886,0.8779196527999886,0.0
c6_k08,warm,8,4,4,0,0,True,6.379995999999949,6.379995999999927,0.6328956031999837,0.6328956031999837,0.0
c6_k10,base,11,5,5,0,0,True,11.10999650000008,11.109996500000154,1.1021116528000263,1.1021116528000263,0.0
c6_k10,warm,10,4,4,0,0,True,9.159997999999973,9.159997999999916,0.9086718015999864,0.9086718015999864,0.0
c6_k15,base,20,3,3,0,0,True,5.589996500000041,5.589996499999941,0.5545276527999974,0.5545276527999974,0.0
c6_k15,warm,15,6,6,0,0,True,10.241994199999851,10.24199419999983,1.0160058246399757,1.0160058246399757,0.0
