k,chain,fleet,pool_fleet_bound,optimal_scope,cg_wall_s,mip_wall_s,physical_replay_validated,overcovered_trips,source,sha256
8,3,9,9.0,fleet_only,1332.6569388334174,3600.6073105118703,True,25,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k08_p3__cover__event_2p5_event5__1h2stage.json,d3931df7d56dafa3c7a40e322af0665578523a4ee5aee74d5ee1fe41ee4515c2
8,4,9,9.0,fleet_only,5377.3351586415665,3601.2845765959937,True,29,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k08_p4_cover_event_2p5_event5/default1h_a02/result.json,58c34249fc8f3b1d2a206ce5f698872e6f062466fc501a8189dbc88e8d554be8
8,5,9,9.0,fleet_only,2499.5352859697305,3600.797697380185,True,16,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k08_p5__cover__event_2p5_event5__1h2stage.json,b49e40ca566d69f84c9ff6c645015b3c8eb95ac467c0b6c65bf154565e795fb9
8,6,8,8.0,full_pool_lexicographic,1382.4226235384122,84.67085052095354,True,13,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k08_p6_cover_event_2p5_event5/default1h_a02/result.json,14a0e2afbe1c6a540417049f787e0ba6e697f8b09f131d905d5b0377054b3701
9,1,11,9.000000000000005,none,5043.966212285683,3602.0589022128843,True,36,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k09_p1_cover_event_2p5_event5/default1h_a02/result.json,4e39137d0e9a73e99337a7fc3f2307de9ad139fe1a334c0105342a942731da64
9,2,11,9.00000000000003,none,3544.3980907402,3601.166618538089,True,45,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k09_p2_cover_event_2p5_event5/default1h_a02/result.json,024ec9f5b5d9c2f008302ea1d15093f37f4341e99ef389ae4f3d66f603a97ce4
9,3,11,9.000000000000009,none,1886.067553194007,3600.9203120833263,True,41,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k09_p3_cover_event_2p5_event5/default1h_a02/result.json,43e57e548fb8eae7c5df139fb9453067dcfd64350b27b267befc3721f337439c
9,4,10,9.000000000000053,none,3806.8113937547896,3601.347926212009,True,34,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k09_p4_cover_event_2p5_event5/default1h_a02/result.json,58c79bb61ca4df540a5aeda103afb1fd7b94e2b040990a1c17b97e5f9f1a847f
9,5,10,10.0,fleet_only,2577.8673087456264,3600.8571717850864,True,16,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k09_p5_cover_event_2p5_event5/default1h_a02/result.json,49a61fd2ca1b965fd32958d1ccf7ca09965d05979d587203ef6508c8b98840de
9,6,10,10.0,fleet_only,2625.434972604504,3600.7254212661646,True,19,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k09_p6_cover_event_2p5_event5/default1h_a02/result.json,bc7260e95510f9c15bc0f6c852a31f2c736b519f59a8c49a1d921f67eaad70c9
10,1,11,11.0,fleet_only,7634.325079570059,3603.1702974149957,True,30,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k10_p1__cover__event_2p5_event5__1h2stage.json,7b8c024c2efa5bc4df991f95650435a6f4ffbd1bc7afeccf349ad935bd2606ae
10,2,11,10.000000000000068,none,6730.924182025716,3600.9640950579196,True,49,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k10_p2_cover_event_2p5_event5/default1h_a02/result.json,e4f3d91581feb823a8a316a7b433a352943ba7e0d849df7fce496875fae3f345
10,3,11,10.000000000000009,none,2936.311004839139,3600.9968587330077,True,58,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k10_p3__cover__event_2p5_event5__1h2stage.json,58ae7a287860f14ee523de52086c3cc011e904aecbade026851d024fd44d65d6
10,4,11,10.000000000000712,none,7161.053330967203,3601.791188382078,True,41,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k10_p4_cover_event_2p5_event5/default1h_a02/result.json,6c769121d7efeee7087224618b0748819b564f04b332592a1af74f5c9c4dd9c9
10,5,11,11.0,fleet_only,3864.5760810151696,3600.8171324499417,True,46,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k10_p5__cover__event_2p5_event5__1h2stage.json,2a7c0710421025867b9e8871081effdc601f79d77cfef4626665561aef46acf6
10,6,11,10.000000000000018,none,3914.9293245484587,3602.296398773091,True,36,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k10_p6_cover_event_2p5_event5/default1h_a02/result.json,afd97691774e8a0f4233609e31e5a451cf7eaf25b7168001b365d5c55bcfc2d3
11,1,13,11.000000000000068,none,8172.894824028714,3605.464253773913,True,50,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k11_p1_cover_event_2p5_event5/default1h_a02/result.json,e1382c8febbcccea6d855d70e8c7ff66f9316960113c57ab890b035c5aace6f6
11,2,12,11.000000000000009,none,5490.925610926468,3600.8798611999955,True,53,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k11_p2_cover_event_2p5_event5/default1h_a02/result.json,a59c5d3b7fdd0d4858d50a583d3c286039d037086225ed9132ec26671f006878
11,3,13,11.00000000000001,none,3241.5431890795007,3600.926228249911,True,52,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k11_p3_cover_event_2p5_event5/default1h_a02/result.json,d80e9874b7b27a86717f62b54b9223b77ad59be37ce4e6f35e48ba13e7f60312
11,4,13,11.00000000000003,none,7817.923122934066,3602.4533464009874,True,43,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k11_p4_cover_event_2p5_event5/default1h_a02/result.json,4a000c683c626ca1e99b66349613c324d567eaddba85c8a3f2af6e3c1ccb0949
11,5,12,11.000000000000034,none,7497.372541758232,3601.8300956487656,True,42,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k11_p5_cover_event_2p5_event5/default1h_a02/result.json,fcf7167a39c25b27cb17f6f197a588cb8bd4a39fee367e94c5b669316aadcb87
11,6,12,11.000000000000009,none,3391.614995872369,3601.0487822778523,True,29,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k11_p6_cover_event_2p5_event5/default1h_a02/result.json,b14120ba6267ee6fa6aa8a67ab5f69778a33f74af489d170d9acc49f4221bc93
12,1,14,12.00000000000002,none,8615.801931001944,3601.592976628104,True,37,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k12_p1_cover_event_2p5_event5/default1h_a02/result.json,b6276cdc8339bfa3ee5a4fbf402de17073bc540d43287f25651c26616f3df691
12,2,13,12.000000000000021,none,7083.565966815688,3601.5672354928683,True,51,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k12_p2_cover_event_2p5_event5/default1h_a02/result.json,05b3d6057edd8600e8e79ed0fbfc605169dae49a5b926d93dc3eac83c38978da
12,3,14,12.000000000000028,none,4071.081108524697,3601.3446116189007,True,47,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k12_p3_cover_event_2p5_event5/default1h_a02/result.json,8f5f3398b1a8a46f4106fb94729045d88709e58557c6d6f0656285d7d5f5aa9b
12,4,14,12.000000000001833,none,9355.879415678326,3601.302924643038,True,66,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k12_p4_cover_event_2p5_event5/default1h_a02/result.json,9bb04b33c069bdc9f789b31c32a2139903b830bceb66d1822d8c4a898f150e31
12,5,13,12.000000000000055,none,8611.065312142484,3601.3442679019645,True,44,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k12_p5_cover_event_2p5_event5/default1h_a02/result.json,9c2a1047a155b2801d0385a8136be6420b868c03ac33eb457c8ff4b84155a439
12,6,14,12.000000000000023,none,6861.890000971267,3606.161209122045,True,58,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k12_p6_cover_event_2p5_event5/default1h_a02/result.json,40b38a09557ec70ee51cefabead6e3b81a92bc6c3b6836e531f82e02653010da
13,1,15,13.00000000000014,none,9992.172946647275,3606.2252578029875,True,60,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k13_p1_cover_event_2p5_event5/default1h_a02/result.json,81fb28abe5234172f3b55880375f80255673b41d74cb1ae3aac957d2a5df5903
13,2,15,13.000000000000014,none,6575.008705402259,3600.8569351111073,True,83,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k13_p2_cover_event_2p5_event5/default1h_a02/result.json,d0c18e999e17e9495c5ecc11463f992667ac073df7d3d36dee55c7b38e553f6b
13,3,15,13.00000000000001,none,5203.1041768784635,3601.685140652582,True,80,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k13_p3_cover_event_2p5_event5/default1h_a02/result.json,526309734d6499fbd38d402e1a0baedf3dc2facb27bf52a4de053ee4e04fed12
13,4,15,13.00000000000039,none,9964.279490722809,3601.26669124607,True,43,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k13_p4_cover_event_2p5_event5/default1h_a02/result.json,5cc326f92c6d54bc24ca0f075ec621ac4d0608defc89d0443d2cd77dd1cb1dec
13,5,14,13.000000000000114,none,8216.128688373137,3601.727353647817,True,61,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k13_p5_cover_event_2p5_event5/default1h_a02/result.json,6a5f5cc4e5d097a6bb3bdefe1f5340a43e9a9ae2364e07dbc1e3ecf626a47786
13,6,15,13.000000000000027,none,11345.005133859813,3601.8004586459137,True,76,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k13_p6_cover_event_2p5_event5/default1h_a02/result.json,73e0dd7c8e65d13afb2851ed99564f24851f10925829ed32863aefd816dd4293
14,1,17,14.000000000000036,none,9579.199665509164,3602.2200966659,True,76,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k14_p1_cover_event_2p5_event5/default1h_a02/result.json,0266983858957dc07a2130c72291ce1b26d07a920ef225412f854ca4352c3581
14,2,17,14.00000000000006,none,12290.633006444667,3605.2127093600575,True,95,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k14_p2_cover_event_2p5_event5/default1h_a02/result.json,c10f63a0b1441809ab0122598d3e9bbba943a44cb05257dd35bef8c83c12eaec
14,3,16,14.000000000000005,none,5551.711508399341,3606.3232177030295,True,68,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k14_p3_cover_event_2p5_event5/default1h_a02/result.json,47bc66f8ca7a7bc5b850af8314599a3004e3dfd72fca7c36e5bf8fed277dccdb
14,4,18,14.000000000000133,none,10810.066309003392,3601.762215221068,True,70,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k14_p4_cover_event_2p5_event5/default1h_a02/result.json,8f007ee2a0805a98d7c0b477f412ea6f83ce672863fcdbee39ad52e32ed64a93
14,5,16,14.000000000000016,none,6247.241941955406,3602.248651064001,True,49,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k14_p5_cover_event_2p5_event5/default1h_a02/result.json,a6dbad3edcce4e79fcc878dcfe835588dcb76bba147db1bb92896a5a4ffdc2d8
14,6,17,14.00000000000003,none,8897.591068780515,3601.7251089510974,True,115,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k14_p6_cover_event_2p5_event5/default1h_a02/result.json,1764cfed65a00a34d71aae94293de445973811268d87fcfe4366bf99c375ea5c
15,1,18,15.000000000000048,none,14308.55518752383,3603.9229915780015,True,62,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k15_p1_cover_event_2p5_event5/default1h_a02/result.json,89abd72c69506659d4ab521b053f9149b4124fc916e8b672d15c4d9cae15c35b
15,2,17,15.000000000000034,none,12532.011855103076,3602.1074874703772,True,113,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k15_p2_cover_event_2p5_event5/default1h_a02/result.json,3e75555fda1abc8cb0e2557c380c497079b08aae956ecd51f6b4a994926e2dd1
15,3,18,15.000000000000052,none,6023.9438047907315,3601.4074138808064,True,87,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k15_p3_cover_event_2p5_event5/default1h_a02/result.json,1f0123d8f869bad04a08b252d4923a19fd637e2f75aeca66b4a0dea270e7ea95
15,4,19,15.000000000000068,none,23834.246561450418,3611.5391345871612,True,95,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k15_p4_cover_event_2p5_event5/default1h_a02/result.json,f95143fb7509a37d76fe844e3f495aa30cc6cb482cb8cb348e16a678bdb2f38f
15,5,16,15.000000000000119,none,18341.32916709897,3602.37945673801,True,75,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k15_p5_cover_event_2p5_event5/default1h_a02/result.json,a5351211d07078e36f170138b39972e111a31cef93516f7918fb63aa7157fa65
15,6,19,15.000000000000023,none,22174.29210431804,3608.5808627321385,True,139,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k15_p6_cover_event_2p5_event5/default1h_a02/result.json,f424518dba57d8fba847ec267e9a66d3896df71d7c0bf3536ace1a4fadfb5f31
