case,route_order,route_index,station,station_base,start_min,end_min,kwh
"Practice 43-bus, g=300",8,1002,7880C_0,7880C,773.0,779.71539992,33.57699960000002
"Practice 43-bus, g=300",8,1002,JON_A_0,JON_A,1014.0,1023.5042002,47.52100100000001
"Practice 43-bus, g=300",8,1002,3127L_0,3127L,1186.0,1233.0951997,235.4759985
"Practice 43-bus, g=300",9,1207,PARX_0,PARX,0.0,60.0,300.0
"Practice 43-bus, g=300",9,1207,3127L_0,3127L,539.0,551.493599852,62.46799926
"Practice 43-bus, g=300",9,1207,3127L_0,3127L,608.0,610.00859986,10.042999299999991
"Practice 43-bus, g=300",9,1207,JON_A_0,JON_A,654.0,660.02819996,30.140999800000003
"Practice 43-bus, g=300",9,1207,3127L_0,3127L,882.0,904.9546001,114.7730005
"Practice 43-bus, g=300",9,1207,7880C_0,7880C,1014.0,1023.9777996,49.888998
"Practice 43-bus, g=300",9,1207,7880C_0,7880C,1193.0,1209.61860004,83.0930002
"Practice 43-bus, g=300",10,1418,PARX_0,PARX,0.0,6.0,30.0
"Practice 43-bus, g=300",10,1418,JON_A_0,JON_A,17.0,73.56,282.8
"Practice 43-bus, g=300",10,1418,3127L_0,3127L,593.0,616.77779954,118.8889977
"Practice 43-bus, g=300",10,1418,JON_A_0,JON_A,716.0,723.97439988,39.87199939999999
"Practice 43-bus, g=300",10,1418,3127L_0,3127L,772.0,790.52139988,92.6069994
"Practice 43-bus, g=300",10,1418,3127L_0,3127L,908.0,930.01719972,110.08599859999998
"Practice 43-bus, g=300",10,1418,3127L_0,3127L,984.0,992.27879982,41.393999099999974
"Practice 43-bus, g=300",10,1418,3127L_0,3127L,1275.0,1302.11359932,135.5679966
"Practice 43-bus, g=300",11,1596,PARX_0,PARX,0.0,60.0,300.0
"Practice 43-bus, g=300",11,1596,7880C_0,7880C,504.0,513.8925998,49.462999000000025
"Practice 43-bus, g=300",11,1596,3127L_0,3127L,568.0,587.31819992,96.5909996
"Practice 43-bus, g=300",11,1596,3127L_0,3127L,908.0,934.47679982,132.38399909999995
"Practice 43-bus, g=300",11,1596,3127L_0,3127L,1275.0,1295.91639916,104.58199580000002
"Practice 43-bus, g=300",12,1614,PARX_0,PARX,0.0,60.0,300.0
"Practice 43-bus, g=300",12,1614,3127L_0,3127L,345.0,350.02819992,25.140999599999986
"Practice 43-bus, g=300",12,1614,3127L_0,3127L,548.0,571.40599978,117.02999889999998
"Practice 43-bus, g=300",12,1614,3127L_0,3127L,802.0,815.45819994,67.29099969999999
"Practice 43-bus, g=300",12,1614,3127L_0,3127L,1127.0,1136.71639942,48.581997099999974
"Practice 43-bus, g=300",12,1614,PARX_0,PARX,1247.0,1286.77139984,198.8569992
"Practice 43-bus, g=300",13,1755,PARX_0,PARX,0.0,60.0,300.0
"Practice 43-bus, g=300",13,1755,3127L_0,3127L,345.0,350.02819992,25.140999599999986
"Practice 43-bus, g=300",13,1755,3127L_0,3127L,548.0,571.40599978,117.02999889999998
"Practice 43-bus, g=300",13,1755,3127L_0,3127L,802.0,815.45819994,67.29099969999999
"Practice 43-bus, g=300",13,1755,3127L_0,3127L,943.0,947.1225998,20.612999000000002
"Practice 43-bus, g=300",13,1755,PARX_0,PARX,1187.0,1215.8513994,144.25699699999998
"Practice 43-bus, g=300",13,1755,7880C_0,7880C,1295.0,1299.446399992,22.231999959999996
"Practice 43-bus, g=300",14,1801,PARX_0,PARX,0.0,60.0,300.0
"Practice 43-bus, g=300",14,1801,3127L_0,3127L,623.0,643.97019972,104.85099860000003
"Practice 43-bus, g=300",14,1801,3127L_0,3127L,712.0,732.73379974,103.6689987
"Practice 43-bus, g=300",14,1801,JON_A_0,JON_A,862.0,882.7515997,103.75799849999999
"Practice 43-bus, g=300",14,1801,7880C_0,7880C,1141.0,1171.33860008,151.69300040000002
"Practice 43-bus, g=300",15,2000,PARX_0,PARX,0.0,42.0,210.0
"Practice 43-bus, g=300",15,2000,3127L_0,3127L,608.0,662.0347997,270.1739985
"Practice 43-bus, g=300",15,2000,3127L_0,3127L,822.0,833.46759948,57.33799739999998
"Practice 43-bus, g=300",15,2000,3127L_0,3127L,902.0,916.73379974,73.6689987
"Practice 43-bus, g=300",15,2000,7880C_0,7880C,1304.0,1324.86639998,104.33199990000001
"Practice 43-bus, g=300",16,2017,PARX_0,PARX,0.0,42.0,210.0
