station,minute,compressed_row
2190L,1007,108
2190L,1008,108
2190L,1009,108
2190L,1010,108
2190L,1011,108
2190L,1012,108
2190L,1013,108
2190L,1014,109
2190L,1015,109
2190L,1016,109
2190L,1017,109
2190L,1018,109
2190L,1019,109
2190L,1020,110
2190L,1021,110
2190L,1022,110
2190L,1023,110
2190L,1024,110
2190L,1025,111
2190L,1026,111
2190L,1027,111
2190L,1028,111
2190L,1029,111
2190L,1030,111
2190L,1031,111
2190L,1032,112
2190L,1033,112
2190L,1034,112
2190L,1035,112
2190L,1036,112
2190L,1037,112
2190L,1038,112
2190L,1039,112
2190L,1040,112
2190L,1041,113
2190L,1042,113
2190L,1043,113
2190L,1044,113
2190L,1045,113
2190L,1046,113
2190L,1047,113
2190L,1048,113
2190L,1049,113
2190L,1050,113
2190L,1051,113
2190L,1052,114
2190L,1053,114
2190L,1054,114
2190L,1055,114
2190L,1056,114
2190L,1057,115
2190L,1058,115
2190L,1059,115
2190L,1060,115
2190L,1061,115
2190L,1062,115
2190L,1063,116
2190L,1064,116
2190L,1065,117
2190L,1066,117
2190L,1067,117
2190L,1068,117
2190L,1069,117
2190L,1070,117
2190L,1102,118
2190L,1103,118
2190L,1104,118
2190L,1105,118
2190L,1106,118
2190L,1107,118
2190L,1108,118
2190L,1109,118
2190L,1110,118
2190L,1111,118
2190L,1112,118
2190L,1113,118
2190L,1114,119
2190L,1115,119
2190L,1116,119
2190L,1117,119
2190L,1118,119
2190L,1119,119
2190L,1120,119
2190L,1121,119
2190L,1122,119
2190L,1123,119
2190L,1124,119
2190L,1125,119
2190L,1126,119
2190L,1127,119
2190L,1128,119
2190L,1129,119
2190L,1130,119
2190L,1131,120
2190L,1132,121
2190L,1133,121
2190L,1134,122
2190L,1135,122
2190L,1136,122
2190L,1137,122
2190L,1138,122
2190L,1139,122
2190L,1140,122
2190L,1141,123
2190L,1142,123
2190L,1143,123
2190L,1144,123
2190L,1145,123
2190L,1146,123
2190L,1147,123
2190L,1148,123
2190L,1149,123
2190L,1150,124
2190L,1151,124
2190L,1152,124
2190L,1153,124
2190L,1154,124
2190L,1155,124
2190L,1156,124
2190L,1157,124
2190L,1158,124
2190L,1159,124
2190L,1160,124
2190L,1161,125
2190L,1162,125
2190L,1163,125
2190L,1164,125
2190L,1165,125
2190L,1166,125
2190L,1167,126
2190L,1168,126
2190L,1169,126
2190L,1170,127
2190L,1171,127
2190L,1172,128
2190L,1173,128
2190L,1174,128
2190L,1175,128
2190L,1176,128
2190L,1177,128
2190L,1178,128
2190L,1179,129
2190L,1180,129
2190L,1181,129
2190L,1182,130
2190L,1183,131
2190L,1184,132
2190L,1185,133
2190L,1186,133
2190L,1187,134
2190L,1188,135
2190L,1189,136
2190L,1190,136
2190L,1191,136
2190L,1192,137
2190L,1193,137
2190L,1194,137
2190L,1195,137
2190L,1196,137
2190L,1197,137
2190L,1198,137
2190L,1199,137
2190L,1200,137
2190L,1201,137
2190L,1202,137
2190L,1203,137
2190L,1204,137
2190L,1205,137
2190L,1206,137
2190L,1207,137
2190L,1208,137
2190L,1209,137
2190L,1210,137
2190L,1211,137
2190L,1212,137
2190L,1213,137
2190L,1214,137
2190L,1215,137
2190L,1216,137
2190L,1217,138
2190L,1218,138
2190L,1219,138
