route_index,trips,trip_count,original_cost,fleet_objective_coefficient,charging_sessions,profile,charge_policy
120,2;5;11;14;17;19;21;24;27;31,10,1.0,1,8,18E1,early_disconnect
121,2;5;8;11;14;17;23;27;30,9,1.0,1,7,18E1,
122,2;5;8;11;14;17;23;27;30,9,1.0,1,7,18E1,early_disconnect
123,3;6;10;17;19;21;24;28;32;34,10,1.0,1,6,18E1,
124,3;6;10;17;19;21;24;28;32;34,10,1.0,1,8,18E1,early_disconnect
125,4;7;12;15;18;21;24;28;31;33,10,1.0,1,8,18E1,
126,4;7;12;15;18;21;24;28;31;33,10,1.0,1,9,18E1,early_disconnect
127,3;6;10;13;18;23;27;30,8,1.0,1,6,18E1,
128,3;6;10;13;18;23;27;30,8,1.0,1,6,18E1,early_disconnect
129,3;8;12;17;20;22;25;29;32;34,10,1.0,1,9,18E1,
130,3;8;12;17;20;22;25;29;32;34,10,1.0,1,9,18E1,early_disconnect
131,4;7;11;14;17;23;26;29;32,9,1.0,1,7,18E1,
132,4;7;11;14;17;23;26;29;32,9,1.0,1,8,18E1,early_disconnect
133,3;9;12;15;18;20;24;29;32;34,10,1.0,1,8,18E1,
134,3;9;12;15;18;20;24;29;32;34,10,1.0,1,9,18E1,early_disconnect
135,2;4;11;14;17;19;21;24;29;32,10,1.0,1,7,18E1,
136,2;4;11;14;17;19;21;24;29;32,10,1.0,1,9,18E1,early_disconnect
137,2;6;12;15;19;23;26;29;32;34,10,1.0,1,8,18E1,
138,2;6;12;15;19;23;26;29;32;34,10,1.0,1,9,18E1,early_disconnect
139,2;5;8;11;15;18;20;22;25;30,10,1.0,1,7,18E1,
140,2;5;8;11;15;18;20;22;25;30,10,1.0,1,8,18E1,early_disconnect
141,3;7;9;12;16;23;27;30,8,1.0,1,6,18E1,
142,3;7;9;12;16;23;27;30,8,1.0,1,7,18E1,early_disconnect
143,2;3;8;10;13;16;23;27;30;33,10,1.0,1,8,18E1,
144,2;3;8;10;13;16;23;27;30;33,10,1.0,1,9,18E1,early_disconnect
145,2;3;6;12;16;21;25;29;32;34,10,1.0,1,8,18E1,
146,2;3;6;12;16;21;25;29;32;34,10,1.0,1,9,18E1,early_disconnect
147,2;3;6;9;12;17;19;21;24;27;31;33;34,13,1.0,1,8,18E1,
148,2;3;6;9;12;17;19;21;24;27;31;33;34,13,1.0,1,12,18E1,early_disconnect
149,2;6;11;16;24;29;32;34,8,1.0,1,7,18E1,
150,2;6;11;16;24;29;32;34,8,1.0,1,7,18E1,early_disconnect
151,0;5;8;11;14;17;19;22;25;29;32;34,12,1.0,1,11,18E1,
152,0;5;8;11;14;17;19;22;25;29;32;34,12,1.0,1,11,18E1,early_disconnect
153,2;3;6;11;14;18;23;26;29;32,10,1.0,1,7,18E1,
154,2;3;6;11;14;18;23;26;29;32,10,1.0,1,9,18E1,early_disconnect
155,2;4;7;9;14;17;19;21;24;27;30;34,12,1.0,1,7,18E1,
156,2;4;7;9;14;17;19;21;24;27;30;34,12,1.0,1,11,18E1,early_disconnect
157,3;6;10;15;18;23;26;29;32,9,1.0,1,5,18E1,
158,3;6;10;15;18;23;26;29;32,9,1.0,1,7,18E1,early_disconnect
159,0;5;8;10;13;16;23;26;29;32,10,1.0,1,9,18E1,
160,0;5;8;10;13;16;23;26;29;32,10,1.0,1,9,18E1,early_disconnect
161,0;8;12;15;18;20;22;25;28;31,10,1.0,1,7,18E1,
162,0;8;12;15;18;20;22;25;28;31,10,1.0,1,9,18E1,early_disconnect
163,0;3;6;11;15;18;20;24;27;30,10,1.0,1,7,18E1,
164,0;3;6;11;15;18;20;24;27;30,10,1.0,1,9,18E1,early_disconnect
165,0;4;12;15;18;20;22;25;28;32;34,11,1.0,1,9,18E1,
166,0;4;12;15;18;20;22;25;28;32;34,11,1.0,1,10,18E1,early_disconnect
167,0;4;7;9;12;16;20;22;25;29;32,11,1.0,1,8,18E1,
168,0;4;7;9;12;16;20;22;25;29;32,11,1.0,1,10,18E1,early_disconnect
169,0;3;7;9;12;15;19;21;24;28;32,11,1.0,1,7,18E1,
170,0;3;7;9;12;15;19;21;24;28;32,11,1.0,1,10,18E1,early_disconnect
171,1;7;9;12;15;18;20;22;25;28;32;34,12,1.0,1,10,18E1,
172,1;7;9;12;15;18;20;22;25;28;32;34,12,1.0,1,11,18E1,early_disconnect
173,0;4;7;11;14;17;19;23;26;30;33,11,1.0,1,9,18E1,
174,0;4;7;11;14;17;19;23;26;30;33,11,1.0,1,10,18E1,early_disconnect
175,0;3;6;10;13;16;20;22;25;28;32,11,1.0,1,9,18E1,
176,0;3;6;10;13;16;20;22;25;28;32,11,1.0,1,9,18E1,early_disconnect
177,0;4;11;14;17;19;23;26;29;32;34,11,1.0,1,9,18E1,
178,0;4;11;14;17;19;23;26;29;32;34,11,1.0,1,10,18E1,early_disconnect
179,0;4;7;11;14;17;19;21;24;27;30;33;34,13,1.0,1,11,18E1,
180,0;4;7;11;14;17;19;21;24;27;30;33;34,13,1.0,1,12,18E1,early_disconnect
181,0;4;10;13;16;22;26;31,8,1.0,1,8,18E1,
182,0;4;10;13;16;22;26;31,8,1.0,1,7,18E1,early_disconnect
183,0;1;3;6;9;12;15;18;20;22;25;28;31,13,1.0,1,13,18E1,
184,2;4;7;11;14;17;19;21;24;27;30;33,12,1.0,1,12,18E1,
185,2;4;7;11;14;17;19;21;24;27;30;33,12,1.0,1,11,18E1,early_disconnect
186,0;1;3;7;9;12;15;18;20;22;26;29;32;34,14,1.0,1,13,18E1,
187,0;1;3;7;9;12;15;18;20;22;26;29;32;34,14,1.0,1,13,18E1,early_disconnect
188,0;2;3;6;9;12;15;18;20;24;27;30,12,1.0,1,11,18E1,
189,0;2;3;6;9;12;15;18;20;24;27;30,12,1.0,1,11,18E1,early_disconnect
190,0;1;5;8;10;14;17;19;22;25;28;31;33;34,14,1.0,1,14,18E1,
191,0;1;5;8;10;14;17;19;22;25;28;31;33;34,14,1.0,1,13,18E1,early_disconnect
192,2;3;6;9;12;15;18;20;22;25;28;31;33;34,14,1.0,1,13,18E1,
193,2;3;6;9;12;15;18;20;22;25;28;31;33;34,14,1.0,1,13,18E1,early_disconnect
194,0;1;3;6;9;12;15;18;20;22;25;28;31;34,14,1.0,1,12,18E1,
195,0;1;3;6;9;12;15;18;20;22;25;28;31;34,14,1.0,1,13,18E1,early_disconnect
196,1;3;6;9;12;15;18;20;25;28;31,11,1.0,1,10,18E1,
197,1;3;6;9;12;15;18;20;25;28;31,11,1.0,1,10,18E1,early_disconnect
198,2;5;8;10;13;16;21;24;27;30;33;34,12,1.0,1,11,18E1,
199,2;5;8;10;13;16;21;24;27;30;33;34,12,1.0,1,10,18E1,early_disconnect
200,5;8;10;14;17;19;21;26;29;32,10,1.0,1,10,18E1,
201,5;8;10;14;17;19;21;26;29;32,10,1.0,1,9,18E1,early_disconnect
202,4;7;11;16;23;26;29;32,8,1.0,1,8,18E1,
203,4;7;11;16;23;26;29;32,8,1.0,1,7,18E1,early_disconnect
204,0;2;4;7;11;14;17;19;22;25;28;31,12,1.0,1,9,18E1,
205,0;2;4;7;11;14;17;19;22;25;28;31,12,1.0,1,11,18E1,early_disconnect
206,1;3;6;11;14;17;19;22;27;30,10,1.0,1,8,18E1,
207,1;3;6;11;14;17;19;22;27;30,10,1.0,1,9,18E1,early_disconnect
208,0;4;7;9;12;15;18;20;24;27;30;33,12,1.0,1,10,18E1,
209,0;4;7;9;12;15;18;20;24;27;30;33,12,1.0,1,11,18E1,early_disconnect
210,1;4;9;12;15;18;23;26;29;32;34,11,1.0,1,11,18E1,
211,1;4;9;12;15;18;23;26;29;32;34,11,1.0,1,10,18E1,early_disconnect
212,0;3;6;11;16;20;22;25;28;31;33,11,1.0,1,9,18E1,
213,0;3;6;11;16;20;22;25;28;31;33,11,1.0,1,10,18E1,early_disconnect
214,1;6;9;13;20;24,6,1.0,1,5,18E1,
215,1;6;9;13;20;24,6,1.0,1,5,18E1,early_disconnect
216,1;6;12;15;18;20;24,7,1.0,1,6,18E1,
217,1;6;12;15;18;20;24,7,1.0,1,6,18E1,early_disconnect
218,1;5;8;10;13;20;24,7,1.0,1,6,18E1,
219,1;5;8;10;13;20;24,7,1.0,1,6,18E1,early_disconnect
220,1;3;6;10;13;20;22;26;29;32,10,1.0,1,8,18E1,
221,1;3;6;10;13;20;22;26;29;32,10,1.0,1,8,18E1,early_disconnect
222,5;8;12;16;23;26;29;32,8,1.0,1,8,18E1,
223,5;8;12;16;23;26;29;32,8,1.0,1,7,18E1,early_disconnect
224,3;6;13;18;21;24;27,7,1.0,1,5,18E1,
225,3;6;13;18;21;24;27,7,1.0,1,6,18E1,early_disconnect
226,0;6;10;13;19;23;26;30;33;34,10,1.0,1,9,18E1,
227,0;6;10;13;19;23;26;30;33;34,10,1.0,1,8,18E1,early_disconnect
228,0;3;7;11;14;17;21;24;29;32,10,1.0,1,8,18E1,
229,0;3;7;11;14;17;21;24;29;32,10,1.0,1,9,18E1,early_disconnect
230,8;13;16;20;22;25;30,7,1.0,1,7,18E1,
231,8;13;16;20;22;25;30,7,1.0,1,6,18E1,early_disconnect
232,5;11;14;17;20;24;28;31;34,9,1.0,1,9,18E1,
233,5;11;14;17;20;24;28;31;34,9,1.0,1,8,18E1,early_disconnect
234,10;13;16;20;22;25;28;31,8,1.0,1,7,18E1,
235,10;13;16;20;22;25;28;31,8,1.0,1,7,18E1,early_disconnect
236,0;5;9;13;19;23;27;31;33,9,1.0,1,9,18E1,
237,0;5;9;13;19;23;27;31;33,9,1.0,1,8,18E1,early_disconnect
238,0;2;4;7;9;13;16;23;28,9,1.0,1,9,18E1,
239,0;2;4;7;9;13;16;23;28,9,1.0,1,8,18E1,early_disconnect
240,1;7;11;14;17;23;27,7,1.0,1,7,18E1,
241,1;7;11;14;17;23;27,7,1.0,1,6,18E1,early_disconnect
242,1;3;7;9;15;19;21;24;28,9,1.0,1,7,18E1,
243,1;3;7;9;15;19;21;24;28,9,1.0,1,8,18E1,early_disconnect
244,1;5;8;15;20;22;25;28;31,9,1.0,1,6,18E1,
245,1;5;8;15;20;22;25;28;31,9,1.0,1,8,18E1,early_disconnect
246,3;6;10;14;17;23;26;31,8,1.0,1,7,18E1,
247,3;6;10;14;17;23;26;31,8,1.0,1,6,18E1,early_disconnect
248,0;3;7;12;15;19;21;25,8,1.0,1,8,18E1,
249,0;3;7;12;15;19;21;25,8,1.0,1,7,18E1,early_disconnect
250,3;8;10;13;18;23;29;34,8,1.0,1,8,18E1,
251,3;8;10;13;18;23;29;34,8,1.0,1,7,18E1,early_disconnect
252,1;5;10;14;18;23;28;32,8,1.0,1,8,18E1,
253,1;5;10;14;18;23;28;32,8,1.0,1,7,18E1,early_disconnect
254,6;9;12;17;19;23;28;32,8,1.0,1,6,18E1,
255,6;9;12;17;19;23;28;32,8,1.0,1,7,18E1,early_disconnect
256,5;9;17;20;22;25;29;33,8,1.0,1,8,18E1,
257,5;9;17;20;22;25;29;33,8,1.0,1,7,18E1,early_disconnect
258,5;9;14;17;20;25;29;32,8,1.0,1,7,18E1,
259,5;9;14;17;20;25;29;32,8,1.0,1,7,18E1,early_disconnect
260,3;6;11;14;19;23;27;32,8,1.0,1,7,18E1,
261,3;6;11;14;19;23;27;32,8,1.0,1,7,18E1,early_disconnect
262,3;11;15;18;23;26;30,7,1.0,1,7,18E1,
263,3;11;15;18;23;26;30,7,1.0,1,6,18E1,early_disconnect
264,3;6;11;15;19;23;26;29,8,1.0,1,8,18E1,
265,3;6;11;15;19;23;26;29,8,1.0,1,7,18E1,early_disconnect
266,4;7;9;12;15;18;23;30;33,9,1.0,1,8,18E1,
267,4;7;9;12;15;18;23;30;33,9,1.0,1,8,18E1,early_disconnect
268,0;1;4;7;13;16;23;27;32,9,1.0,1,9,18E1,
269,0;1;4;7;13;16;23;27;32,9,1.0,1,8,18E1,early_disconnect
270,0;2;6;9;13;18;23;26;29;32,10,1.0,1,9,18E1,
271,0;2;6;9;13;18;23;26;29;32,10,1.0,1,9,18E1,early_disconnect
272,4;7;9;13;18;20;22;25;28;32,10,1.0,1,8,18E1,
273,4;7;9;13;18;20;22;25;28;32,10,1.0,1,9,18E1,early_disconnect
274,0;1;3;6;11;14;17;19;23;26;29;32,12,1.0,1,9,18E1,
275,0;1;3;6;11;14;17;19;23;26;29;32,12,1.0,1,11,18E1,early_disconnect
276,5;8;13;16;24;27;31,7,1.0,1,5,18E1,
277,5;8;13;16;24;27;31,7,1.0,1,6,18E1,early_disconnect
278,4;7;11;17;19;21;24;27;31,9,1.0,1,6,18E1,
279,4;7;11;17;19;21;24;27;31,9,1.0,1,8,18E1,early_disconnect
280,4;7;9;13;16;21;24;29;34,9,1.0,1,6,18E1,
281,4;7;9;13;16;21;24;29;34,9,1.0,1,8,18E1,early_disconnect
282,2;5;8;12;15;18;20;22;25;29;32,11,1.0,1,10,18E1,
283,2;5;8;12;15;18;20;22;25;29;32,11,1.0,1,9,18E1,early_disconnect
284,8;12;15;21;24;28;31,7,1.0,1,6,18E1,
285,8;12;15;21;24;28;31,7,1.0,1,6,18E1,early_disconnect
286,5;8;11;14;18;20;22;26;31,9,1.0,1,8,18E1,
287,5;8;11;14;18;20;22;26;31,9,1.0,1,8,18E1,early_disconnect
288,3;7;9;13;19;23;26;31,8,1.0,1,6,18E1,
289,3;7;9;13;19;23;26;31,8,1.0,1,7,18E1,early_disconnect
290,1;6;10;13;16;20;24;27;30,9,1.0,1,6,18E1,
291,1;6;10;13;16;20;24;27;30,9,1.0,1,7,18E1,early_disconnect
292,4;7;9;12;15;20;22;25;32,9,1.0,1,9,18E1,
293,4;7;9;12;15;20;22;25;32,9,1.0,1,8,18E1,early_disconnect
294,4;7;9;12;15;19;23;27;31;34,10,1.0,1,10,18E1,
295,4;7;9;12;15;19;23;27;31;34,10,1.0,1,9,18E1,early_disconnect
296,1;5;8;10;13;16;23;26;29,9,1.0,1,7,18E1,
297,1;5;8;10;13;16;23;26;29,9,1.0,1,8,18E1,early_disconnect
298,6;12;15;18;21;25;28;31;34,9,1.0,1,7,18E1,
299,6;12;15;18;21;25;28;31;34,9,1.0,1,8,18E1,early_disconnect
300,5;8;11;14;17;19;22;25;29;32,10,1.0,1,10,18E1,
301,4;7;12;15;19;21;24;28;31,9,1.0,1,8,18E1,
302,4;7;12;15;19;21;24;28;31,9,1.0,1,8,18E1,early_disconnect
303,3;8;11;14;17;23;27;30,8,1.0,1,7,18E1,
304,3;8;11;14;17;23;27;30,8,1.0,1,7,18E1,early_disconnect
305,5;8;11;14;17;20;22;26;30,9,1.0,1,8,18E1,
306,5;8;11;14;17;20;22;26;30,9,1.0,1,8,18E1,early_disconnect
307,7;9;12;15;18;21;24;27;32;34,10,1.0,1,7,18E1,
308,7;9;12;15;18;21;24;27;32;34,10,1.0,1,9,18E1,early_disconnect
309,5;10;13;18;21;24;27;30;34,9,1.0,1,5,18E1,
