route_index,station,start_min,end_min
70,2190L,1141,1167
71,2190L,602,640
71,2190L,922,929
71,2190L,1102,1114
71,2190L,1189,1235
71,4808,697,704
72,4808,319,346
72,4808,697,704
72,4808,781,815
72,4808,992,1018
72,4808,1124,1136
72,2190L,602,640
72,2190L,922,929
72,2190L,1189,1217
73,2190L,659,669
73,4808,727,734
73,4808,811,856
74,4808,319,346
74,4808,727,734
74,2190L,522,542
74,2190L,659,669
74,2190L,789,820
74,2190L,962,978
75,4808,597,604
75,4808,899,907
75,4808,1079,1136
75,2190L,659,709
76,2190L,341,376
76,2190L,659,685
76,2190L,789,818
76,2190L,921,929
76,4808,597,604
76,4808,992,998
76,4808,1079,1120
77,4808,319,411
77,4808,491,604
77,4808,767,774
77,2190L,1057,1065
77,2190L,1141,1235
78,4808,319,346
78,4808,491,520
78,4808,767,774
78,4808,940,960
78,4808,1079,1087
78,2190L,659,679
78,2190L,830,856
78,2190L,1141,1172
79,2190L,619,640
79,2190L,964,976
79,4808,697,734
79,4808,899,906
80,2190L,387,409
80,2190L,619,640
80,2190L,789,809
80,4808,697,721
80,4808,899,906
80,4808,986,998
81,4808,319,411
81,4808,539,604
81,4808,899,906
81,2190L,469,480
81,2190L,659,669
82,4808,319,346
82,4808,539,563
82,4808,727,752
82,4808,899,906
82,2190L,469,480
82,2190L,659,669
82,2190L,830,840
82,2190L,964,993
83,4808,597,604
83,2190L,1006,1071
84,4808,319,346
84,4808,597,604
84,4808,940,947
84,2190L,522,539
84,2190L,659,686
84,2190L,789,818
84,2190L,1006,1032
85,4808,455,472
85,4808,767,774
85,4808,992,998
85,4808,1128,1213
85,2190L,659,709
85,2190L,922,929
86,4808,455,472
86,4808,767,774
86,4808,852,866
86,4808,992,998
86,2190L,532,557
86,2190L,659,688
86,2190L,922,929
86,2190L,1057,1071
86,2190L,1150,1188
87,2190L,477,480
87,2190L,921,929
87,4808,539,604
87,4808,727,734
87,4808,992,1047
88,2190L,477,480
88,2190L,659,669
88,2190L,789,818
88,2190L,921,929
88,4808,539,579
88,4808,727,734
88,4808,992,1022
89,4808,465,472
89,4808,697,774
89,4808,992,1047
89,2190L,619,640
90,2190L,387,408
90,2190L,532,539
90,2190L,619,640
90,2190L,922,929
90,4808,465,472
90,4808,697,725
90,4808,852,866
90,4808,992,1022
91,4808,455,472
91,4808,637,647
91,4808,944,947
91,4808,1028,1047
92,2190L,387,398
92,2190L,532,556
92,2190L,659,669
92,4808,455,472
92,4808,727,756
92,4808,944,947
92,4808,1028,1047
93,4808,465,472
93,4808,637,644
93,4808,899,906
93,4808,1041,1087
93,2190L,699,712
93,2190L,964,978
94,4808,465,472
94,4808,637,644
94,4808,721,734
94,4808,899,906
94,4808,1041,1067
94,2190L,532,562
94,2190L,789,820
94,2190L,964,978
95,2190L,477,480
95,2190L,659,669
95,4808,539,604
95,4808,940,998
95,4808,1128,1136
96,2190L,387,398
96,2190L,477,480
96,2190L,659,669
96,2190L,830,850
96,2190L,1057,1071
96,4808,539,578
96,4808,727,752
96,4808,940,960
96,4808,1128,1136
97,4808,491,558
97,4808,637,644
97,4808,767,856
97,2190L,699,709
97,2190L,1006,1020
98,2190L,469,508
98,2190L,699,709
98,2190L,789,825
98,2190L,1006,1020
98,4808,637,644
98,4808,940,947
99,4808,319,411
99,4808,624,647
99,4808,727,774
99,4808,899,906
100,4808,319,346
100,4808,539,546
100,4808,727,747
100,4808,899,906
100,4808,986,998
100,2190L,469,480
100,2190L,602,631
100,2190L,830,840
101,4808,465,472
101,4808,597,604
101,4808,811,856
101,2190L,1057,1071
102,4808,465,472
102,4808,597,604
102,4808,681,722
102,4808,940,960
102,2190L,532,539
102,2190L,789,809
102,2190L,1057,1071
103,4808,455,458
103,4808,637,687
103,4808,767,774
103,4808,1080,1087
103,2190L,561,580
104,2190L,387,398
104,2190L,477,480
104,2190L,561,580
104,2190L,659,702
104,2190L,964,984
104,4808,767,774
104,4808,852,886
104,4808,1080,1087
105,4808,319,462
105,4808,637,644
105,4808,767,774
105,4808,940,947
105,2190L,699,709
105,2190L,1006,1025
106,4808,319,346
106,4808,637,644
106,4808,767,774
106,4808,940,947
106,4808,1028,1047
106,2190L,522,542
106,2190L,699,709
106,2190L,830,861
107,4808,465,517
107,4808,597,604
107,4808,1080,1087
107,2190L,659,669
108,2190L,387,408
108,2190L,487,516
108,2190L,659,669
108,2190L,749,785
108,2190L,962,991
108,4808,597,604
108,4808,1080,1087
109,4808,465,472
109,4808,637,687
109,4808,767,774
109,4808,852,866
109,4808,1079,1087
109,2190L,922,929
109,2190L,1141,1235
110,2190L,387,408
110,2190L,532,559
110,2190L,659,688
110,2190L,922,929
110,2190L,1141,1183
110,4808,465,472
110,4808,767,774
110,4808,852,866
110,4808,992,998
110,4808,1079,1087
111,2190L,469,480
111,2190L,602,640
111,2190L,759,800
111,2190L,964,978
111,4808,697,704
111,4808,1041,1087
112,2190L,469,480
112,2190L,602,640
112,2190L,759,785
112,2190L,964,978
112,4808,539,546
112,4808,697,704
112,4808,859,879
112,4808,1041,1064
113,4808,465,472
113,4808,554,618
113,4808,697,704
113,4808,781,856
113,4808,940,947
113,2190L,1006,1020
114,2190L,387,408
114,2190L,532,559
114,2190L,759,785
114,2190L,1006,1020
114,4808,465,472
114,4808,697,704
114,4808,940,947
115,4808,465,472
115,4808,597,604
115,4808,727,774
115,4808,940,947
115,2190L,659,669
115,2190L,1006,1020
116,2190L,387,408
116,2190L,532,539
116,2190L,659,669
116,2190L,830,850
116,2190L,1006,1020
116,4808,465,472
116,4808,597,604
116,4808,727,758
116,4808,940,947
116,4808,1080,1106
117,2190L,561,580
117,2190L,1006,1071
117,4808,637,647
117,4808,727,734
117,4808,811,856
118,2190L,477,480
118,2190L,561,580
118,2190L,659,669
118,2190L,789,832
118,2190L,1006,1032
118,4808,727,734
118,4808,940,947
119,4808,491,558
119,4808,637,644
119,4808,767,774
119,4808,899,906
119,2190L,964,978
119,2190L,1063,1071
120,2190L,469,508
120,2190L,699,709
120,2190L,830,840
120,2190L,964,978
120,2190L,1063,1071
120,4808,637,644
120,4808,767,774
120,4808,899,906
121,2190L,469,480
121,2190L,561,580
121,2190L,962,978
121,4808,637,644
121,4808,1041,1047
122,2190L,469,480
122,2190L,561,580
122,2190L,699,709
122,2190L,789,830
122,2190L,962,978
122,4808,637,644
122,4808,1041,1047
123,2190L,602,709
123,2190L,1141,1235
123,4808,899,906
123,4808,986,998
123,4808,1079,1087
124,4808,455,462
124,4808,767,774
124,4808,899,906
124,4808,986,998
124,4808,1079,1087
124,2190L,602,647
124,2190L,830,840
124,2190L,1141,1183
125,4808,465,472
125,4808,554,604
125,4808,727,734
125,4808,899,906
125,4808,986,998
125,4808,1128,1136
125,2190L,1057,1071
126,4808,465,472
126,4808,554,592
126,4808,727,734
126,4808,899,906
126,4808,986,998
126,4808,1128,1136
126,2190L,659,669
126,2190L,789,818
126,2190L,1057,1071
127,2190L,602,640
127,4808,697,734
127,4808,811,856
127,4808,1041,1047
128,4808,455,462
128,4808,697,721
128,4808,1041,1047
128,2190L,602,640
128,2190L,789,809
128,2190L,962,978
129,2190L,477,480
129,2190L,659,709
129,2190L,789,800
129,2190L,922,929
129,2190L,1014,1020
129,2190L,1141,1235
129,4808,539,604
129,4808,1080,1087
130,2190L,477,480
130,2190L,659,679
130,2190L,789,800
130,2190L,922,929
130,2190L,1014,1020
130,2190L,1141,1184
130,4808,539,579
130,4808,859,866
130,4808,1080,1087
131,4808,465,472
131,4808,637,644
131,4808,767,856
131,4808,940,947
131,4808,1080,1087
131,2190L,699,709
132,4808,465,472
132,4808,637,644
132,4808,940,947
132,4808,1080,1087
132,2190L,532,562
132,2190L,699,709
132,2190L,789,825
132,2190L,1006,1020
133,4808,597,604
133,4808,1080,1087
133,2190L,789,800
133,2190L,964,1020
133,2190L,1141,1235
134,2190L,477,512
134,2190L,659,669
134,2190L,789,800
134,2190L,964,984
134,2190L,1141,1167
134,4808,597,604
134,4808,727,734
134,4808,859,889
134,4808,1080,1087
135,4808,465,558
135,4808,637,644
135,4808,899,906
135,4808,1080,1087
135,2190L,699,709
135,2190L,964,1020
136,2190L,387,408
136,2190L,487,516
136,2190L,699,709
136,2190L,830,840
136,2190L,964,996
136,4808,637,644
136,4808,767,774
136,4808,899,906
136,4808,1080,1087
137,4808,544,604
137,4808,1080,1087
137,2190L,659,669
137,2190L,1006,1020
137,2190L,1141,1235
138,4808,409,440
138,4808,544,573
138,4808,727,752
138,4808,940,947
138,4808,1080,1087
138,2190L,659,669
138,2190L,830,850
138,2190L,1006,1020
138,2190L,1141,1170
139,2190L,469,480
139,2190L,561,580
139,2190L,659,669
139,2190L,789,800
139,2190L,922,929
139,4808,992,1047
140,2190L,469,480
140,2190L,561,580
140,2190L,659,669
140,2190L,789,800
140,2190L,922,929
140,4808,727,734
140,4808,859,866
140,4808,992,1033
141,4808,597,604
141,4808,681,704
141,4808,781,856
141,4808,1041,1047
142,4808,455,472
142,4808,597,604
142,4808,681,704
142,4808,1041,1047
142,2190L,532,539
142,2190L,759,787
142,2190L,962,978
143,2190L,477,480
143,2190L,602,640
143,4808,539,546
143,4808,781,856
143,4808,1041,1047
143,4808,1124,1136
144,2190L,387,398
144,2190L,477,480
144,2190L,602,640
144,2190L,759,786
144,2190L,962,978
144,4808,539,546
144,4808,697,704
144,4808,1041,1047
144,4808,1124,1136
145,2190L,659,682
145,2190L,921,929
145,2190L,1014,1020
145,2190L,1141,1235
145,4808,781,818
145,4808,1080,1087
146,2190L,387,398
146,2190L,759,782
146,2190L,921,929
146,2190L,1014,1020
146,2190L,1141,1182
146,4808,455,462
146,4808,544,581
146,4808,681,704
146,4808,1080,1087
147,4808,597,604
147,4808,899,906
147,4808,1128,1136
147,2190L,659,709
147,2190L,964,978
147,2190L,1063,1071
147,2190L,1189,1235
148,2190L,387,398
148,2190L,522,539
148,2190L,659,688
148,2190L,830,840
148,2190L,964,978
148,2190L,1063,1071
148,2190L,1189,1226
148,4808,455,462
148,4808,597,604
148,4808,767,774
148,4808,899,906
148,4808,1128,1136
149,4808,409,462
149,4808,1080,1087
149,2190L,964,1020
149,2190L,1141,1235
150,4808,409,440
150,4808,637,657
150,4808,781,810
150,4808,1080,1087
150,2190L,522,542
150,2190L,964,984
150,2190L,1141,1167
151,2190L,561,580
151,2190L,699,709
151,2190L,922,929
151,2190L,1014,1020
151,2190L,1141,1235
151,4808,637,644
151,4808,767,774
151,4808,852,866
151,4808,1080,1087
152,4808,319,346
152,4808,637,644
152,4808,767,774
152,4808,852,866
152,4808,1080,1087
152,2190L,469,480
152,2190L,561,580
152,2190L,699,709
152,2190L,922,929
152,2190L,1014,1020
152,2190L,1141,1187
153,4808,455,462
153,4808,637,644
153,4808,721,734
153,4808,811,856
153,4808,940,947
153,4808,1080,1087
154,2190L,387,398
154,2190L,522,551
154,2190L,789,820
154,2190L,1006,1020
154,4808,455,462
154,4808,637,644
154,4808,721,734
154,4808,940,947
154,4808,1080,1087
155,4808,465,472
155,4808,597,644
155,4808,1041,1047
155,2190L,699,709
155,2190L,964,978
155,2190L,1102,1235
156,2190L,387,408
156,2190L,532,539
156,2190L,699,709
156,2190L,830,840
156,2190L,964,978
156,2190L,1102,1134
156,4808,465,472
156,4808,597,627
156,4808,767,774
156,4808,899,906
156,4808,1041,1047
157,2190L,602,669
157,2190L,1006,1020
157,4808,811,856
157,4808,940,947
158,4808,455,462
158,4808,727,734
158,4808,940,947
158,4808,1080,1087
158,2190L,602,647
158,2190L,789,815
158,2190L,1006,1020
159,4808,319,411
159,4808,539,546
159,4808,697,704
159,4808,781,856
159,4808,940,947
159,4808,1080,1087
159,2190L,469,480
159,2190L,1006,1020
160,4808,319,346
160,4808,539,546
160,4808,697,704
160,4808,940,947
160,4808,1080,1087
160,2190L,469,480
160,2190L,602,631
160,2190L,759,785
160,2190L,1006,1020
161,2190L,341,480
161,2190L,789,800
161,2190L,922,929
161,2190L,1057,1071
161,4808,992,998
162,2190L,341,376
162,2190L,659,669
162,2190L,789,800
162,2190L,922,929
162,2190L,1057,1071
162,4808,539,559
162,4808,727,734
162,4808,859,866
162,4808,992,998
163,2190L,341,398
163,2190L,789,800
163,4808,455,462
163,4808,637,647
163,4808,859,906
163,4808,1041,1047
164,2190L,341,376
164,2190L,522,548
164,2190L,659,669
164,2190L,789,800
164,2190L,964,978
164,4808,455,462
164,4808,727,734
164,4808,859,889
164,4808,1041,1047
165,2190L,341,408
165,2190L,659,669
165,2190L,789,800
165,2190L,922,929
165,2190L,1141,1235
165,4808,992,998
165,4808,1079,1087
166,2190L,341,376
166,2190L,659,669
166,2190L,789,800
166,2190L,922,929
166,2190L,1141,1184
166,4808,465,485
166,4808,727,734
166,4808,859,866
166,4808,992,998
166,4808,1079,1087
167,2190L,341,408
167,2190L,659,682
167,2190L,759,800
167,2190L,922,929
167,2190L,1014,1020
167,4808,465,472
167,4808,1080,1087
168,2190L,341,376
168,2190L,532,539
168,2190L,759,787
168,2190L,922,929
168,2190L,1014,1020
168,4808,465,472
168,4808,597,604
168,4808,681,704
168,4808,859,866
168,4808,1080,1087
169,2190L,341,398
169,4808,455,472
169,4808,727,774
169,4808,899,906
169,4808,986,998
169,4808,1079,1087
170,2190L,341,376
170,2190L,532,539
170,2190L,659,669
170,2190L,830,840
170,4808,455,472
170,4808,597,604
170,4808,727,757
170,4808,899,906
170,4808,986,998
170,4808,1079,1087
171,4808,398,472
171,4808,597,604
171,4808,727,734
171,4808,992,998
171,4808,1079,1087
171,2190L,659,669
171,2190L,789,800
171,2190L,922,929
171,2190L,1141,1235
172,4808,398,429
172,4808,597,604
172,4808,727,734
172,4808,859,866
172,4808,992,998
172,4808,1079,1087
172,2190L,532,539
172,2190L,659,669
172,2190L,789,800
172,2190L,922,929
172,2190L,1141,1185
173,2190L,341,408
173,2190L,699,709
173,2190L,1006,1025
173,4808,465,472
173,4808,637,644
173,4808,767,774
173,4808,940,947
173,4808,1124,1136
174,2190L,341,376
174,2190L,532,558
174,2190L,699,709
174,2190L,830,861
174,4808,465,472
174,4808,637,644
174,4808,767,774
174,4808,940,947
174,4808,1028,1047
174,4808,1124,1136
175,2190L,341,398
175,2190L,602,640
175,2190L,759,800
175,2190L,922,929
175,4808,455,462
175,4808,697,704
175,4808,992,998
175,4808,1079,1087
176,2190L,341,376
176,2190L,602,640
176,2190L,759,787
176,2190L,922,929
176,4808,455,462
176,4808,697,704
176,4808,859,866
176,4808,992,998
176,4808,1079,1087
177,2190L,341,408
177,2190L,699,709
177,2190L,1006,1020
177,2190L,1141,1235
177,4808,637,644
177,4808,767,774
177,4808,940,947
178,2190L,341,376
178,2190L,487,516
178,2190L,699,709
178,2190L,830,861
178,2190L,1006,1020
178,2190L,1141,1170
178,4808,637,644
178,4808,767,774
178,4808,940,947
178,4808,1080,1087
179,2190L,341,408
179,2190L,699,709
179,2190L,964,978
179,2190L,1102,1114
179,2190L,1189,1235
179,4808,465,472
179,4808,637,644
179,4808,767,774
179,4808,899,906
179,4808,1041,1047
180,2190L,341,376
180,2190L,532,558
180,2190L,699,709
180,2190L,830,840
180,2190L,964,978
180,2190L,1189,1225
180,4808,465,472
180,4808,637,644
180,4808,767,774
180,4808,899,906
180,4808,1041,1047
180,4808,1124,1136
181,2190L,341,408
181,2190L,602,640
181,2190L,1006,1071
181,4808,465,546
181,4808,697,704
181,4808,781,866
181,4808,944,947
182,2190L,341,376
182,2190L,602,622
182,2190L,1006,1041
182,4808,465,485
182,4808,697,704
182,4808,781,815
182,4808,944,947
183,4808,319,325
183,4808,455,462
183,4808,597,604
183,4808,727,734
183,4808,859,866
183,4808,992,998
183,2190L,376,398
183,2190L,522,539
183,2190L,659,669
183,2190L,789,800
183,2190L,922,929
183,2190L,1057,1071
184,2190L,387,408
184,2190L,532,580
184,2190L,699,709
184,2190L,830,840
184,2190L,964,978
184,4808,465,472
184,4808,637,644
184,4808,767,774
184,4808,899,906
184,4808,1041,1047
184,4808,1124,1136
185,2190L,387,408
185,2190L,532,559
185,2190L,699,709
185,2190L,830,840
185,2190L,964,978
185,4808,465,472
185,4808,637,644
185,4808,767,774
185,4808,899,906
185,4808,1041,1047
185,4808,1124,1136
186,4808,319,325
186,4808,455,472
186,4808,597,604
186,4808,727,734
186,4808,859,866
186,4808,944,947
186,4808,1080,1087
186,2190L,376,398
186,2190L,659,669
186,2190L,789,800
186,2190L,1006,1020
186,2190L,1141,1235
187,4808,319,325
187,4808,455,472
187,4808,597,604
187,4808,727,734
187,4808,859,866
187,4808,944,947
187,4808,1080,1087
187,2190L,376,398
187,2190L,532,539
187,2190L,659,669
187,2190L,789,800
187,2190L,1006,1020
187,2190L,1141,1182
188,4808,319,336
188,4808,455,462
188,4808,597,604
188,4808,727,734
188,4808,859,906
188,4808,1041,1047
188,2190L,522,539
188,2190L,659,669
188,2190L,789,800
188,2190L,964,978
189,4808,319,336
189,4808,455,462
189,4808,597,604
189,4808,727,734
189,4808,859,889
189,4808,1041,1047
189,2190L,387,398
189,2190L,522,539
189,2190L,659,669
189,2190L,789,800
189,2190L,964,978
190,4808,319,325
190,4808,398,411
190,4808,539,546
190,4808,624,644
190,4808,767,774
190,4808,852,866
190,4808,992,998
190,4808,1128,1136
190,2190L,469,480
190,2190L,699,709
190,2190L,922,929
190,2190L,1057,1071
190,2190L,1189,1235
191,4808,319,325
191,4808,398,411
191,4808,539,546
191,4808,624,644
191,4808,767,774
191,4808,852,866
191,4808,992,998
191,4808,1128,1136
191,2190L,469,480
191,2190L,699,709
191,2190L,922,929
191,2190L,1057,1071
191,2190L,1189,1224
192,4808,455,462
192,4808,597,604
192,4808,727,734
192,4808,859,866
192,4808,992,998
192,4808,1128,1136
192,2190L,522,539
192,2190L,659,669
192,2190L,789,800
192,2190L,922,929
192,2190L,1057,1071
192,2190L,1189,1235
193,2190L,387,398
193,2190L,522,539
193,2190L,659,669
193,2190L,789,800
193,2190L,922,929
193,2190L,1057,1071
193,2190L,1189,1222
193,4808,455,462
193,4808,597,604
193,4808,727,734
193,4808,859,866
193,4808,992,998
193,4808,1128,1136
194,4808,319,325
194,4808,455,462
194,4808,597,604
194,4808,727,734
194,4808,992,998
194,2190L,522,539
194,2190L,659,669
194,2190L,789,800
194,2190L,922,929
194,2190L,1057,1071
194,2190L,1150,1235
195,4808,319,325
195,4808,455,462
195,4808,597,604
195,4808,727,734
195,4808,859,866
195,4808,992,998
195,2190L,376,398
195,2190L,522,539
195,2190L,659,669
195,2190L,789,800
195,2190L,922,929
195,2190L,1057,1071
195,2190L,1150,1189
196,2190L,376,398
196,2190L,659,669
196,2190L,789,800
196,2190L,881,929
196,2190L,1057,1071
196,4808,455,462
196,4808,597,604
196,4808,727,734
196,4808,992,998
197,2190L,376,398
197,2190L,522,539
197,2190L,659,669
197,2190L,789,800
197,2190L,881,919
197,2190L,1057,1071
197,4808,455,462
197,4808,597,604
197,4808,727,734
197,4808,992,998
198,2190L,469,480
198,2190L,602,640
198,2190L,759,840
198,2190L,964,978
198,2190L,1102,1114
198,2190L,1189,1235
198,4808,539,546
198,4808,697,704
198,4808,899,906
198,4808,1041,1047
199,2190L,469,480
199,2190L,602,640
199,2190L,759,785
199,2190L,964,978
199,2190L,1189,1223
199,4808,539,546
199,4808,697,704
199,4808,899,906
199,4808,1041,1047
199,4808,1124,1136
200,2190L,469,480
200,2190L,699,709
200,2190L,830,840
200,2190L,1006,1020
200,4808,539,546
200,4808,624,644
200,4808,767,774
200,4808,899,947
200,4808,1080,1087
201,2190L,469,480
201,2190L,699,709
201,2190L,830,840
201,2190L,1006,1020
201,4808,539,546
201,4808,624,644
201,4808,767,774
201,4808,899,930
201,4808,1080,1087
202,4808,465,472
202,4808,637,704
202,4808,940,947
202,4808,1080,1087
202,2190L,532,580
202,2190L,759,878
202,2190L,1006,1020
203,4808,465,472
203,4808,637,657
203,4808,940,947
203,4808,1080,1087
203,2190L,532,562
203,2190L,759,779
203,2190L,1006,1020
204,4808,319,336
204,4808,465,472
204,4808,767,774
204,4808,992,998
204,2190L,699,709
204,2190L,830,844
204,2190L,922,929
204,2190L,1057,1071
205,4808,319,336
205,4808,465,472
205,4808,637,644
205,4808,767,774
205,4808,852,866
205,4808,992,998
205,2190L,387,408
205,2190L,532,559
205,2190L,699,709
205,2190L,922,929
205,2190L,1057,1071
206,2190L,376,398
206,2190L,699,709
206,2190L,922,978
206,4808,455,462
206,4808,767,774
206,4808,852,866
206,4808,1041,1047
207,2190L,376,398
207,2190L,522,548
207,2190L,699,709
207,2190L,922,955
207,4808,455,462
207,4808,637,644
207,4808,767,774
207,4808,852,866
207,4808,1041,1047
208,4808,319,386
208,4808,597,604
208,4808,727,734
208,4808,1041,1047
208,4808,1124,1136
208,2190L,659,669
208,2190L,789,800
208,2190L,964,978
209,2190L,341,376
209,2190L,532,539
209,2190L,659,669
209,2190L,789,800
209,2190L,964,978
209,4808,465,472
209,4808,597,604
209,4808,727,734
209,4808,859,890
209,4808,1041,1047
209,4808,1124,1136
210,2190L,376,408
210,2190L,659,669
210,2190L,789,878
210,2190L,1006,1020
210,2190L,1141,1235
210,4808,597,604
210,4808,727,734
210,4808,940,947
