schedule_id,pair_id,arm,original_duty,source_index,from_visit,to_visit,event_index,kind,source_trip_id,internal_trip_id,from_code,to_code,start_min,end_min,duration_min,energy_consumed_kwh
duty_13401_original,duty_13401,original,13401,,24,25,38,service,144,52,2190,4808,1020.0,1080.0,60.0,41.7299995
duty_13401_original,duty_13401,original,13401,,25,26,40,service,157,57,4808,2190,1087.0,1141.0,54.0,42.5
duty_13401_original,duty_13401,original,13401,,26,27,41,deadhead,,,2190,PARX,1141.0,1160.0,19.0,28.0
duty_13401_fee0,duty_13401,fee0,13401,3,0,1,0,deadhead,,,PARX,4808,339.0,346.0,7.0,7.8
duty_13401_fee0,duty_13401,fee0,13401,3,1,2,1,service,10,5,4808,2190,346.0,398.0,52.0,42.5
duty_13401_fee0,duty_13401,fee0,13401,3,2,3,2,deadhead,,,2190,2190L,398.0,398.0,0.0,0.0
duty_13401_fee0,duty_13401,fee0,13401,3,3,4,5,deadhead,,,2190L,2190,449.0,449.0,0.0,0.0
duty_13401_fee0,duty_13401,fee0,13401,3,4,5,6,service,30,11,2190,4808,449.0,509.0,60.0,41.7299995
duty_13401_fee0,duty_13401,fee0,13401,3,5,6,10,service,43,16,4808,2190,516.0,573.0,57.0,42.5
duty_13401_fee0,duty_13401,fee0,13401,3,6,7,11,deadhead,,,2190,2190L,573.0,573.0,0.0,0.0
duty_13401_fee0,duty_13401,fee0,13401,3,7,8,13,deadhead,,,2190L,2190,580.0,580.0,0.0,0.0
duty_13401_fee0,duty_13401,fee0,13401,3,8,9,14,service,56,20,2190,4808,580.0,637.0,57.0,41.7299995
duty_13401_fee0,duty_13401,fee0,13401,3,9,10,18,service,69,25,4808,2190,644.0,699.0,55.0,42.5
duty_13401_fee0,duty_13401,fee0,13401,3,10,11,19,deadhead,,,2190,2190L,699.0,699.0,0.0,0.0
duty_13401_fee0,duty_13401,fee0,13401,3,11,12,22,deadhead,,,2190L,2190,709.0,709.0,0.0,0.0
duty_13401_fee0,duty_13401,fee0,13401,3,12,13,23,service,82,30,2190,4808,709.0,767.0,58.0,41.7299995
duty_13401_fee0,duty_13401,fee0,13401,3,13,14,27,service,95,34,4808,2190,774.0,830.0,56.0,42.5
duty_13401_fee0,duty_13401,fee0,13401,3,14,15,28,deadhead,,,2190,2190L,830.0,830.0,0.0,0.0
duty_13401_fee0,duty_13401,fee0,13401,3,15,16,31,deadhead,,,2190L,2190,840.0,840.0,0.0,0.0
duty_13401_fee0,duty_13401,fee0,13401,3,16,17,32,service,108,38,2190,4808,840.0,899.0,59.0,41.7299995
duty_13401_fee0,duty_13401,fee0,13401,3,17,18,37,service,121,43,4808,2190,906.0,964.0,58.0,42.5
duty_13401_fee0,duty_13401,fee0,13401,3,18,19,38,deadhead,,,2190,2190L,964.0,964.0,0.0,0.0
duty_13401_fee0,duty_13401,fee0,13401,3,19,20,41,deadhead,,,2190L,2190,978.0,978.0,0.0,0.0
duty_13401_fee0,duty_13401,fee0,13401,3,20,21,42,service,135,48,2190,4808,978.0,1041.0,63.0,41.7299995
duty_13401_fee0,duty_13401,fee0,13401,3,21,22,46,service,149,53,4808,2190,1047.0,1102.0,55.0,42.5
duty_13401_fee0,duty_13401,fee0,13401,3,22,23,47,deadhead,,,2190,2190L,1102.0,1102.0,0.0,0.0
duty_13401_fee0,duty_13401,fee0,13401,3,23,24,51,deadhead,,,2190L,2190,1235.0,1235.0,0.0,0.0
duty_13401_fee0,duty_13401,fee0,13401,3,24,25,52,service,178,60,2190,4808,1235.0,1290.0,55.0,41.7299995
duty_13401_fee0,duty_13401,fee0,13401,3,25,26,53,deadhead,,,4808,PARX,1290.0,1297.0,7.0,7.8
duty_13401_fee5,duty_13401,fee5,13401,1,0,1,0,deadhead,,,PARX,2190,288.0,307.0,19.0,28.0
duty_13401_fee5,duty_13401,fee5,13401,1,1,2,1,service,4,2,2190,4808,307.0,359.0,52.0,41.7299995
duty_13401_fee5,duty_13401,fee5,13401,1,2,3,5,service,13,6,4808,2190,366.0,419.0,53.0,42.5
duty_13401_fee5,duty_13401,fee5,13401,1,3,4,6,deadhead,,,2190,2190L,419.0,419.0,0.0,0.0
duty_13401_fee5,duty_13401,fee5,13401,1,4,5,10,deadhead,,,2190L,2190,449.0,449.0,0.0,0.0
duty_13401_fee5,duty_13401,fee5,13401,1,5,6,11,service,30,11,2190,4808,449.0,509.0,60.0,41.7299995
duty_13401_fee5,duty_13401,fee5,13401,1,6,7,15,service,43,16,4808,2190,516.0,573.0,57.0,42.5
duty_13401_fee5,duty_13401,fee5,13401,1,7,8,16,deadhead,,,2190,2190L,573.0,573.0,0.0,0.0
duty_13401_fee5,duty_13401,fee5,13401,1,8,9,18,deadhead,,,2190L,2190,610.0,610.0,0.0,0.0
duty_13401_fee5,duty_13401,fee5,13401,1,9,10,19,service,62,22,2190,4808,610.0,667.0,57.0,41.7299995
duty_13401_fee5,duty_13401,fee5,13401,1,10,11,23,service,75,27,4808,2190,674.0,729.0,55.0,42.5
duty_13401_fee5,duty_13401,fee5,13401,1,11,12,24,deadhead,,,2190,2190L,729.0,729.0,0.0,0.0
duty_13401_fee5,duty_13401,fee5,13401,1,12,13,27,deadhead,,,2190L,2190,739.0,739.0,0.0,0.0
duty_13401_fee5,duty_13401,fee5,13401,1,13,14,28,service,88,32,2190,4808,739.0,797.0,58.0,41.7299995
duty_13401_fee5,duty_13401,fee5,13401,1,14,15,32,service,101,36,4808,2190,804.0,860.0,56.0,42.5
duty_13401_fee5,duty_13401,fee5,13401,1,15,16,33,deadhead,,,2190,2190L,860.0,860.0,0.0,0.0
duty_13401_fee5,duty_13401,fee5,13401,1,16,17,35,deadhead,,,2190L,2190,878.0,878.0,0.0,0.0
duty_13401_fee5,duty_13401,fee5,13401,1,17,18,36,service,116,41,2190,4808,878.0,940.0,62.0,41.7299995
duty_13401_fee5,duty_13401,fee5,13401,1,18,19,40,service,129,46,4808,2190,947.0,1006.0,59.0,42.5
duty_13401_fee5,duty_13401,fee5,13401,1,19,20,41,deadhead,,,2190,2190L,1006.0,1006.0,0.0,0.0
duty_13401_fee5,duty_13401,fee5,13401,1,20,21,44,deadhead,,,2190L,2190,1020.0,1020.0,0.0,0.0
duty_13401_fee5,duty_13401,fee5,13401,1,21,22,45,service,144,52,2190,4808,1020.0,1080.0,60.0,41.7299995
duty_13401_fee5,duty_13401,fee5,13401,1,22,23,49,service,157,57,4808,2190,1087.0,1141.0,54.0,42.5
duty_13401_fee5,duty_13401,fee5,13401,1,23,24,50,deadhead,,,2190,PARX,1141.0,1160.0,19.0,28.0
duty_13403_original,duty_13403,original,13403,,0,1,1,deadhead,,,PARX,2190,268.0,287.0,19.0,28.0
duty_13403_original,duty_13403,original,13403,,1,2,2,service,2,1,2190,4808,287.0,339.0,52.0,41.7299995
duty_13403_original,duty_13403,original,13403,,2,3,4,service,10,5,4808,2190,346.0,398.0,52.0,42.5
duty_13403_original,duty_13403,original,13403,,3,4,5,deadhead,,,2190,ET_R,398.0,399.0,1.0,0.200000003
duty_13403_original,duty_13403,original,13403,,4,5,7,deadhead,,,ET_R,2190L,439.0,440.0,1.0,0.200000003
duty_13403_original,duty_13403,original,13403,,5,6,9,deadhead,,,2190L,2190,449.0,449.0,0.0,0.0
duty_13403_original,duty_13403,original,13403,,6,7,10,service,30,11,2190,4808,449.0,509.0,60.0,41.7299995
duty_13403_original,duty_13403,original,13403,,7,8,12,service,43,16,4808,2190,516.0,573.0,57.0,42.5
duty_13403_original,duty_13403,original,13403,,8,9,13,deadhead,,,2190,ET_R,573.0,574.0,1.0,0.200000003
duty_13403_original,duty_13403,original,13403,,9,10,15,deadhead,,,ET_R,2190L,604.0,605.0,1.0,0.200000003
duty_13403_original,duty_13403,original,13403,,10,11,17,deadhead,,,2190L,2190,610.0,610.0,0.0,0.0
duty_13403_original,duty_13403,original,13403,,11,12,18,service,62,22,2190,4808,610.0,667.0,57.0,41.7299995
duty_13403_original,duty_13403,original,13403,,12,13,20,service,75,27,4808,2190,674.0,729.0,55.0,42.5
duty_13403_original,duty_13403,original,13403,,13,14,21,deadhead,,,2190,2190L,729.0,730.0,1.0,0.400000006
duty_13403_original,duty_13403,original,13403,,14,15,23,deadhead,,,2190L,2190,739.0,739.0,0.0,0.0
duty_13403_original,duty_13403,original,13403,,15,16,24,service,88,32,2190,4808,739.0,797.0,58.0,41.7299995
duty_13403_original,duty_13403,original,13403,,16,17,26,service,101,36,4808,2190,804.0,860.0,56.0,42.5
duty_13403_original,duty_13403,original,13403,,17,18,27,deadhead,,,2190,2190L,860.0,861.0,1.0,0.400000006
duty_13403_original,duty_13403,original,13403,,18,19,29,deadhead,,,2190L,2190,868.0,868.0,0.0,0.0
duty_13403_original,duty_13403,original,13403,,19,20,30,service,114,40,2190,4808,868.0,930.0,62.0,41.7299995
duty_13403_original,duty_13403,original,13403,,20,21,32,service,127,45,4808,2190,937.0,996.0,59.0,42.5
duty_13403_original,duty_13403,original,13403,,21,22,34,deadhead,,,2190,2190L,998.0,999.0,1.0,0.400000006
duty_13403_original,duty_13403,original,13403,,22,23,36,deadhead,,,2190L,2190,1009.0,1009.0,0.0,0.0
duty_13403_original,duty_13403,original,13403,,23,24,37,service,142,50,2190,4808,1009.0,1070.0,61.0,41.7299995
duty_13403_original,duty_13403,original,13403,,24,25,39,service,155,55,4808,2190,1077.0,1131.0,54.0,42.5
duty_13403_original,duty_13403,original,13403,,25,26,40,deadhead,,,2190,ET_R,1131.0,1132.0,1.0,0.200000003
duty_13403_original,duty_13403,original,13403,,26,27,42,deadhead,,,ET_R,2190,1173.0,1174.0,1.0,0.200000003
duty_13403_original,duty_13403,original,13403,,27,28,43,service,170,59,2190,4808,1174.0,1230.0,56.0,41.7299995
duty_13403_original,duty_13403,original,13403,,28,29,45,service,179,61,4808,2190,1242.0,1294.0,52.0,42.5
duty_13403_original,duty_13403,original,13403,,29,30,46,deadhead,,,2190,PARX,1294.0,1313.0,19.0,28.0
duty_13403_fee0,duty_13403,fee0,13403,0,0,1,0,deadhead,,,PARX,2190,268.0,287.0,19.0,28.0
duty_13403_fee0,duty_13403,fee0,13403,0,1,2,1,service,2,1,2190,4808,287.0,339.0,52.0,41.7299995
duty_13403_fee0,duty_13403,fee0,13403,0,2,3,6,service,23,9,4808,2190,411.0,469.0,58.0,42.5
duty_13403_fee0,duty_13403,fee0,13403,0,3,4,7,deadhead,,,2190,2190L,469.0,469.0,0.0,0.0
duty_13403_fee0,duty_13403,fee0,13403,0,4,5,9,deadhead,,,2190L,2190,480.0,480.0,0.0,0.0
duty_13403_fee0,duty_13403,fee0,13403,0,5,6,10,service,36,14,2190,4808,480.0,539.0,59.0,41.7299995
duty_13403_fee0,duty_13403,fee0,13403,0,6,7,14,service,49,18,4808,2190,546.0,602.0,56.0,42.5
duty_13403_fee0,duty_13403,fee0,13403,0,7,8,15,deadhead,,,2190,2190L,602.0,602.0,0.0,0.0
duty_13403_fee0,duty_13403,fee0,13403,0,8,9,17,deadhead,,,2190L,2190,610.0,610.0,0.0,0.0
duty_13403_fee0,duty_13403,fee0,13403,0,9,10,18,service,62,22,2190,4808,610.0,667.0,57.0,41.7299995
duty_13403_fee0,duty_13403,fee0,13403,0,10,11,23,service,75,27,4808,2190,674.0,729.0,55.0,42.5
duty_13403_fee0,duty_13403,fee0,13403,0,11,12,24,deadhead,,,2190,2190L,729.0,729.0,0.0,0.0
duty_13403_fee0,duty_13403,fee0,13403,0,12,13,27,deadhead,,,2190L,2190,739.0,739.0,0.0,0.0
duty_13403_fee0,duty_13403,fee0,13403,0,13,14,28,service,88,32,2190,4808,739.0,797.0,58.0,41.7299995
duty_13403_fee0,duty_13403,fee0,13403,0,14,15,32,service,101,36,4808,2190,804.0,860.0,56.0,42.5
duty_13403_fee0,duty_13403,fee0,13403,0,15,16,33,deadhead,,,2190,2190L,860.0,860.0,0.0,0.0
duty_13403_fee0,duty_13403,fee0,13403,0,16,17,36,deadhead,,,2190L,2190,868.0,868.0,0.0,0.0
duty_13403_fee0,duty_13403,fee0,13403,0,17,18,37,service,114,40,2190,4808,868.0,930.0,62.0,41.7299995
duty_13403_fee0,duty_13403,fee0,13403,0,18,19,41,service,127,45,4808,2190,937.0,996.0,59.0,42.5
duty_13403_fee0,duty_13403,fee0,13403,0,19,20,42,deadhead,,,2190,2190L,996.0,996.0,0.0,0.0
duty_13403_fee0,duty_13403,fee0,13403,0,20,21,45,deadhead,,,2190L,2190,1020.0,1020.0,0.0,0.0
duty_13403_fee0,duty_13403,fee0,13403,0,21,22,46,service,144,52,2190,4808,1020.0,1080.0,60.0,41.7299995
duty_13403_fee0,duty_13403,fee0,13403,0,22,23,50,service,157,57,4808,2190,1087.0,1141.0,54.0,42.5
duty_13403_fee0,duty_13403,fee0,13403,0,23,24,51,deadhead,,,2190,PARX,1141.0,1160.0,19.0,28.0
duty_13403_fee5,duty_13403,fee5,13403,3,0,1,0,deadhead,,,PARX,2190,268.0,287.0,19.0,28.0
duty_13403_fee5,duty_13403,fee5,13403,3,1,2,1,service,2,1,2190,4808,287.0,339.0,52.0,41.7299995
duty_13403_fee5,duty_13403,fee5,13403,3,2,3,5,service,10,5,4808,2190,346.0,398.0,52.0,42.5
duty_13403_fee5,duty_13403,fee5,13403,3,3,4,6,deadhead,,,2190,2190L,398.0,398.0,0.0,0.0
duty_13403_fee5,duty_13403,fee5,13403,3,4,5,8,deadhead,,,2190L,2190,429.0,429.0,0.0,0.0
duty_13403_fee5,duty_13403,fee5,13403,3,5,6,9,service,26,10,2190,4808,429.0,488.0,59.0,41.7299995
duty_13403_fee5,duty_13403,fee5,13403,3,6,7,13,service,39,15,4808,2190,495.0,554.0,59.0,42.5
duty_13403_fee5,duty_13403,fee5,13403,3,7,8,14,deadhead,,,2190,2190L,554.0,554.0,0.0,0.0
duty_13403_fee5,duty_13403,fee5,13403,3,8,9,17,deadhead,,,2190L,2190,580.0,580.0,0.0,0.0
duty_13403_fee5,duty_13403,fee5,13403,3,9,10,18,service,56,20,2190,4808,580.0,637.0,57.0,41.7299995
duty_13403_fee5,duty_13403,fee5,13403,3,10,11,22,service,69,25,4808,2190,644.0,699.0,55.0,42.5
duty_13403_fee5,duty_13403,fee5,13403,3,11,12,23,deadhead,,,2190,2190L,699.0,699.0,0.0,0.0
duty_13403_fee5,duty_13403,fee5,13403,3,12,13,25,deadhead,,,2190L,2190,709.0,709.0,0.0,0.0
duty_13403_fee5,duty_13403,fee5,13403,3,13,14,26,service,82,30,2190,4808,709.0,767.0,58.0,41.7299995
duty_13403_fee5,duty_13403,fee5,13403,3,14,15,30,service,95,34,4808,2190,774.0,830.0,56.0,42.5
duty_13403_fee5,duty_13403,fee5,13403,3,15,16,31,deadhead,,,2190,2190L,830.0,830.0,0.0,0.0
duty_13403_fee5,duty_13403,fee5,13403,3,16,17,35,deadhead,,,2190L,2190,868.0,868.0,0.0,0.0
duty_13403_fee5,duty_13403,fee5,13403,3,17,18,36,service,114,40,2190,4808,868.0,930.0,62.0,41.7299995
duty_13403_fee5,duty_13403,fee5,13403,3,18,19,40,service,127,45,4808,2190,937.0,996.0,59.0,42.5
duty_13403_fee5,duty_13403,fee5,13403,3,19,20,41,deadhead,,,2190,2190L,996.0,996.0,0.0,0.0
duty_13403_fee5,duty_13403,fee5,13403,3,20,21,44,deadhead,,,2190L,2190,1009.0,1009.0,0.0,0.0
duty_13403_fee5,duty_13403,fee5,13403,3,21,22,45,service,142,50,2190,4808,1009.0,1070.0,61.0,41.7299995
duty_13403_fee5,duty_13403,fee5,13403,3,22,23,49,service,155,55,4808,2190,1077.0,1131.0,54.0,42.5
duty_13403_fee5,duty_13403,fee5,13403,3,23,24,50,deadhead,,,2190,PARX,1131.0,1150.0,19.0,28.0
duty_13405_original,duty_13405,original,13405,,0,1,1,deadhead,,,PARX,2190,288.0,307.0,19.0,28.0
duty_13405_original,duty_13405,original,13405,,1,2,2,service,4,2,2190,4808,307.0,359.0,52.0,41.7299995
duty_13405_original,duty_13405,original,13405,,2,3,4,service,13,6,4808,2190,366.0,419.0,53.0,42.5
duty_13405_original,duty_13405,original,13405,,3,4,5,deadhead,,,2190,2190L,419.0,420.0,1.0,0.400000006
duty_13405_original,duty_13405,original,13405,,4,5,7,deadhead,,,2190L,2190,429.0,429.0,0.0,0.0
duty_13405_original,duty_13405,original,13405,,5,6,8,service,26,10,2190,4808,429.0,488.0,59.0,41.7299995
duty_13405_original,duty_13405,original,13405,,6,7,10,service,39,15,4808,2190,495.0,554.0,59.0,42.5
duty_13405_original,duty_13405,original,13405,,7,8,11,deadhead,,,2190,2190L,554.0,555.0,1.0,0.400000006
duty_13405_original,duty_13405,original,13405,,8,9,13,deadhead,,,2190L,2190,560.0,560.0,0.0,0.0
duty_13405_original,duty_13405,original,13405,,9,10,14,service,52,19,2190,4808,560.0,617.0,57.0,41.7299995
duty_13405_original,duty_13405,original,13405,,10,11,16,service,65,23,4808,2190,624.0,679.0,55.0,42.5
duty_13405_original,duty_13405,original,13405,,11,12,17,deadhead,,,2190,2190L,679.0,680.0,1.0,0.400000006
duty_13405_original,duty_13405,original,13405,,12,13,19,deadhead,,,2190L,2190,689.0,689.0,0.0,0.0
duty_13405_original,duty_13405,original,13405,,13,14,20,service,78,28,2190,4808,689.0,747.0,58.0,41.7299995
duty_13405_original,duty_13405,original,13405,,14,15,22,service,91,33,4808,2190,754.0,810.0,56.0,42.5
duty_13405_original,duty_13405,original,13405,,15,16,23,deadhead,,,2190,2190L,810.0,811.0,1.0,0.400000006
duty_13405_original,duty_13405,original,13405,,16,17,25,deadhead,,,2190L,2190,820.0,820.0,0.0,0.0
duty_13405_original,duty_13405,original,13405,,17,18,26,service,104,37,2190,4808,820.0,879.0,59.0,41.7299995
duty_13405_original,duty_13405,original,13405,,18,19,28,service,117,42,4808,2190,886.0,943.0,57.0,42.5
duty_13405_original,duty_13405,original,13405,,19,20,29,deadhead,,,2190,2190L,943.0,944.0,1.0,0.400000006
duty_13405_original,duty_13405,original,13405,,20,21,31,deadhead,,,2190L,2190,948.0,948.0,0.0,0.0
duty_13405_original,duty_13405,original,13405,,21,22,32,service,130,47,2190,4808,948.0,1011.0,63.0,41.7299995
duty_13405_original,duty_13405,original,13405,,22,23,34,service,143,51,4808,2190,1018.0,1075.0,57.0,42.5
duty_13405_original,duty_13405,original,13405,,23,24,35,deadhead,,,2190,2190L,1075.0,1076.0,1.0,0.400000006
duty_13405_original,duty_13405,original,13405,,24,25,37,deadhead,,,2190L,2190,1082.0,1082.0,0.0,0.0
duty_13405_original,duty_13405,original,13405,,25,26,38,service,156,56,2190,4808,1082.0,1139.0,57.0,41.7299995
duty_13405_original,duty_13405,original,13405,,26,27,39,deadhead,,,4808,PARX,1139.0,1146.0,7.0,7.80000019
duty_13405_fee0,duty_13405,fee0,13405,2,0,1,0,deadhead,,,PARX,2190,288.0,307.0,19.0,28.0
duty_13405_fee0,duty_13405,fee0,13405,2,1,2,1,service,4,2,2190,4808,307.0,359.0,52.0,41.7299995
duty_13405_fee0,duty_13405,fee0,13405,2,2,3,6,service,13,6,4808,2190,366.0,419.0,53.0,42.5
duty_13405_fee0,duty_13405,fee0,13405,2,3,4,7,deadhead,,,2190,2190L,419.0,419.0,0.0,0.0
duty_13405_fee0,duty_13405,fee0,13405,2,4,5,9,deadhead,,,2190L,2190,429.0,429.0,0.0,0.0
duty_13405_fee0,duty_13405,fee0,13405,2,5,6,10,service,26,10,2190,4808,429.0,488.0,59.0,41.7299995
duty_13405_fee0,duty_13405,fee0,13405,2,6,7,14,service,39,15,4808,2190,495.0,554.0,59.0,42.5
duty_13405_fee0,duty_13405,fee0,13405,2,7,8,15,deadhead,,,2190,2190L,554.0,554.0,0.0,0.0
duty_13405_fee0,duty_13405,fee0,13405,2,8,9,19,deadhead,,,2190L,2190,640.0,640.0,0.0,0.0
duty_13405_fee0,duty_13405,fee0,13405,2,9,10,20,service,68,24,2190,4808,640.0,697.0,57.0,41.7299995
duty_13405_fee0,duty_13405,fee0,13405,2,10,11,24,service,81,29,4808,2190,704.0,759.0,55.0,42.5
duty_13405_fee0,duty_13405,fee0,13405,2,11,12,25,deadhead,,,2190,2190L,759.0,759.0,0.0,0.0
duty_13405_fee0,duty_13405,fee0,13405,2,12,13,29,deadhead,,,2190L,2190,820.0,820.0,0.0,0.0
duty_13405_fee0,duty_13405,fee0,13405,2,13,14,30,service,104,37,2190,4808,820.0,879.0,59.0,41.7299995
duty_13405_fee0,duty_13405,fee0,13405,2,14,15,34,service,117,42,4808,2190,886.0,943.0,57.0,42.5
duty_13405_fee0,duty_13405,fee0,13405,2,15,16,35,deadhead,,,2190,2190L,943.0,943.0,0.0,0.0
duty_13405_fee0,duty_13405,fee0,13405,2,16,17,37,deadhead,,,2190L,2190,948.0,948.0,0.0,0.0
duty_13405_fee0,duty_13405,fee0,13405,2,17,18,38,service,130,47,2190,4808,948.0,1011.0,63.0,41.7299995
duty_13405_fee0,duty_13405,fee0,13405,2,18,19,42,service,143,51,4808,2190,1018.0,1075.0,57.0,42.5
duty_13405_fee0,duty_13405,fee0,13405,2,19,20,43,deadhead,,,2190,2190L,1075.0,1075.0,0.0,0.0
duty_13405_fee0,duty_13405,fee0,13405,2,20,21,46,deadhead,,,2190L,2190,1082.0,1082.0,0.0,0.0
duty_13405_fee0,duty_13405,fee0,13405,2,21,22,47,service,156,56,2190,4808,1082.0,1139.0,57.0,41.7299995
duty_13405_fee0,duty_13405,fee0,13405,2,22,23,53,service,179,61,4808,2190,1242.0,1294.0,52.0,42.5
duty_13405_fee0,duty_13405,fee0,13405,2,23,24,54,deadhead,,,2190,PARX,1294.0,1313.0,19.0,28.0
duty_13405_fee5,duty_13405,fee5,13405,2,0,1,0,deadhead,,,PARX,2190,248.0,267.0,19.0,28.0
duty_13405_fee5,duty_13405,fee5,13405,2,1,2,1,service,0,0,2190,4808,267.0,319.0,52.0,41.7299995
duty_13405_fee5,duty_13405,fee5,13405,2,2,3,5,service,8,4,4808,2190,336.0,387.0,51.0,42.5
duty_13405_fee5,duty_13405,fee5,13405,2,3,4,6,deadhead,,,2190,2190L,387.0,387.0,0.0,0.0
duty_13405_fee5,duty_13405,fee5,13405,2,4,5,9,deadhead,,,2190L,2190,408.0,408.0,0.0,0.0
duty_13405_fee5,duty_13405,fee5,13405,2,5,6,10,service,22,8,2190,4808,408.0,465.0,57.0,41.7299995
duty_13405_fee5,duty_13405,fee5,13405,2,6,7,14,service,35,13,4808,2190,472.0,532.0,60.0,42.5
duty_13405_fee5,duty_13405,fee5,13405,2,7,8,15,deadhead,,,2190,2190L,532.0,532.0,0.0,0.0
duty_13405_fee5,duty_13405,fee5,13405,2,8,9,17,deadhead,,,2190L,2190,560.0,560.0,0.0,0.0
duty_13405_fee5,duty_13405,fee5,13405,2,9,10,18,service,52,19,2190,4808,560.0,617.0,57.0,41.7299995
duty_13405_fee5,duty_13405,fee5,13405,2,10,11,22,service,65,23,4808,2190,624.0,679.0,55.0,42.5
duty_13405_fee5,duty_13405,fee5,13405,2,11,12,23,deadhead,,,2190,2190L,679.0,679.0,0.0,0.0
duty_13405_fee5,duty_13405,fee5,13405,2,12,13,26,deadhead,,,2190L,2190,689.0,689.0,0.0,0.0
duty_13405_fee5,duty_13405,fee5,13405,2,13,14,27,service,78,28,2190,4808,689.0,747.0,58.0,41.7299995
duty_13405_fee5,duty_13405,fee5,13405,2,14,15,31,service,91,33,4808,2190,754.0,810.0,56.0,42.5
duty_13405_fee5,duty_13405,fee5,13405,2,15,16,32,deadhead,,,2190,2190L,810.0,810.0,0.0,0.0
duty_13405_fee5,duty_13405,fee5,13405,2,16,17,36,deadhead,,,2190L,2190,840.0,840.0,0.0,0.0
duty_13405_fee5,duty_13405,fee5,13405,2,17,18,37,service,108,38,2190,4808,840.0,899.0,59.0,41.7299995
duty_13405_fee5,duty_13405,fee5,13405,2,18,19,41,service,121,43,4808,2190,906.0,964.0,58.0,42.5
duty_13405_fee5,duty_13405,fee5,13405,2,19,20,42,deadhead,,,2190,2190L,964.0,964.0,0.0,0.0
duty_13405_fee5,duty_13405,fee5,13405,2,20,21,44,deadhead,,,2190L,2190,978.0,978.0,0.0,0.0
duty_13405_fee5,duty_13405,fee5,13405,2,21,22,45,service,135,48,2190,4808,978.0,1041.0,63.0,41.7299995
duty_13405_fee5,duty_13405,fee5,13405,2,22,23,49,service,149,53,4808,2190,1047.0,1102.0,55.0,42.5
duty_13405_fee5,duty_13405,fee5,13405,2,23,24,50,deadhead,,,2190,2190L,1102.0,1102.0,0.0,0.0
duty_13405_fee5,duty_13405,fee5,13405,2,24,25,54,deadhead,,,2190L,2190,1174.0,1174.0,0.0,0.0
duty_13405_fee5,duty_13405,fee5,13405,2,25,26,55,service,170,59,2190,4808,1174.0,1230.0,56.0,41.7299995
