case_id,chain,target_buses,trip_count,fractional_route_weight,cg_pricing_certificate,input_sha256,cohort,18E1_giro_duties,18E1_service_overlap,18E1_direct_minimum,18E1_direct_edges,18E1_closure_relaxation_minimum,18E1_closure_relaxation_edges,18E2_giro_duties,18E2_service_overlap,18E2_direct_minimum,18E2_direct_edges,18E2_closure_relaxation_minimum,18E2_closure_relaxation_edges,mixed_giro_duties,mixed_service_overlap,mixed_direct_minimum,mixed_direct_edges,mixed_closure_relaxation_minimum,mixed_closure_relaxation_edges,segregated_closure_lp_fleet_lower_bound,segregated_direct_minimum,group_separation_closure_premium,segregated_closure_excludes_k_minus_1,mixed_recorded_lp_weight_minus_time_lower_bound
w1_k26,1,26,623,26.000000000000245,False,ea3b55b160606ebb9c88d0a54cb5193ecdf5df85541c81df12c6b73d452da5e6,k,9,9,9,7495,9,7495,17,16,17,109320,17,115656,26,24,26,116815,26,180681,26,26,0,True,2.4513724383723456e-13
w2_k26,2,26,594,25.99999999999986,False,00f7fb119057feb069e97f988529858dfff859ac6118350e29337c888c29ca12,k,10,10,10,9574,10,9574,16,16,16,88920,16,95142,26,25,26,98494,26,163808,26,26,0,True,-1.3855583347321954e-13
w3_k26,3,26,564,25.99999999999945,True,9a3d4e5ab589cec5aa5ee0d1e4258dcbf4fb09b7f90938b4315824fbe068d7d5,k,11,11,11,11331,11,11331,15,14,15,70692,15,77500,26,23,26,82023,26,146808,26,26,0,True,-5.506706202140776e-13
w4_k26,4,26,638,25.999999999999773,False,b2f05813485fee555239a1780836067d28dffdeb0842ad9cd97247372b0636a0,k,9,9,9,7729,9,7729,17,16,17,114484,17,121866,26,25,26,122213,26,189614,26,26,0,True,-2.2737367544323206e-13
w5_k26,5,26,636,25.999999999999723,False,e203ab1c1eab871ec2f993133ad37e6945403fb4957023600a4a6352f7c16b7c,k,9,9,9,7845,9,7845,17,16,17,110718,17,120445,26,25,26,118563,26,188338,26,26,0,True,-2.7711166694643907e-13
w6_k26,6,26,594,25.99999999999989,True,7a2f08dc6873a74370bb306bd3713af3e9ced775ab779944592afd2e60df5a10,k,10,10,10,8919,10,8919,16,15,16,89842,16,96945,26,24,26,98761,26,163183,26,26,0,True,-1.1013412404281553e-13
w1_k27,1,27,637,26.99999999999997,False,ad06cdf81807937e064ac7f99448bfa874432cf7a2a7250e6f6b1b09768ee28e,k,10,10,10,9167,10,9167,17,16,17,109320,17,115656,27,25,27,118487,27,188512,27,27,0,True,-2.842170943040401e-14
w2_k27,2,27,627,26.99999999999987,False,c3e53be263de3915de7c864ad4961807256e4a0a3e5ac926f34ca91189408004,k,10,10,10,9574,10,9574,17,16,17,102244,17,109664,27,25,27,111818,27,182702,27,27,0,True,-1.3145040611561853e-13
w3_k27,3,27,580,26.99999999999958,True,f6fe7b6973fc8579def0ffcc4043328a10dbe4033173b25fd168ea385606933d,k,11,11,11,11331,11,11331,16,15,16,76128,16,83658,27,24,27,87459,27,155225,27,27,0,True,-4.192202140984591e-13
w4_k27,4,27,655,26.999999999999908,False,694a33decc4ec2971e74b378e0c4029ac9b045a1ebf679289e4bc1240fe1575c,k,9,9,9,7729,9,7729,18,17,18,122212,18,130114,27,26,27,129941,27,199826,27,27,0,True,-9.237055564881302e-14
w5_k27,5,27,660,25.999999999999716,False,ea4502bdefab34329033715cec9d116d86e5857c81f27291194e3a86722e28e9,k_minus_1,9,9,9,7845,9,7845,18,16,18,121690,18,132175,27,25,27,129535,26,202892,27,27,1,True,-2.8421709430404007e-13
w6_k27,6,27,636,26.999999999999925,False,8c3ab2bd5820101f62dd196365fb09824437e3d6726b872a3adb3ac5ce8f7e79,k,10,10,10,8919,10,8919,17,15,17,108214,17,115921,27,25,27,117133,27,187541,27,27,0,True,-7.460698725481052e-14
w1_k28,1,28,667,27.999999999999872,False,befe75d690efd98b2e7b25b5d7426f69e3a8a5720d5307d9fdad0fe03c130dbf,k,10,10,10,9167,10,9167,18,17,18,122494,18,130084,28,26,28,131661,28,206764,28,28,0,True,-1.2789769243681803e-13
w2_k28,2,28,643,28.000000000000405,False,996e242f858fa4f89de7bd3c73fd4e0ef4af063b42994067789c48767ca2a40f,k,10,10,10,9574,10,9574,18,17,18,108783,18,117007,28,26,28,118357,28,192123,28,28,0,True,4.050093593832571e-13
w3_k28,3,28,606,28.00000000000012,False,f412c76bfb62d9df3c06dd16f8df890734330595df0d622c4507ccb5e80d3b3d,k,11,11,11,11331,11,11331,17,16,17,86389,17,94347,28,25,28,97720,28,169577,28,28,0,True,1.2079226507921703e-13
w4_k28,4,28,671,27.999999999999822,False,99bee86081fdd454961efb00daf9abec09ee45bd03b8cc3bf42c67dff0c21294,k,9,9,9,7729,9,7729,19,18,19,129278,19,138125,28,26,28,137007,28,209701,28,28,0,True,-1.7763568394002505e-13
w5_k28,5,28,674,26.999999999999158,False,1d9f80b86d85e7f43ea37aeab36524dbedd518a397d2ec68a1450811332e14f5,k_minus_1,10,10,10,9573,10,9573,18,16,18,121690,18,132175,28,26,28,131263,27,211253,28,28,1,True,-8.419931418757187e-13
w6_k28,6,28,667,28.000000000000636,False,079b3d554782ac880851b50507d08039385da1995a612dd632c6d76c71526bdf,k,10,10,10,8919,10,8919,18,16,18,121726,18,130860,28,26,28,130645,28,206367,28,28,0,True,6.359357485052897e-13
w1_k29,1,29,690,28.999999999999996,False,8e43b7ab4d2be69f2539fcb399b1d11987e9dbce7ab9eedaaa4ee1fc7dbffe76,k,10,10,10,9167,10,9167,19,18,19,132646,19,141695,29,26,29,141813,29,221297,29,29,0,True,-3.552713678800501e-15
w2_k29,2,29,674,28.99999999999993,False,c0335faee802a06736c5f1067e512293ba922a5f7ad4eba1ae83ab82df467530,k,10,10,10,9574,10,9574,19,18,19,122381,19,132075,29,26,29,131955,29,211244,29,29,0,True,-7.105427357601002e-14
w3_k29,3,29,637,28.999999999999655,False,c2c70ec8eb86a52097a6fd53b1c88c2c14d1c6fde8702d81082d3f05c9139574,k,11,11,11,11331,11,11331,18,17,18,98492,18,107891,29,26,29,109823,29,187509,29,29,0,True,-3.446132268436486e-13
w4_k29,4,29,693,29.00000000000086,False,2cd3c50828eed4ac154ede6f9f209ee0b0d7d7c0d55d52065bf642a2f446cf68,k,9,9,9,7729,9,7729,20,19,20,139182,20,149481,29,26,29,146911,29,223610,29,29,0,True,8.597567102697212e-13
w5_k29,5,29,691,28.000000000000465,False,a50b41e17ecea246170021fbd256d618305bcdb636f38b9654ec04282f40169d,k_minus_1,10,10,10,9573,10,9573,19,17,19,129671,19,140763,29,26,29,139244,28,222032,29,29,1,True,4.654054919228656e-13
w6_k29,6,29,684,28.99999999999958,True,b0f03a80ba66da01de71799931ea14d0b2b4da1ca603b47b54cafd922c46a240,k,11,11,11,11185,11,11185,18,16,18,121726,18,130860,29,27,29,132911,29,216676,29,29,0,True,-4.192202140984591e-13
w1_k30,1,30,706,29.99999999999985,False,6f53fb67f3aeb4b63ffc7057e229d19b9e8ee97dbaa7e6944ae6312d5f8638dc,k,10,10,10,9167,10,9167,20,19,20,140065,20,150007,30,27,30,149232,30,231641,30,30,0,True,-1.4921397450962104e-13
w2_k30,2,30,704,29.999999999999268,False,010a3ee44af65c8bcae53bfd820ba154ef1a8057e8bde6d2eb54a50b8659f21b,k,10,10,10,9574,10,9574,20,18,20,136854,20,147475,30,27,30,146428,30,230564,30,30,0,True,-7.318590178329032e-13
w3_k30,3,30,674,30.00000000000034,False,d4483ee1e66fc64413cc8be75ec04226bb29057ad6522a2c1d0a28823399dec6,k,11,11,11,11331,11,11331,19,18,19,114440,19,125402,30,27,30,125771,30,210382,30,30,0,True,3.410605131648481e-13
w4_k30,4,30,707,29.000000000000092,False,dfc929d5c0e4d8e688ffd3ac1449b36d7425e3180e65b1d9627fd3ac8f441bfb,k_minus_1,10,10,10,9426,10,9426,20,19,20,139182,20,149481,30,27,30,148608,29,232301,30,30,1,True,9.237055564881302e-14
w5_k30,5,30,704,29.000000000000398,False,688b32fbc8654c621451469da938c9c893b071aa4afe3c487802fbc8ccc0ee23,k_minus_1,11,11,11,11315,11,11315,19,17,19,129671,19,140763,30,27,30,140986,29,230077,30,30,1,True,3.979039320256561e-13
