case_id,trip_count,station_count,route_count,lp_agrees,integer_agrees,agreement,cg_pool_columns,bnp_nodes,arc_variables,wall_s
random_0227,14,1,2059,True,False,False,114,4,2343,0.35159019700222416
random_0228,8,1,38,True,True,True,26,1,222,0.022640877003141213
random_0229,12,1,729,True,True,True,123,5,1662,0.2662372539998614
random_0230,8,2,57,True,True,True,25,1,1160,0.04979887900117319
random_0231,9,1,44,True,True,True,25,1,547,0.026259500002197456
random_0232,8,2,53,True,True,True,16,1,647,0.03528626800107304
random_0233,11,1,724,True,False,False,64,3,1286,0.13211564700031886
random_0234,8,1,185,True,True,True,50,6,1029,0.150305605995527
random_0235,8,1,49,True,True,True,20,1,390,0.02751500599697465
random_0236,14,1,186,True,True,True,38,1,930,0.05669121500250185
random_0237,12,1,1425,True,False,False,140,5,1792,0.35377010599768255
random_0238,9,2,91,True,True,True,29,3,838,0.057075642005656846
random_0239,8,1,68,True,True,True,25,2,410,0.03824148899730062
