case,arm,route_index,route_schedule_sha256,scenario,source_groups,mapping,unmapped_trips,trip_count,battery_kwh,initial_kwh,reserve_kwh,terminal_floor_kwh,charge_kw,min_soc_kwh,max_soc_kwh,terminal_kwh,below_reserve,over_capacity,terminal_violation,frozen_schedule_valid,minimum_extra_initial_energy_kwh,source
c1_k08,base,1,39d890682a73f53552961610f2e4cdd3c30ec3ca3669e415dc101bcb7448a2c8,saved_240_control,18E2,homogeneous_source_group,0,23,240.0,240.0,0,,240,17.716002999999944,240.0,17.716002999999944,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,1,39d890682a73f53552961610f2e4cdd3c30ec3ca3669e415dc101bcb7448a2c8,all_18E2_capacity_sensitivity,18E2,homogeneous_source_group,0,23,239.01,239.01,0,,240,16.726002999999935,239.01,16.726002999999935,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,1,39d890682a73f53552961610f2e4cdd3c30ec3ca3669e415dc101bcb7448a2c8,all_18E1_capacity_sensitivity,18E2,homogeneous_source_group,0,23,236.44,236.44,0,,240,14.156002999999941,236.44,14.156002999999941,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,1,39d890682a73f53552961610f2e4cdd3c30ec3ca3669e415dc101bcb7448a2c8,source_group_or_conservative_mixed,18E2,homogeneous_source_group,0,23,239.01,239.01,0,,240,16.726002999999935,239.01,16.726002999999935,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,2,9035970d7e567b4777e7f26604141459511a9fb6d2214294bc8c011c7725b0c7,saved_240_control,18E1;18E2,mixed_source_groups_conservative_18E1,0,19,240.0,240.0,0,,240,4.970000499999969,240.0,4.970000499999969,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,2,9035970d7e567b4777e7f26604141459511a9fb6d2214294bc8c011c7725b0c7,all_18E2_capacity_sensitivity,18E1;18E2,mixed_source_groups_conservative_18E1,0,19,239.01,239.01,0,,240,3.98000049999996,239.01,3.98000049999996,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,2,9035970d7e567b4777e7f26604141459511a9fb6d2214294bc8c011c7725b0c7,all_18E1_capacity_sensitivity,18E1;18E2,mixed_source_groups_conservative_18E1,0,19,236.44,236.44,0,,240,1.410000499999967,236.44,1.410000499999967,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,2,9035970d7e567b4777e7f26604141459511a9fb6d2214294bc8c011c7725b0c7,source_group_or_conservative_mixed,18E1;18E2,mixed_source_groups_conservative_18E1,0,19,236.44,236.44,0,,240,1.410000499999967,236.44,1.410000499999967,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,3,fb27ca21df825869393108669b543b17c6d3e4285aa2d5ebabb4ede491e36d8e,saved_240_control,18E1;18E2,mixed_source_groups_conservative_18E1,0,19,240.0,240.0,0,,240,1.5400009999999895,240.0,3.540001000000018,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,3,fb27ca21df825869393108669b543b17c6d3e4285aa2d5ebabb4ede491e36d8e,all_18E2_capacity_sensitivity,18E1;18E2,mixed_source_groups_conservative_18E1,0,19,239.01,239.01,0,,240,0.5500009999999804,239.01,2.550001000000009,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,3,fb27ca21df825869393108669b543b17c6d3e4285aa2d5ebabb4ede491e36d8e,all_18E1_capacity_sensitivity,18E1;18E2,mixed_source_groups_conservative_18E1,0,19,236.44,236.44,0,,240,-2.0199990000000128,236.44,-0.019998999999984335,True,False,False,False,2.0199990000000128,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,3,fb27ca21df825869393108669b543b17c6d3e4285aa2d5ebabb4ede491e36d8e,source_group_or_conservative_mixed,18E1;18E2,mixed_source_groups_conservative_18E1,0,19,236.44,236.44,0,,240,-2.0199990000000128,236.44,-0.019998999999984335,True,False,False,False,2.0199990000000128,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,4,b2c1e3012ec5694b9a953f33933d0faf84929b90da12a9b35de56cfb9902dd34,saved_240_control,18E2,homogeneous_source_group,0,31,240.0,240.0,0,,240,14.039002540000013,240.0,14.039002540000013,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,4,b2c1e3012ec5694b9a953f33933d0faf84929b90da12a9b35de56cfb9902dd34,all_18E2_capacity_sensitivity,18E2,homogeneous_source_group,0,31,239.01,239.01,0,,240,13.049002540000004,239.01,13.049002540000004,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,4,b2c1e3012ec5694b9a953f33933d0faf84929b90da12a9b35de56cfb9902dd34,all_18E1_capacity_sensitivity,18E2,homogeneous_source_group,0,31,236.44,236.44,0,,240,10.47900254000001,236.44,10.47900254000001,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,4,b2c1e3012ec5694b9a953f33933d0faf84929b90da12a9b35de56cfb9902dd34,source_group_or_conservative_mixed,18E2,homogeneous_source_group,0,31,239.01,239.01,0,,240,13.049002540000004,239.01,13.049002540000004,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,5,a273d682bfa4c5cc7f34f366ef7d9b67f7db69f132925584c379ddbbc604e2d2,saved_240_control,18E2,homogeneous_source_group,0,24,240.0,240.0,0,,240,10.658002099999948,240.0,10.658002099999948,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
