case,arm,scenario,routes,failed_routes,below_reserve_routes,over_capacity_routes,min_soc_kwh,whole_solution_valid,mixed_routes,unmapped_routes
c6_k08,warm,all_18E1_capacity_sensitivity,8,4,4,0,-2.7899994999999933,False,2,0
c6_k08,warm,all_18E2_capacity_sensitivity,8,1,1,0,-0.21999950000000013,False,2,0
c6_k08,warm,saved_240_control,8,0,0,0,0.770000500000009,True,2,0
c6_k08,warm,source_group_or_conservative_mixed,8,4,4,0,-2.7899994999999933,False,2,0
c6_k10,base,all_18E1_capacity_sensitivity,11,5,5,0,-3.560000000000059,False,3,0
c6_k10,base,all_18E2_capacity_sensitivity,11,1,1,0,-0.9900000000000659,False,3,0
c6_k10,base,saved_240_control,11,0,0,0,-5.684341886080802e-14,True,3,0
c6_k10,base,source_group_or_conservative_mixed,11,5,5,0,-3.560000000000059,False,3,0
c6_k10,warm,all_18E1_capacity_sensitivity,10,4,4,0,-3.5600000000000023,False,0,0
c6_k10,warm,all_18E2_capacity_sensitivity,10,2,2,0,-0.9900000000000091,False,0,0
c6_k10,warm,saved_240_control,10,0,0,0,0.0,True,0,0
c6_k10,warm,source_group_or_conservative_mixed,10,4,4,0,-3.5600000000000023,False,0,0
c6_k15,base,all_18E1_capacity_sensitivity,20,3,3,0,-2.0199989999999843,False,4,0
c6_k15,base,all_18E2_capacity_sensitivity,20,0,0,0,0.5500010000000088,True,4,0
c6_k15,base,saved_240_control,20,0,0,0,1.540001000000018,True,4,0
c6_k15,base,source_group_or_conservative_mixed,20,3,3,0,-2.0199989999999843,False,4,0
c6_k15,warm,all_18E1_capacity_sensitivity,15,6,6,0,-2.7899994999999933,False,3,0
c6_k15,warm,all_18E2_capacity_sensitivity,15,1,1,0,-0.21999950000000013,False,3,0
c6_k15,warm,saved_240_control,15,0,0,0,0.770000500000009,True,3,0
c6_k15,warm,source_group_or_conservative_mixed,15,5,5,0,-2.7899994999999933,False,3,0
