cell_id,scale,selection_replicate,duty_id,trip_count,known_partition_continuously_feasible,known_partition_in_primary_expanded_space,fixed_sequence_pricing_certified,first_feasible_soc_step,first_feasible_block_min,nonrepresentability_reason,primary_soc_step,primary_block_min,adaptive_sensitivity_run,instance_file_sha256,ordered_trip_id_set_sha256,solver_local_trip_index_sha256,ordered_trip_sequence_sha256,trip_identity_schema
k05_s2,5,2,13402,17,True,False,True,1.0,5,no fixed-duty transition 67->76,15.0,10,True,6ffea0b8cd3a9d15846946f6828705dd3431b7bafc69bd572ca30ed4530d5cb8,ea0d8ab992af9a5197f384a8d54ac8e13e9087ce95d54e45c8b1230c34738518,e6c8b83a0a38c978d199f8542337640f7820a9567ac11561b69eed207dae19e9,1bd163a55ec517b12a7649b034f615ad9a00a0bb54b2922c1676c7c32cdd2a1b,evsp-dr-trip-identity-v1
k05_s2,5,2,13407,17,True,False,True,2.5,10,no fixed-duty transition 93->95,15.0,10,True,6ffea0b8cd3a9d15846946f6828705dd3431b7bafc69bd572ca30ed4530d5cb8,ea0d8ab992af9a5197f384a8d54ac8e13e9087ce95d54e45c8b1230c34738518,e6c8b83a0a38c978d199f8542337640f7820a9567ac11561b69eed207dae19e9,1bd163a55ec517b12a7649b034f615ad9a00a0bb54b2922c1676c7c32cdd2a1b,evsp-dr-trip-identity-v1
k05_s3,5,3,13304,37,True,False,True,1.0,5,no fixed-duty transition 103->104,15.0,10,True,4a783b4f96ec47e28a693b921d51a4453ecfb1107d8c181a7739f42c41fd8500,cda19abd3781818d58246ead5c9c056ed1f700cedb2c0fa611157104251bc28d,412d8c9efa78943b471bf0a5b89a5ee9a0d88709908462406472e96e73693ceb,1c6f5f781dbf75d3fb5415863eb14ccf2270f659eac9524ce12d9b00ae3fc77c,evsp-dr-trip-identity-v1
k05_s3,5,3,13305,30,True,False,True,1.0,5,no fixed-duty transition 36->37,15.0,10,True,4a783b4f96ec47e28a693b921d51a4453ecfb1107d8c181a7739f42c41fd8500,cda19abd3781818d58246ead5c9c056ed1f700cedb2c0fa611157104251bc28d,412d8c9efa78943b471bf0a5b89a5ee9a0d88709908462406472e96e73693ceb,1c6f5f781dbf75d3fb5415863eb14ccf2270f659eac9524ce12d9b00ae3fc77c,evsp-dr-trip-identity-v1
k05_s3,5,3,13308,31,True,False,True,2.5,10,no fixed-duty transition 87->90,15.0,10,True,4a783b4f96ec47e28a693b921d51a4453ecfb1107d8c181a7739f42c41fd8500,cda19abd3781818d58246ead5c9c056ed1f700cedb2c0fa611157104251bc28d,412d8c9efa78943b471bf0a5b89a5ee9a0d88709908462406472e96e73693ceb,1c6f5f781dbf75d3fb5415863eb14ccf2270f659eac9524ce12d9b00ae3fc77c,evsp-dr-trip-identity-v1
k05_s3,5,3,13413,15,True,False,True,1.0,5,no fixed-duty transition 47->53,15.0,10,True,4a783b4f96ec47e28a693b921d51a4453ecfb1107d8c181a7739f42c41fd8500,cda19abd3781818d58246ead5c9c056ed1f700cedb2c0fa611157104251bc28d,412d8c9efa78943b471bf0a5b89a5ee9a0d88709908462406472e96e73693ceb,1c6f5f781dbf75d3fb5415863eb14ccf2270f659eac9524ce12d9b00ae3fc77c,evsp-dr-trip-identity-v1
k05_s3,5,3,13414,12,True,True,True,15.0,10,,15.0,10,True,4a783b4f96ec47e28a693b921d51a4453ecfb1107d8c181a7739f42c41fd8500,cda19abd3781818d58246ead5c9c056ed1f700cedb2c0fa611157104251bc28d,412d8c9efa78943b471bf0a5b89a5ee9a0d88709908462406472e96e73693ceb,1c6f5f781dbf75d3fb5415863eb14ccf2270f659eac9524ce12d9b00ae3fc77c,evsp-dr-trip-identity-v1
k08_s1,8,1,13301,36,True,False,False,,,no fixed-duty transition 125->132;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,0e1ac0596751786596cda622bbd09c5a1f66ba0c39e12a9bb8f70dc4cc7de2c7,b056d18c47dd4cf03c7444764f00d409c6a61b3612e28399330be5d996c79ac1,b1faaf670b8b8fdf42b4fbaae2b904d9cfbd63f8be21534560fa4c3b2e7fde5b,evsp-dr-trip-identity-v1
k08_s1,8,1,13305,30,True,False,False,,,no fixed-duty transition 49->54;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,0e1ac0596751786596cda622bbd09c5a1f66ba0c39e12a9bb8f70dc4cc7de2c7,b056d18c47dd4cf03c7444764f00d409c6a61b3612e28399330be5d996c79ac1,b1faaf670b8b8fdf42b4fbaae2b904d9cfbd63f8be21534560fa4c3b2e7fde5b,evsp-dr-trip-identity-v1
k08_s1,8,1,13316m,23,True,False,False,,,no fixed-duty transition 128->134;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,0e1ac0596751786596cda622bbd09c5a1f66ba0c39e12a9bb8f70dc4cc7de2c7,b056d18c47dd4cf03c7444764f00d409c6a61b3612e28399330be5d996c79ac1,b1faaf670b8b8fdf42b4fbaae2b904d9cfbd63f8be21534560fa4c3b2e7fde5b,evsp-dr-trip-identity-v1
