462771|st_fx_r21_spatial_4808_x0p75|COMPLETED|0:0|00:03:16|2026-09-25T12:43:52|2026-09-25T12:47:08|16G||garg-cpu-02
462771.batch|batch|COMPLETED|0:0|00:03:16|2026-09-25T12:43:52|2026-09-25T12:47:08||536352K|garg-cpu-02
462771.extern|extern|COMPLETED|0:0|00:03:19|2026-09-25T12:43:52|2026-09-25T12:47:11|||garg-cpu-02
462772|st_cg_r21_spatial_4808_x1p25|COMPLETED|0:0|00:16:59|2026-09-25T12:43:52|2026-09-25T13:00:51|16G||sablab-cpu-02
462772.batch|batch|COMPLETED|0:0|00:16:59|2026-09-25T12:43:52|2026-09-25T13:00:51||886816K|sablab-cpu-02
462772.extern|extern|COMPLETED|0:0|00:17:00|2026-09-25T12:43:52|2026-09-25T13:00:52|||sablab-cpu-02
462773|st_cl_r21_spatial_4808_x1p25|RUNNING|0:0|00:29:46|2026-09-25T13:00:54|Unknown|16G||unicorn-cpu-87
462773.batch|batch|RUNNING|0:0|00:29:46|2026-09-25T13:00:54|Unknown|||unicorn-cpu-87
462773.extern|extern|RUNNING|0:0|00:29:46|2026-09-25T13:00:54|Unknown|||unicorn-cpu-87
462774|st_fx_r21_spatial_4808_x1p25|COMPLETED|0:0|00:03:45|2026-09-25T12:44:21|2026-09-25T12:48:06|16G||harpo
462774.batch|batch|COMPLETED|0:0|00:03:45|2026-09-25T12:44:21|2026-09-25T12:48:06||545880K|harpo
462774.extern|extern|COMPLETED|0:0|00:03:45|2026-09-25T12:44:21|2026-09-25T12:48:06|||harpo
462775|st_cg_r21_spatial_4808_x1p50|COMPLETED|0:0|00:19:28|2026-09-25T12:44:21|2026-09-25T13:03:49|16G||harpo
462775.batch|batch|COMPLETED|0:0|00:19:28|2026-09-25T12:44:21|2026-09-25T13:03:49||880516K|harpo
462775.extern|extern|COMPLETED|0:0|00:19:29|2026-09-25T12:44:21|2026-09-25T13:03:50|||harpo
462776|st_cl_r21_spatial_4808_x1p50|RUNNING|0:0|00:26:46|2026-09-25T13:03:54|Unknown|16G||unicorn-cpu-87
462776.batch|batch|RUNNING|0:0|00:26:46|2026-09-25T13:03:54|Unknown|||unicorn-cpu-87
462776.extern|extern|RUNNING|0:0|00:26:46|2026-09-25T13:03:54|Unknown|||unicorn-cpu-87
462777|st_fx_r21_spatial_4808_x1p50|COMPLETED|0:0|00:03:44|2026-09-25T12:44:21|2026-09-25T12:48:05|16G||harpo
462777.batch|batch|COMPLETED|0:0|00:03:44|2026-09-25T12:44:21|2026-09-25T12:48:05||548588K|harpo
462777.extern|extern|COMPLETED|0:0|00:03:44|2026-09-25T12:44:21|2026-09-25T12:48:05|||harpo
462778|st_cg_r21_spatial_PARX_x0p50|COMPLETED|0:0|00:16:08|2026-09-25T12:44:21|2026-09-25T13:00:29|16G||sablab-cpu-02
462778.batch|batch|COMPLETED|0:0|00:16:08|2026-09-25T12:44:21|2026-09-25T13:00:29||925936K|sablab-cpu-02
