case_id,chain,k,trip_count,input_sha256,cg_job,mip_job,cg_scheduler,mip_scheduler,cg_stop,pricing_certified,rmp_route_weight,rmp_weighted_objective,pool_columns,mip_status,fleet_incumbent,finite_pool_fleet_only_bound,finite_pool_fleet_proven,own_target_matched,individual_route_replay,overcovered_trips,duplicate_trip_removal_validated,shared_capacity_validated,cg_path,cg_sha256,pool_journal_sha256,mip_path,mip_sha256
w3_k37,3,37,867,ff33ab8f4bd44cd57d128b90121c9a883cb7cd2a610f871ebdb744fbdbdf8b03,661680,661681,COMPLETED,COMPLETED,wall_limit,False,36.00000000000038,3601537.5011670673,224661,TIME_LIMIT,39,36.000000000000114,False,False,True,185,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w3_k37/cg.json,b341532970082e10194da50e65e4247a736e80bd1653634094754033c5041097,05f4357b24afadab3f6509e2d877970c46888e94d4bd00156ec476b6f2dd8f69,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w3_k37/mip_result.json,4ea436a07758128910f81ba36175cd1b50f1465d6e0ab496bb4617a34cd1804e
w3_k38,3,38,882,804df2378f04d708776d23d58dd14b47169405d7b5bff65a2a65ae8451fd61a3,661682,661683,COMPLETED,COMPLETED,wall_limit,False,37.00000000000029,3701589.229837639,230046,TIME_LIMIT,43,37.0000000000001,False,False,True,189,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w3_k38/cg.json,34747a0e7207803334739d250e7c0deac02c29f4b4bb91c502000e7e3bd6d087,4ee62572852b27abc39241b39621ecc482406998c0a0f5870655376d35081d92,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w3_k38/mip_result.json,9357bb94909b786ced1b924d5164b84322eefd169d56e3024a806b7e2ebc31be
w3_k39,3,39,936,84f6807ab32d3201ac517b3fd7f98004320ede5923836d795400f542e55b918e,661684,661685,COMPLETED,COMPLETED,wall_limit,False,37.99999999999975,3801655.868008482,236220,TIME_LIMIT,45,38.00000000000018,False,False,True,259,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w3_k39/cg.json,49ded0f6f5d7982da30954d491badc40e24f4c26246141bfaf238cf143e0e3ba,fd47411c585f0925202c6176944a0bb0dbb3a33b2721e713c17890b3f53b1758,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w3_k39/mip_result.json,adc1f0d43960142b776973739485737b44df0b2ed7b1317703f36767c2965194
w3_k40,3,40,947,3508a11f73d1186ae87588656d65ea62812c6e222623ae85488eff26cafb35fd,661686,661687,COMPLETED,COMPLETED,wall_limit,False,38.9999999999998,3901684.552110337,243671,TIME_LIMIT,44,39.00000000000003,False,False,True,202,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w3_k40/cg.json,e0489ca247f46545cbd02bd63ea2106fb11162cfdde9536c14419d8558bcf1f9,86e9ea8054afa5bb584b17d55a64b9f52d0d7eac3a37c29a66eb57b0656ad088,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w3_k40/mip_result.json,ea3aa007d4ae2c3b8a1d338901ce0dc58d6c75165f7601982acb8e2f89daccf0
w4_k33,4,33,785,93c6819cbcf77e578d777214c01b1d097927ce86aac9b8c4ea3577194986c820,661691,661692,COMPLETED,COMPLETED,wall_limit,False,31.99999999999961,3201424.123426374,251648,TIME_LIMIT,38,32.0000000000002,False,False,True,236,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w4_k33/cg.json,c849921dc68dbc3ea359cb03cc4ac60e92d023033ee1f3d3656645f5ebc9d793,89fc138e5ec59de7d87393baab311c49a5b97f28c50e89d7efb2756ea4e613ed,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w4_k33/mip_result.json,df403d946fb1bae85b801e2f6c8d442d3343edb56ce2b17e25474daf69b4f8d1
w4_k34,4,34,816,af7eddeac187e8b928d772bb4fbcd65f8c4f6cd40a87fb9e81ea8e52e749d9cd,661693,661694,COMPLETED,COMPLETED,wall_limit,False,33.00000000000023,3301451.696199127,257589,TIME_LIMIT,42,33.000000000000036,False,False,True,300,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w4_k34/cg.json,71da7e9670a6d489055cc05769120a87a0dcc5f325754093e5ead4150ebf8f23,c8d204016276b8a8d78600f6eefb2df0a1c20c91fc3f8aa080f5bfe81b8ad082,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w4_k34/mip_result.json,1fc892497d82cb21f38aa59227a5147f5fac4df64061f6a610b90e0f6b41c434
w4_k35,4,35,830,4d9c1aa941c9e73a5e4af51f717de6900eafb471b9804686d3fc3da37644c82d,661695,661696,COMPLETED,COMPLETED,wall_limit,False,33.99999999999962,3401492.4190260223,260783,TIME_LIMIT,42,34.00000000000006,False,False,True,275,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w4_k35/cg.json,3d509674e7c8ac6842f07a3acfb8a5fc79a2b90c03b48a7a4c49cb5bc5e58990,a79b5e4eff2d976bbda3881929af27dcbb269d6c4a3368320160c4b21c71a9b3,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w4_k35/mip_result.json,4e77bf8d893194569b526fb6e2ce994abad7759504d2c498c17720eaa0a29869
w4_k36,4,36,853,1872ffe7f41dc3d87ffac2c5199260b2bbbfee769fcb39441fe0076651dec28b,661697,661698,COMPLETED,COMPLETED,wall_limit,False,35.00000000000065,3501516.2701285034,264196,TIME_LIMIT,43,35.00000000000003,False,False,True,277,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w4_k36/cg.json,95c824a1d93cc4451a9ce477f63aa43a83fafb09f501dd635d22a7f7bcb8bd64,6f6909194ccce9720b9c48c29a00011dd8cd8f112531e9cc3cdd5ed405551391,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w4_k36/mip_result.json,2447d1853e742e794443ae5a9c1bc25059f232878959237eb861365ee2242f13
w4_k37,4,37,890,dcc05bfcfb1ab1c858578b9588f24a6225f8793643398d2598f75a9e61db466c,661699,661700,COMPLETED,COMPLETED,wall_limit,False,35.999999999999545,3601564.46317433,267053,TIME_LIMIT,39,36.000000000000135,False,False,True,200,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w4_k37/cg.json,6cd92590fa6f9577302ebc69f812a227deca21f3e782acfa9112d9f5286d7ae3,e1a10bb2cf8c090d157a3428162252ea342bee02c55cbf7ebc92788d1149dbd0,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w4_k37/mip_result.json,0396fa865b2c0fe4b2d17e34140f08480d5e34127702e419780b17b2a22155ea
w4_k38,4,38,901,3349e3ea17f11797e595a6a124b6f1e2ef86e00d809e819cf9854448d8781049,661701,661702,COMPLETED,COMPLETED,wall_limit,False,37.00000000000063,3701595.443187163,269914,TIME_LIMIT,40,37.00000000000007,False,False,True,200,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w4_k38/cg.json,202c35ac472b3fb92dac5c5f29cbf14e2428b9090fab2f88e6186fd801781b91,526be066916a16801465a6b9813fafa5c50f6a15e4e4bddb6261212eefd86d99,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w4_k38/mip_result.json,5a7ee1fb537b436fe5223b4039e62523d93d1ea58a7da6a5e3bfbf8017df1d74
w4_k39,4,39,931,08a951a4f1db741d848a2a352b436a468438bcfbb2b55b634d471910c258a5f2,661703,661704,COMPLETED,COMPLETED,wall_limit,False,37.99999999999988,3801626.2396263424,272044,TIME_LIMIT,45,38.00000000000005,False,False,True,259,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w4_k39/cg.json,a2eb75160811ae9c86a4275f1050ef2ee322bf16146b8bbee7a7d9c4fd70971f,6d04e1bb6743b8bc843cf0c1ce81e25d29c9b11ceb5579ee34a3470544156bbb,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w4_k39/mip_result.json,76dfaf85425f85cd790cf1e0644b0304f0632267bbe3ed9fc741fa1adf8c129b
w4_k40,4,40,948,904070ec8919dd11bf431eab62e1396ad4882d95f7d5917bcf83f34d1e20e607,661705,661706,COMPLETED,COMPLETED,wall_limit,False,38.99999999999999,3901687.7566903136,274191,TIME_LIMIT,47,39.00000000000013,False,False,True,270,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w4_k40/cg.json,74ed193087a6730cd0ba5beb95c78e08a9284046ec767116ae9af2adf5582462,06d391165b5cfadfce1a204fbe8e32e9ffbda267cfdd2bcb0324238a6932e45b,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w4_k40/mip_result.json,eef402fdbd7e0758646921af644029f02e0abfb10da0c2c84b64c17e9382b5e8
w5_k33,5,33,768,a767412c2bfaf7ce9ba19ad0d998d38e8d6fe3ae4652d89d7240039b889787b7,661707,661708,COMPLETED,COMPLETED,wall_limit,False,31.999999999999673,3201404.3606701414,268700,TIME_LIMIT,39,32.000000000000014,False,False,True,266,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w5_k33/cg.json,25bc97be2fca637fe613a744f233a5c7b303216ddcdd9d7264df218d35d1fd28,1b754d0b9934801c95035ee5a67758635d3a5e473688f3568b7ead94f87f7a5b,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w5_k33/mip_result.json,960186320b1846bf0a701b4b97b3f95f4dbb2d4db05a9ce03f9ef27ecbbf7e83
w5_k34,5,34,799,4b709fd83a8985072881e23f7e178e507fa259e19a5a9cb1943be5e18a48d05f,661709,661710,COMPLETED,COMPLETED,wall_limit,False,33.00000000000038,3301437.292441345,271371,TIME_LIMIT,41,33.000000000000085,False,False,True,277,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w5_k34/cg.json,c9b419155bb3c3ba693d12c4ebd16ed366e5a0a1122b1ea80b54ffa69c81a737,bfc2eec3f2e50ca36dc72c794c1206fdd6f01d14cdfb6ba759e7f9bdbb72388a,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w5_k34/mip_result.json,c961b997b7ce6b8da401f486dab393e5e466a83faf6b9fa5b1f389549f241254
w5_k35,5,35,821,16ba1c7571356dfda0396ffa9b27056699a47a6c441efbe433735f66a4fa18f1,661711,661712,COMPLETED,COMPLETED,wall_limit,False,33.99999999999969,3401463.493321711,273463,TIME_LIMIT,41,34.00000000000007,False,False,True,294,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w5_k35/cg.json,8fbb608945c87f5ef8e46ce9f8a765649c0fc9d334af50d8251c019d27f77942,789c0c90ed455a5241d881cda315ca612ade50ee5c4adbcfa259096921a57ab6,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w5_k35/mip_result.json,3c053cb6d6be966cb2aa47d5dda23a0da2e490e4b7e2f0173cf125e77eee49cb
