cell_id,scale,selection_replicate,target_fleet,instance_file_sha256,duty_set_sha256,generator_seed,generator_family,trip_count,duty_count,duties_json,total_service_kwh,service_kwh_per_trip,service_kwh_per_duty,duty_service_kwh_min,duty_service_kwh_median,duty_service_kwh_max,deadhead_density,direct_deadhead_edge_count,temporal_trip_pair_count,known_duty_direct_deadhead_kwh,deadhead_energy_fraction,known_duty_direct_deadhead_leg_count,known_duty_missing_direct_leg_count,layover_slack_min,layover_slack_median,layover_slack_max,layover_slack_p10,layover_slack_p90,layover_direct_pair_count,station_reachability_fraction,station_only_bridge_fraction,trip_to_station_arc_fraction,station_return_reachability_fraction,representable_fraction_soc15_b10,representable_fraction_soc5_b10,representable_fraction_soc2p5_b10,representable_fraction_soc1_b10,representable_fraction_soc1_b5
k03_s5,3,5,3,f46be52d5512d77690c448d4a94415dbf4a2f50ff07745fcdc29c0ab66d46e01,9945b593fd51b87bd753f6f6f5fc8cd24103af96a84e6fa5911e843a60f877e2,20260803,small_3_5_8_13_per6_seed20260803,91,3,"[""13305"",""13310"",""13313""]",1503.49198076,16.521889898461538,501.16399358666666,406.70799546,437.76299674,659.02098856,0.11236802413273002,447,3978,101.19999999999999,0.06306506246268555,94,0,0.0,2.0,28.0,0.0,12.0,88,0.9725992961287079,0.8758169934640523,1.0,1.0,0.0,0.0,0.0,0.0,1.0
k03_s6,3,6,3,fb1dc3fac8ddc75f629c74ff5fc7602a0ca1758647595b51e6ea5c7f07350f21,367b01f21e53ea5fd5932f0de36e290e400ac7f4412dc4e31c76eb974c551fb9,20260803,small_3_5_8_13_per6_seed20260803,40,3,"[""13323"",""13409"",""13410""]",1505.1709914,37.629274785,501.7236638,157.4909994,631.3399959999999,716.3399959999999,0.08071135430916553,59,731,104.2,0.06474579233552351,41,2,0.0,7.0,50.0,4.4,17.800000000000004,35,0.9822161422708618,0.9069767441860465,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
k05_s1,5,1,5,fc10ac0707becb960364e76b8c1e1c414d5d5639cbc3b7dadaf67a77e03f5322,3a4a18fbebfb57ea6db7c03920f2af89b55d761e3aae498820207c0c9ad0d37b,20260803,small_3_5_8_13_per6_seed20260803,105,5,"[""13302"",""13408"",""13410"",""13411"",""13412""]",3089.07197666,29.41973311104762,617.814395332,463.6499975,631.3399959999999,773.1319906599999,0.048436896950984173,251,5182,156.0,0.04807289364366071,108,2,0.0,7.0,51.0,0.0,15.0,98,0.9710536472404477,0.9278270937861829,1.0,1.0,0.2,0.2,0.2,0.2,0.8
k05_s2,5,2,5,6ffea0b8cd3a9d15846946f6828705dd3431b7bafc69bd572ca30ed4530d5cb8,f80b6eeb57d9a13686a624d928ef08ee0b23d77d598eed5daaa8975d9e461680,20260803,small_3_5_8_13_per6_seed20260803,101,5,"[""13307"",""13315"",""13326"",""13402"",""13407""]",2458.61898711,24.342762248613862,491.723797422,251.33299732,426.06999966,716.3399959999999,0.0708497818408477,341,4813,190.8,0.07201578947244038,105,1,0.0,5.0,49.0,0.0,13.200000000000017,95,0.9663411593600665,0.9052565967172241,1.0,1.0,0.2,0.2,0.4,0.4,1.0
k05_s3,5,3,5,4a783b4f96ec47e28a693b921d51a4453ecfb1107d8c181a7739f42c41fd8500,61f6986b6f8170ba5af930662f92b7f12712e44c77cc5607c682b363930aa8d8,20260803,small_3_5_8_13_per6_seed20260803,125,5,"[""13304"",""13305"",""13308"",""13413"",""13414""]",2648.22498326,21.18579986608,529.644996652,437.76299674,526.9689964,632.1099965,0.06456798392498325,482,7465,203.40000000000003,0.07132775213922819,128,2,0.0,3.0,46.0,0.0,14.0,118,0.9703951774949765,0.9148024112525117,1.0,1.0,0.2,0.2,0.4,0.4,1.0
k05_s4,5,4,5,8c76d093404ad593da1a4b7e47ba6e3eab34de8726a3b2054c3bd7aabb4b523f,4ef5cf1a03d3309d3a1b9fa9f126860d1d2dec1497a95906a60c59196e5f20de,20260803,small_3_5_8_13_per6_seed20260803,127,5,"[""13303"",""13324t"",""13326"",""13404"",""13407""]",2825.00498216,22.244133717795275,565.000996432,316.06999633,715.5699955,727.7189956999999,0.06190661984653401,476,7689,193.40000000000003,0.06407357566101057,131,1,0.0,3.0,44.0,0.0,14.0,121,0.9690466900767329,0.9161139289894654,1.0,1.0,0.0,0.2,0.4,0.4,0.8
k05_s5,5,5,5,f69254a3d6137ca09204360fd68de5f56273df51b6a211650e7f18a9f26ae976,d637fd4512a8a33baddc0804ee3b55e8cbe774471e84b6fe4f6bd3bc0c27cfc3,20260803,small_3_5_8_13_per6_seed20260803,97,5,"[""13304"",""13311"",""13406"",""13409"",""13410""]",2749.24098122,28.342690528041235,549.848196244,265.9479961,589.6099965,716.3399959999999,0.05839909808342728,259,4435,180.79999999999998,0.06170562157964054,98,4,0.0,7.0,57.0,0.0,14.299999999999997,88,0.9715896279594137,0.9197294250281849,1.0,1.0,0.4,0.4,0.4,0.4,0.8
k05_s6,5,6,5,bbaed5d68ecaa4d90b3f9d2e7a4b02007e3c6a61f335df74b590205ee2da5b19,7203006bd9f50aae9ae68f851c4988917d89db0e16dc25ba368bf922a039840a,20260803,small_3_5_8_13_per6_seed20260803,127,5,"[""13305"",""13309"",""13313"",""13316uwt"",""13404""]",2561.30397636,20.16774784535433,512.260795272,359.73799816,437.76299674,716.3399959999999,0.08245408362641657,633,7677,190.8,0.06932877596156696,130,2,0.0,3.0,44.0,0.0,14.0,120,0.9674351960401198,0.8965741826234206,1.0,1.0,0.2,0.2,0.2,0.2,1.0
k08_s1,8,1,8,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,cfb8023b01ab3fe64676545f71695d8b99819b77250f5e46533e17265e99a1ca,20260803,small_3_5_8_13_per6_seed20260803,203,8,"[""13301"",""13305"",""13316m"",""13318"",""13325"",""13403"",""13405"",""13414""]",4249.21397032,20.932088523743843,531.15174629,369.95399776,541.29549548,665.9809935,0.06184150251946862,1215,19647,311.00000000000006,0.06819855428366589,208,3,0.0,3.5,51.0,0.0,14.0,192,0.9706316485977503,0.9159159159159159,1.0,1.0,0.125,0.125,0.125,0.125,0.875
k08_s2,8,2,8,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,49da175914a4d0566bbad753f108c00f8a74e6d86db9af0eca5f321652aff133,20260803,small_3_5_8_13_per6_seed20260803,183,8,"[""13304"",""13305"",""13309"",""13314"",""13316uwt"",""13322"",""13403"",""13407""]",3706.65397768,20.25493976874317,463.33174721,277.97499946,414.65799727,715.5699955,0.0706944096264728,1128,15956,393.80000000000007,0.09603814654269295,187,4,0.0,3.0,51.0,0.0,14.0,171,0.9694158937076962,0.9072449235397343,1.0,1.0,0.125,0.25,0.375,0.375,1.0
k08_s3,8,3,8,0576894030c0dadd6218f14cc2791f8f727d4bc880c0e26ec295db5a7fcdf9a9,9727dbb4d56ac4739a5b31e676c7a9cd98cf99bd05ad9c0a7e5c9730d7e418cf,20260803,small_3_5_8_13_per6_seed20260803,159,8,"[""13305"",""13308"",""13310"",""13316m"",""13323"",""13401"",""13403"",""13404""]",3710.21497526,23.33468537899371,463.7768719075,157.4909994,471.57149687000003,716.3399959999999,0.06668906433730892,794,11906,358.40000000000003,0.08808894480783278,164,3,0.0,6.0,51.0,0.0,17.0,148,0.9654795901226273,0.9069376784814379,1.0,1.0,0.25,0.25,0.375,0.375,1.0
k08_s4,8,4,8,c8bad8466ec37e2670deccc6e565bc2e8054a747ffb9efa4ec4c54aeef28734a,7065809fe21c6b1eadb7029cd9f91223b36368c78b440f8b9f925a69f8d5180f,20260803,small_3_5_8_13_per6_seed20260803,186,8,"[""13307"",""13312"",""13313"",""13315"",""13406"",""13407"",""13408"",""13410""]",4455.2149637,23.952768622043013,556.9018704625,251.33299732,610.47499625,718.62099266,0.05423894453945761,888,16372,228.60000000000002,0.048806368691263674,191,3,0.0,5.0,57.0,0.0,14.0,175,0.9696432934278035,0.9215123381382849,1.0,1.0,0.25,0.25,0.375,0.375,1.0
k08_s5,8,5,8,e52495a48dd6c7d79b716a27f7a438303adf1035563afc57bc7c8c76d9ec8e28,11ee3aaf8a48593ff3d7c53cd5ba04733a3fd1d8d214be6d1553ebd93ef96616,20260803,small_3_5_8_13_per6_seed20260803,136,8,"[""13306"",""13316uwt"",""13321"",""13323"",""13402"",""13405"",""13408"",""13411""]",3712.90997844,27.300808665,464.113747305,157.4909994,467.54399674,716.3399959999999,0.049913144180660104,431,8635,254.60000000000008,0.06417123117106997,141,3,0.0,7.0,51.0,0.0,13.600000000000009,125,0.963288940359004,0.9202084539664157,1.0,1.0,0.125,0.25,0.25,0.25,0.75
k08_s6,8,6,8,ef872319d81bb2cdd580a7c935d8f158bb7b686d0eff8916eac17922353576f8,29d47402622ceb39ea86b24d21396db0868c881997b0d8d7f9c5b080fad6528b,20260803,small_3_5_8_13_per6_seed20260803,144,8,"[""13311"",""13313"",""13316m"",""13323"",""13402"",""13405"",""13409"",""13413""]",4064.31396682,28.224402547361112,508.0392458525,157.4909994,589.6099965,716.3399959999999,0.052805621576935004,511,9677,282.40000000000003,0.06496861816895678,149,3,0.0,7.0,50.0,0.0,13.0,133,0.9633150769866694,0.9162963728428232,1.0,1.0,0.25,0.25,0.25,0.25,0.75
k13_s1,13,1,13,ecbfec1ae18e45fb8246d66dffdc45173bea9dfccc64024224236cc529895127,55a728c1d4edfbe1fcb69be50fec9b0a123b13e3179a2ea325bcf99db4795452,20260803,small_3_5_8_13_per6_seed20260803,289,13,"[""13308"",""13309"",""13312"",""13316m"",""13318"",""13322"",""13326"",""13401"",""13403"",""13404"",""13407"",""13413"",""13414""]",6944.71595311,24.030159007301037,534.20891947,349.30599863,526.9689964,718.62099266,0.05301455301455302,2091,39442,588.8,0.07815739737790434,298,4,0.0,6.0,51.0,0.0,16.900000000000006,272,0.969398103544445,0.9209218599462502,1.0,1.0,0.23076923076923078,0.23076923076923078,0.38461538461538464,0.38461538461538464,1.0
k13_s2,13,2,13,8a70d12b28a0474e0a488194a79f47ce322394c6f109513bb7525788342bcc48,c34740d75edc66e2841ba0836af401e808cb70da2546f007c96426f6b6b33117,20260803,small_3_5_8_13_per6_seed20260803,265,13,"[""13306"",""13308"",""13310"",""13314"",""13316uwt"",""13317"",""13322"",""13323"",""13407"",""13408"",""13411"",""13412"",""13413""]",6204.70296168,23.413973440301888,477.2848432061538,157.4909994,471.43799598,715.5699955,0.05674721694270975,1881,33147,482.2000000000001,0.07211111074338866,272,6,0.0,4.0,51.0,0.0,13.5,246,0.9657887591637252,0.91498476483543,1.0,1.0,0.15384615384615385,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.9230769230769231
k13_s3,13,3,13,dedd0e5837ca8b01504d3778319fe48b39ad9037a5d7c8665ab123fac7da4baa,1bebd490aeaebed1265dcc85c8bd368d34e473e488e2e86d2c80c19481dbd6f5,20260803,small_3_5_8_13_per6_seed20260803,325,13,"[""13303"",""13305"",""13310"",""13311"",""13314"",""13315"",""13316m"",""13319"",""13321"",""13325"",""13404"",""13408"",""13411""]",6215.9029591299995,19.125855258861538,478.1463814715384,265.9479961,437.76299674,727.7189956999999,0.06669039990506705,3372,50562,482.40000000000015,0.0720182414774885,333,5,0.0,3.0,51.0,0.0,12.0,307,0.9728254420315652,0.9128594596732724,1.0,1.0,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.8461538461538461
k13_s4,13,4,13,5bf142221055f18b5c83bc294720dfa96cb8196cb5b32aebcb0598f7e459f72d,598fdcd22be0459489c8337487e7f42653bc6783f809bd140e9de5279ac22c95,20260803,small_3_5_8_13_per6_seed20260803,308,13,"[""13303"",""13305"",""13307"",""13308"",""13312"",""13315"",""13320"",""13405"",""13407"",""13408"",""13410"",""13411"",""13412""]",6933.00595308,22.509759587922076,533.3081502369231,251.33299732,547.1099965,727.7189956999999,0.054639587592214024,2459,45004,406.80000000000007,0.05542380855849394,316,5,0.0,4.0,51.0,0.0,13.0,290,0.9699137854412941,0.9206737178917429,1.0,1.0,0.23076923076923078,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.7692307692307693
k13_s5,13,5,13,eb8bade5418d3c6ab936cfc30b304c4851cea4cc4d5af95996f606cbb1744343,6c635e6a4031c7ce4b49f20d6ebb57518359d3a1586671ca20c39dab800ac4ca,20260803,small_3_5_8_13_per6_seed20260803,382,13,"[""13302"",""13303"",""13304"",""13306"",""13307"",""13308"",""13310"",""13315"",""13319"",""13325"",""13411"",""13413"",""13414""]",6983.10494765,18.280379444109947,537.16191905,251.33299732,526.9689964,773.1319906599999,0.06516444229207914,4575,70207,430.4000000000001,0.058056209989639534,391,4,0.0,2.0,46.0,0.0,12.0,365,0.9754013132593616,0.9164328343327588,1.0,1.0,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.8461538461538461
k13_s6,13,6,13,de0187979317c0efa2ce262d6d3de8601de2b2f71084b245c81e9db5d22bdb74,dee50e904f33e164cf6c4160a559b914b31c91dafbb87b24648bf0bf26066eee,20260803,small_3_5_8_13_per6_seed20260803,356,13,"[""13301"",""13303"",""13305"",""13315"",""13317"",""13319"",""13325"",""13326"",""13404"",""13406"",""13409"",""13410"",""13413""]",7531.71695646,21.15650830466292,579.3628428046154,349.30599863,597.93499786,727.7189956999999,0.05505996629993062,3333,60534,464.8,0.058125306621717415,364,5,0.0,3.0,57.0,0.0,13.0,338,0.9734859748240658,0.9237122939174679,1.0,1.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.8461538461538461
k20_s1,20,1,20,d976b955d151fd8d55be3c55ef96081214fc78ad5012900bb620264d2131c160,34fe13d5aff15bfa75c914decb815dd8bbc5f5cdcaf37d1f50a3c9c48b5617e1,20260803,large_15_20_30_40_per6_seed20260803,443,20,"[""13301"",""13305"",""13308"",""13314"",""13315"",""13317"",""13319"",""13322"",""13323"",""13325"",""13326"",""13402"",""13404"",""13406"",""13407"",""13409"",""13410"",""13411"",""13413"",""13414""]",10684.88593882,24.11938135173815,534.244296941,157.4909994,585.08049676,716.3399959999999,0.04871717541629866,4523,92842,740.9999999999995,0.0648527391195475,455,8,0.0,6.0,57.0,0.0,14.0,415,0.9700566553930333,0.9251416384825834,1.0,1.0,0.15,0.2,0.3,0.3,0.9
k20_s2,20,2,20,7e91aa2de9707425ed5ebeb440ccea2d8194e7b8d8c6faa28946f839b2ed886a,16af48b57826fe55a84214774fe3bbb402b9512690ec36c70bf2f847315d622b,20260803,large_15_20_30_40_per6_seed20260803,471,20,"[""13302"",""13304"",""13305"",""13306"",""13313"",""13316uwt"",""13319"",""13321"",""13322"",""13324t"",""13325"",""13403"",""13404"",""13405"",""13407"",""13408"",""13409"",""13412"",""13413"",""13414""]",11006.3339166,23.36801256178344,550.3166958300001,316.06999633,546.5564965599999,773.1319906599999,0.04923746035363607,5185,105306,741.5999999999997,0.06312599349508667,485,6,0.0,5.0,51.0,0.0,14.0,445,0.9712551991339525,0.9258161928095265,1.0,1.0,0.1,0.2,0.25,0.25,0.9
k20_s3,20,3,20,1f3a770cc9463d238be8851f0fb8bdff57c5a87ae9d1799a32a0047ba6e595a2,907bce5562a743700e71ac3d5b00f64e44546841308fe29d7213cc1f7f4e5725,20260803,large_15_20_30_40_per6_seed20260803,435,20,"[""13301"",""13302"",""13304"",""13305"",""13309"",""13310"",""13311"",""13313"",""13314"",""13316m"",""13323"",""13326"",""13401"",""13403"",""13404"",""13405"",""13406"",""13409"",""13410"",""13413""]",10157.51792515,23.350615919885055,507.87589625749996,157.4909994,546.5564965599999,773.1319906599999,0.052566909432107595,4706,89524,843.1999999999999,0.07664954285140463,446,9,0.0,5.0,57.0,0.0,14.0,406,0.9699075108350833,0.9213730396318306,1.0,1.0,0.25,0.3,0.3,0.3,0.9
k20_s4,20,4,20,6bc3f0c4d62e0372f1da40808399121153e070cba12aac765ac7f76392740250,424c0c6ab8ae97e2de41a96b1eba200c0ebcd500aa28033ba75618ede52870e8,20260803,large_15_20_30_40_per6_seed20260803,488,20,"[""13301"",""13303"",""13304"",""13310"",""13311"",""13312"",""13316m"",""13318"",""13320"",""13321"",""13322"",""13323"",""13324t"",""13325"",""13401"",""13403"",""13404"",""13407"",""13409"",""13414""]",10121.52792665,20.740835915266395,506.0763963325,157.4909994,520.4304957300001,727.7189956999999,0.0573472293010422,6526,113798,753.3999999999999,0.06927862005905572,499,9,0.0,3.0,51.0,0.0,14.0,459,0.9740944480570836,0.9210794565809592,1.0,1.0,0.25,0.35,0.4,0.4,0.9
k20_s5,20,5,20,f82e759fccadbefbe8f9362c7f2899f34bf43c738575ca198926bc0e99e4f2f2,ed4ec363a3acb2aabfadd8034bbefa0eeef2d5d53832f995d2a1f57906a86aa9,20260803,large_15_20_30_40_per6_seed20260803,453,20,"[""13304"",""13305"",""13309"",""13310"",""13312"",""13314"",""13315"",""13317"",""13318"",""13319"",""13321"",""13323"",""13324t"",""13401"",""13402"",""13403"",""13409"",""13412"",""13413"",""13414""]",9955.85993446,21.977615749359824,497.79299672300004,157.4909994,505.379997,718.62099266,0.0537491297759941,5250,97676,816.7999999999998,0.07582157099261887,463,10,0.0,4.0,51.0,0.0,14.0,423,0.9712621319464352,0.9223657807445023,1.0,1.0,0.25,0.4,0.4,0.4,0.95
k20_s6,20,6,20,d3ff8894e1de36ac0fc0e6bb7ce325c733688a793c4aee1a185dd747620f9a16,21c0e711f0ae4667ea031c9a14c836fe2b514466b51c69b88902d3cdc82a8191,20260803,large_15_20_30_40_per6_seed20260803,467,20,"[""13301"",""13302"",""13304"",""13305"",""13308"",""13310"",""13311"",""13315"",""13316m"",""13323"",""13324t"",""13325"",""13404"",""13405"",""13406"",""13407"",""13409"",""13410"",""13412"",""13413""]",10669.78392549,22.847503052441112,533.4891962744999,157.4909994,568.3599965,773.1319906599999,0.051268187655083855,5310,103573,723.9999999999998,0.06354342023112076,477,10,0.0,4.0,57.0,0.0,14.0,437,0.971759049173047,0.9244880422503935,1.0,1.0,0.2,0.25,0.35,0.35,0.9
k30_s1,30,1,30,7d3bb9931a3572b992ae42e8d88a47268d169721a66b483fdcb7aac322531773,d5a8ff19797761089a472b29b3d913edbc7059943c379096d2d803d2098350b8,20260803,large_15_20_30_40_per6_seed20260803,714,30,"[""13303"",""13304"",""13305"",""13306"",""13308"",""13309"",""13310"",""13312"",""13313"",""13314"",""13315"",""13316m"",""13318"",""13319"",""13320"",""13322"",""13323"",""13324muw"",""13325"",""13326"",""13401"",""13402"",""13403"",""13405"",""13408"",""13409"",""13410"",""13411"",""13412"",""13413""]",15116.9218897,21.172159509383754,503.8973963233333,157.4909994,516.1744967,727.7189956999999,0.05776692823771489,14009,242509,1186.0,0.07274769565996028,732,12,0.0,3.0,51.0,0.0,12.899999999999977,672,0.9719969155783909,0.9185432293234478,1.0,1.0,0.16666666666666666,0.23333333333333334,0.26666666666666666,0.26666666666666666,0.8666666666666667
k30_s2,30,2,30,acdfe96bd49508fe4f9ffb6138439fa7e0a2ffbd97cb6973179a6b73869a6c67,a6e1ed8f3eab51390eb482f6ef9371d23658e214bf1f07bcd3d3d1baca5f0088,20260803,large_15_20_30_40_per6_seed20260803,654,30,"[""13301"",""13302"",""13304"",""13306"",""13307"",""13308"",""13309"",""13310"",""13311"",""13312"",""13314"",""13316uwt"",""13317"",""13318"",""13320"",""13321"",""13323"",""13326"",""13401"",""13402"",""13403"",""13404"",""13406"",""13407"",""13408"",""13409"",""13411"",""13412"",""13413"",""13414""]",15251.794895089999,23.320787301360856,508.39316316966665,157.4909994,531.22499543,773.1319906599999,0.049807635395087306,10098,202740,1141.7999999999993,0.06964915305684274,669,15,0.0,5.0,57.0,0.0,14.0,609,0.9705879451514254,0.9245190884877182,1.0,1.0,0.3,0.36666666666666664,0.43333333333333335,0.43333333333333335,0.9333333333333333
k30_s3,30,3,30,5cde49cc325a3dc2672334a3bd292ed154942082b8c864e187e5522d65db3cbb,63fed176e7a8c0198e5d0df003def9854be7a6f518e6f6f512c8a5d362be2efa,20260803,large_15_20_30_40_per6_seed20260803,636,30,"[""13301"",""13304"",""13306"",""13307"",""13309"",""13310"",""13311"",""13313"",""13314"",""13315"",""13316uwt"",""13317"",""13318"",""13319"",""13320"",""13323"",""13324muw"",""13325"",""13401"",""13402"",""13403"",""13406"",""13407"",""13408"",""13409"",""13410"",""13411"",""13412"",""13413"",""13414""]",14913.99189297,23.44967278768868,497.13306309899997,157.4909994,520.4304957300001,716.3399959999999,0.050362192058410325,9643,191473,1067.5999999999995,0.06680185598217013,650,16,0.0,5.0,57.0,0.0,14.0,590,0.9698338669159621,0.9232267734876458,1.0,1.0,0.3,0.36666666666666664,0.4,0.4,0.9333333333333333
